,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund
0,519022.OF,国泰金泰灵活配置混合C,李海,樊利安(20151117-20170124) 程洲(20151117-20170124) 彭凌志(20170124-20180427) 李海(20170124-至今),否,混合型基金,灵活配置型基金,168281465.41,7.6986301369863,89.05,93.85123393414
1,519025.OF,海富通领先成长混合,李志,陈绍胜(20090430-20120409) 陈静(20120409-20140411) 谢志刚(20140411-20150611) 黄峰(20141217-20170630) 张金涛(20151026-20170502) 李志(20170515-至今),否,混合型基金,偏股混合型基金,81158028.93,14.252054794521,4.6,93.995094097924
2,519026.OF,海富通中小盘混合,范庭芳,程岽(20100414-20131129) 宋争林(20131129-20141217) 黄峰(20141217-20170630) 施敏佳(20170630-20181105) 周雪军(20181105-20191125) 范庭芳(20190827-至今),否,混合型基金,偏股混合型基金,675753650.39,13.295890410959,74.61,92.67501224648
3,519029.OF,华夏稳增混合,彭海伟,张龙(20060809-20100204) 张益驰(20060905-20080123) 严鸿宴(20100204-20111107) 王海雄(20111014-20150209) 彭海伟(20150209-至今) 郑泽鸿(20190114-20200612),否,混合型基金,灵活配置型基金,1115148553.53,16.978082191781,3.73,94.54687057595
4,519033.OF,海富通国策导向混合,胡耀文,牟永宁(20111116-20131025) 黄春雨(20130731-20140428) 谢志刚(20140428-20150611) 顾晓飞(20140827-20160202) 施敏佳(20160202-20210119) 李志(20210120-20220815) 胡耀文(20210507-至今),否,混合型基金,偏股混合型基金,1456189028.04,11.704109589041,91.4,92.743125070602
5,519035.OF,富国天博创新混合,毕天宇,毕天宇(20070427-至今),否,混合型基金,偏股混合型基金,2104756558.14,16.26301369863,2.78,93.468347465175
6,519039.OF,长盛同德主题混合,"张谊然,郭堃",侯继雄(20071025-20090311) 詹凌蔚(20071025-20091217) 王雪松(20090824-20120113) 戴春平(20100113-20100814) 邓永明(20100812-20141014) 王宁(20141014-20160106) 乔林建(20160106-20171103) 冯雨生(20171023-20200421) 朱律(20200421-20210520) 郭堃(20210107-至今) 张谊然(20210715-至今),否,混合型基金,偏股混合型基金,794019945.39,15.767123287671,16.45,84.28375051451
7,519050.OF,海富通安颐收益混合A,"杜晓海,夏妍妍",位健(20130529-20140307) 程岽(20130529-20131129) 谢志刚(20131025-20150611) 赵恒毅(20131230-20160429) 陈甄璞(20150429-20160622) 谈云飞(20160422-20200102) 杜晓海(20160622-至今) 夏妍妍(20190522-至今),否,混合型基金,灵活配置型基金,137989484.65,10.169863013699,20.45,23.774133326455
8,519056.OF,海富通内需热点混合,黄峰,黄春雨(20131219-20140428) 宋争林(20140428-20141217) 黄峰(20141217-至今),否,混合型基金,偏股混合型基金,431564011.1,9.6109589041096,20.78,93.484047461094
9,519062.OF,海富通阿尔法对冲混合A,"杜晓海,李自悟",陈甄璞(20141120-20180503) 杜晓海(20180409-至今) 朱斌全(20181130-20220815) 李自悟(20230410-至今),否,另类投资基金,市场中性基金,412837672.88,8.6904109589041,49.85,62.742741370285
