,thscode,ths_ths_bond_first_type_bond
0,110033.SH,可转债
1,101656010.IB,中期票据
2,1680196.IB,企业债
3,101666007.IB,中期票据
4,136553.SH,公司债
5,128013.SZ,可转债
6,132007.SH,可交换债券
7,113011.SH,可转债
8,128014.SZ,可转债
9,132008.SH,可交换债券
10,143099.SH,公司债
11,132009.SH,可交换债券
12,119424.SZ,资产支持证券
13,113014.SH,可转债
14,110038.00,其他债券
15,128021.SZ,可转债
16,128022.SZ,可转债
17,128023.SZ,可转债
18,128026.SZ,可转债
19,110041.SH,可转债
20,113017.SH,可转债
21,128034.SZ,可转债
22,132015.SH,可交换债券
23,128035.SZ,可转债
24,113505.SH,可转债
25,127005.SH,企业债
26,127006.SH,企业债
27,128037.SZ,可转债
28,132014.SH,可交换债券
29,113508.SH,可转债
30,123010.SH,企业债
31,110045.SH,可转债
32,1822022.IB,金融债
33,1820037.IB,金融债
34,128042.SZ,可转债
35,113516.SH,可转债
36,180211.BC,金融债
37,128044.SZ,可转债
38,180021.IB,国债
39,101801160.IB,中期票据
40,180322.IB,金融债
41,113519.SH,可转债
42,128048.SZ,可转债
43,110047.SH,可转债
44,128049.SZ,可转债
45,110048.SH,可转债
46,113525.SH,可转债
47,190202.IB,金融债
48,101900114.IB,中期票据
49,101900113.IB,中期票据
50,1928001.IB,金融债
51,190203.IB,金融债
52,110051.SH,可转债
53,113528.SH,可转债
54,113021.SH,可转债
55,110052.SH,可转债
56,110053.SH,可转债
57,101900356.IB,中期票据
58,110056.SH,可转债
59,123023.SH,企业债
60,113530.SH,可转债
61,110057.SH,可转债
62,128063.SZ,可转债
63,132018.SH,可交换债券
64,128064.SZ,可转债
65,113025.SH,可转债
66,113026.SH,可转债
67,127013.SH,企业债
68,128066.SZ,可转债
69,132017.SH,可交换债券
70,155350.SH,公司债
71,113535.SH,可转债
72,190207.IB,金融债
73,123028.SH,公司债
74,101900886.IB,中期票据
75,190407.BC,金融债
76,113542.SH,可转债
77,101901055.IB,中期票据
78,1928021.IB,金融债
79,128071.SZ,可转债
80,128073.SZ,可转债
81,101901287.IB,中期票据
82,128075.SZ,可转债
83,128074.SZ,可转债
84,113545.SH,可转债
85,101901355.IB,中期票据
86,132020.SH,可交换债券
87,127014.SH,企业债
88,110059.SH,可转债
89,123035.SH,公司债
90,113549.SH,可转债
91,101901598.IB,中期票据
92,128081.SZ,可转债
93,132021.SH,可交换债券
94,101901612.IB,中期票据
95,110062.SH,可转债
96,101901667.IB,中期票据
