,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_found_years_fund
0,019191.OF,019191,富国纯债债券发起式E,富国基金,"吕春杰,张洋",中长期纯债券型基金,3867083243.12,0.049315068493151
1,019204.OF,019204,鹏华丰康债券C,鹏华基金,"祝松,应琛,杜培俊",中长期纯债券型基金,3001056421.87,0.098630136986301
2,019214.OF,019214,华宝宝盛债券C,华宝基金,王慧,中长期纯债券型基金,1107916784.14,0.098630136986301
3,019221.OF,019221,工银瑞享纯债债券D,工银瑞信,何秀红,中长期纯债券型基金,34869451.78,0.068493150684932
4,019242.OF,019242,汇丰晋信2016周期混合C,汇丰晋信基金,蔡若林,混合债券型基金(二级),324732249.32,0.03013698630137
5,019256.OF,019256,西部利得中债1-3年政金债指数E,西部利得基金,"解文增,刘心峰,袁朔",被动指数型债券基金,3538196642.18,0.09041095890411
6,019267.OF,019267,富国新天锋债券(LOF)C,富国基金,武磊,混合债券型基金(一级),2504354752.06,0.09041095890411
7,019268.OF,019268,交银施罗德安心收益债券E,交银施罗德,魏玉敏,混合债券型基金(二级),3937051500.31,0.098630136986301
8,019282.OF,019282,华宝宝润债券C,华宝基金,王慧,中长期纯债券型基金,2010511916.34,0.052054794520548
9,019287.OF,019287,鹏华丰诚债券D,鹏华基金,"杜培俊,祝松",混合债券型基金(一级),977725079.99,0.087671232876712
10,019289.OF,019289,交银裕如纯债债券E,交银施罗德,"于海颖,张顺晨",中长期纯债券型基金,460226.12,0.084931506849315
11,019302.OF,019302,鹏华产业债债券C,鹏华基金,祝松,混合债券型基金(一级),1534565686.42,0.032876712328767
12,019304.OF,019304,德邦短债E,德邦基金,欧阳帆,短期纯债券型基金,828075916.3,0.071232876712329
13,019317.OF,019317,银华纯债信用债券(LOF)D,银华基金,李丹,中长期纯债券型基金,1425681844.98,0.010958904109589
14,019344.OF,019344,广发聚源债券B,广发基金,吴迪,中长期纯债券型基金,2024100079.76,0.065753424657534
15,019364.OF,019364,银华华茂定期开放债券D,银华基金,李丹,混合债券型基金(一级),499232558.12,0.068493150684932
