,jydm,jydm_mc,p00483_f002,p00483_f007,p00483_f008
0,003452.OF,招商招盛纯债A,088019,2.240,2.2732965593300668
1,003155.OF,中加丰尚纯债债券A,080018,5.540,5.7886385348065414
2,001961.OF,博时裕荣纯债债券,080420,15.260,15.6752146115311571
3,001578.OF,博时裕瑞纯债债券,080420,6.500,7.2477364107690707
4,003571.OF,招商招琪纯债A,080420,5.150,5.2363377962094797
5,000183.OF,嘉实丰益策略定期债券,010107,11.520,14.3221062673318727
6,519225.OF,海富通集利债券,010107,35.410,37.3250909259926330
7,003703.OF,博时富鑫纯债债券A,010107,1.990,2.1362082834998234
8,003454.OF,招商招通纯债A,010107,7.260,7.8831072315564034
9,004030.OF,嘉实丰安6个月定期债券,010107,5.150,4.9037104629072412
10,004614.OF,鹏扬利泽债券A,010107,5.930,6.5959120027696575
11,000183.OF,嘉实丰益策略定期债券,010303,14.210,17.6554202676765706
12,002206.OF,博时裕康纯债,058021,8.970,9.4807841686313628
13,002206.OF,博时裕康纯债,078042,8.090,8.5543375549335332
14,003269.OF,招商招乾3个月定开债发起式A,090207,87.650,100.0000000000000000
15,002970.OF,博时裕昂纯债债券,0980186,7.680,7.8765005842300311
16,003213.OF,中银悦享定期开放债券,1080022,5.800,5.9838765826650644
17,004736.OF,富国鼎利纯债三个月定开债,122049,3.910,4.1675381178588953
18,004122.OF,兴银长益三个月定开债,110202,3.320,3.0228476955398932
19,000139.OF,富国国有企业债债券A/B,1180009,4.730,3.6437344724253324
20,004042.OF,华夏鼎茂债券A,122844,5.700,4.6508201225973857
21,002638.OF,兴业天融债券,110003,21.870,22.9453052842700327
22,000116.OF,嘉实丰益纯债定期债券,124576,2.540,2.2790293198713927
23,000345.OF,鹏华丰融定期开放债券,1180020,8.760,6.2226470124237996
24,000355.OF,南方丰元信用增强债券A,122834,8.420,6.4825115645821487
25,003590.OF,建信睿富纯债债券,110211,7.090,7.2308184523142595
26,000355.OF,南方丰元信用增强债券A,122846,8.630,6.6459034014722193
27,000345.OF,鹏华丰融定期开放债券,1180050,8.750,6.2165078579127264
28,004200.OF,博时富瑞纯债债券A,1180093,4.930,5.3463234860452031
29,485105.OF,工银增强收益债券A,1116001,6.050,4.9166938385293461
30,004322.OF,创金尊隆纯债A,122075,5.790,4.6719386274412892
31,003268.OF,博时悦楚纯债债券A,110236,4.240,4.3298722567267850
32,004438.OF,鹏华永安定期开放债券,122801,7.530,4.9577767207316132
33,004923.OF,华夏鼎祥三个月定期开放债券A,122838,2.980,2.9518985787886972
34,002188.OF,鹏华丰华债券,110311,49.370,51.0037455476970495
35,004940.OF,中加聚鑫纯债一年A,1180132,8.770,6.7025745289057227
36,004322.OF,创金尊隆纯债A,112035,6.600,5.3287454508612762
37,003193.OF,创金合信尊智纯债A,112035,10.020,13.3302310121322918
38,001369.OF,兴业稳固收益两年理财债券,1182216,4.830,5.0030275795509856
39,002994.OF,招商招裕纯债A,110254,10.730,11.0448705586810940
