,thscode,ths_nb_mv_to_bond_invest_mv_fund,ths_zcxjrzszzzqtzszb_fund,ths_cbb_to_bond_invest_mv_fund
0,070005.OF,7.2203478213038,14.015095252986,
1,070025.OF,1.9287859010369,9.5384485326759,
2,070037.OF,0.016767594039922,12.815568086534,
3,100018.OF,1.1578650053509,19.376562841361,
4,100058.OF,1.0441147952906,3.2789270368282,
5,100066.OF,7.1900648473557,22.131570585837,
6,100072.OF,,7.5974386520841,
7,110035.OF,,11.816361391393,
8,160602.OF,,13.66253030744,
9,202103.OF,,5.3821924648659,
10,202108.OF,,9.457138950646,
11,217003.OF,0.53469368660972,19.134815615859,
12,217022.OF,0.35231697261019,3.4392977257021,
13,261001.OF,,60.600970916737,
14,270043.OF,,,
15,270048.OF,,4.4857061251993,
16,400009.OF,,6.5949894789992,
17,485105.OF,,12.574710194845,
18,485107.OF,,11.575426802345,
19,519137.OF,,15.031950793385,
20,519138.OF,,21.254588597968,
21,519206.OF,,,
22,519225.OF,,100.0,
23,519322.OF,,8.0834371747374,
24,519324.OF,,2.7475929135257,
25,519328.OF,,100.0,
26,519330.OF,,16.176865631548,
27,519332.OF,,25.978692367223,
28,519334.OF,9.2062430308022,58.105515658029,
29,519680.OF,2.2318884035527,2.3092879972615,
30,519718.OF,0.075391863090769,9.761697853803,
31,519743.OF,1.1257356366537,98.874264363346,
32,519746.OF,,15.921826612241,
33,519762.OF,,100.0,
34,519776.OF,,23.876282876656,
35,519782.OF,0.054424378819314,4.8300006729721,
36,519784.OF,,100.0,
37,530021.OF,,15.46694885804,
38,650001.OF,16.027254207604,35.541418442809,
39,675041.OF,,68.112652317957,
40,960040.OF,,,
41,H000355.OF,,,
42,H202108.OF,,,
43,H217003.OF,,,
44,160128.SZ,,,
45,160515.SZ,,14.459012733854,
46,160618.SZ,,5.9557210885815,
47,161014.SZ,,6.4419320138109,
48,161019.SZ,4.7774070584523,11.466052196539,
49,161115.SZ,4.6692365704129,31.825208268314,
50,161117.SZ,,,
51,162715.SZ,,58.577728047756,
52,164703.SZ,,4.8984846291595,
53,000005.OF,,3.0638174627705,
54,000032.OF,,4.6173983741707,
55,000084.OF,,5.8085525353621,
56,000105.OF,2.1883224065381,,
57,000111.OF,,,
58,000128.OF,1.4514746423437,3.1177336432977,
59,000137.OF,,52.623929973404,
