,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
0,070005.OF,嘉实基金,803633475.84
1,070025.OF,嘉实基金,8351457777.55
2,070037.OF,嘉实基金,6038341178.39
3,100018.OF,富国基金,14988000114.02
4,100058.OF,富国基金,7753097808.34
5,100066.OF,富国基金,3867083243.12
6,100072.OF,富国基金,1197794596.53
7,110035.OF,易方达基金,18113453204.82
8,160602.OF,鹏华基金,1918604673.19
9,202103.OF,南方基金,7485274941.71
10,202108.OF,南方基金,4817280959.66
11,217003.OF,招商基金,1666678594.46
12,217022.OF,招商基金,19211674868.97
13,261001.OF,景顺长城基金,108781063.88
14,270043.OF,广发基金,8105425244.44
15,270048.OF,广发基金,12839999021.57
16,400009.OF,东方基金,886996223.26
17,485105.OF,工银瑞信,834892921.99
18,485107.OF,工银瑞信,3071064571.63
19,519137.OF,海富通基金,2837439021.12
20,519138.OF,海富通基金,1283650061.24
21,519206.OF,万家基金,209248952.42
22,519225.OF,海富通基金,454013199.93
23,519322.OF,浦银安盛基金,10061261060.99
24,519324.OF,浦银安盛基金,55147864.87
25,519328.OF,浦银安盛基金,1040734333.24
26,519330.OF,浦银安盛基金,1612301893.09
27,519332.OF,浦银安盛基金,9538899084.87
28,519334.OF,浦银安盛基金,1321324831.08
29,519680.OF,交银施罗德,2094916636.05
30,519718.OF,交银施罗德,4786105869.09
31,519743.OF,交银施罗德,6681206436.72
32,519746.OF,交银施罗德,1724386595.07
33,519762.OF,交银施罗德,744063279.96
34,519776.OF,交银施罗德,11217262786.83
35,519782.OF,交银施罗德,13083644953.04
36,519784.OF,交银施罗德,1797404740.34
37,530021.OF,建信基金,6945336559.62
38,650001.OF,英大基金,420335080.61
39,675041.OF,西部利得基金,3526557353.58
40,960040.OF,南方基金,
41,H000355.OF,南方基金,
42,H202108.OF,南方基金,
43,H217003.OF,招商基金,
44,160128.SZ,南方基金,319843588.28
45,160515.SZ,博时基金,455140987.9
46,160618.SZ,鹏华基金,1816428441.14
47,161014.SZ,富国基金,1306217128.57
48,161019.SZ,富国基金,2504354752.06
