,thscode,ths_portfolio_duration_fund
0,070005.OF,1.3667229960332
1,070025.OF,1.8021954171548
2,070037.OF,1.1837529262833
3,100018.OF,1.7613078456347
4,100058.OF,0.89798879345489
5,100066.OF,1.0656618595565
6,100072.OF,1.4839745974062
7,110035.OF,2.5032114802847
8,160602.OF,0.82933793204584
9,202103.OF,1.245527887781
10,202108.OF,3.3502385116684
11,217003.OF,1.4919453590673
12,217022.OF,1.8372482405704
13,261001.OF,0.6242
14,270043.OF,0.10487761544727
15,270048.OF,2.2170848456506
16,400009.OF,5.20038419803
17,485105.OF,1.391111270543
18,485107.OF,1.7405182200464
19,519137.OF,5.4627438694309
20,519138.OF,3.4882505008653
21,519206.OF,1.0437810424815
22,519225.OF,2.85879583203
23,519322.OF,2.066323196666
24,519324.OF,2.2128300707798
25,519328.OF,0.42913276695162
26,519330.OF,1.4071179232969
27,519332.OF,1.5164251161224
28,519334.OF,1.8788274707653
29,519680.OF,1.2045325235132
30,519718.OF,1.5194242906708
31,519743.OF,1.6411450564489
32,519746.OF,1.2495365296748
33,519762.OF,1.9242076135774
34,519776.OF,1.9769182403289
35,519782.OF,2.7348258597249
36,519784.OF,1.1309499714996
37,530021.OF,1.3812047061533
38,650001.OF,1.8404818470621
39,675041.OF,1.9531238476629
40,960040.OF,
41,H000355.OF,
42,H202108.OF,
43,H217003.OF,
44,160128.SZ,1.7241905090677
45,160515.SZ,0.78883358502807
46,160618.SZ,1.3717227673161
47,161014.SZ,1.4716537237807
48,161019.SZ,1.7891909588516
49,161115.SZ,1.6154056854797
50,161117.SZ,1.2635664620968
51,162715.SZ,1.9173534105245
52,164703.SZ,1.4919951269517
53,000005.OF,0.35218693977746
54,000032.OF,1.0468486437686
55,000084.OF,1.7399928733549
56,000105.OF,0.53918777345954
57,000111.OF,0.98683908499006
58,000128.OF,0.42135050777513
59,000137.OF,1.377341863917
60,000139.OF,0.35590340697452
61,000147.OF,1.4355088497596
62,000183.OF,1.3328857607627
63,000187.OF,2.2148902122162
64,000191.OF,1.1963951435272
65,000205.OF,2.1241988689511
66,000207.OF,0.54125787231421
67,000244.OF,8.9929872023434
68,000252.OF,2.4116409848968
69,000254.OF,2.0314632505736
70,000265.OF,0.75191476367875
71,000295.OF,0.62027199394334
72,000345.OF,2.1206217354673
73,000346.OF,0.49455874971764
74,000355.OF,1.0464497275952
75,000395.OF,1.4959391578096
76,000402.OF,2.429601797282
77,000469.OF,1.3295034165667
78,000516.OF,1.8968037084784
79,000546.OF,2.7116594152685
80,000552.OF,1.0821441996841
81,000606.OF,2.361280374192
82,000799.OF,0.10393076916535
83,000815.OF,2.5470521434409
84,000914.OF,0.3817554919532
85,000943.OF,1.3221068537367
86,001001.OF,1.2598072155684
87,001246.OF,2.1336555940871
88,001299.OF,2.9599817109713
89,001368.OF,0.23536731576189
90,001545.OF,0.99912089533134
91,001578.OF,1.7572170425919
92,001785.OF,1.377341863917
93,001819.OF,1.9221740880728
94,001911.OF,2.5367272333468
95,001960.OF,2.6421763460824
96,001961.OF,1.0335798541675
97,001993.OF,1.33866896698
98,002109.OF,1.7341941324252
99,002140.OF,2.3852087849714
100,002143.OF,1.0627366794136
101,002169.OF,1.60740014165
102,002175.OF,2.1199467209125
103,002188.OF,2.7253869092343
104,002198.OF,1.9784692486669
105,002206.OF,3.4004053486287
106,002268.OF,2.3208119006908
107,002301.OF,0.63048917704895
108,002336.OF,1.8213930837951
109,002338.OF,1.0788549294003
110,002341.OF,1.1355886686005
111,002354.OF,1.7676568910382
112,002377.OF,1.4995965118041
113,002381.OF,2.1447832353639
114,002395.OF,1.2958672550598
115,002438.OF,3.4864434875668
116,002445.OF,0.95688296433471
117,002447.OF,0.99432738154324
118,002452.OF,2.1591320773395
119,002466.OF,1.7219438209278
120,002483.OF,0.3379638308464
121,002548.OF,1.584150862765
122,002549.OF,2.0324586251516
123,002552.OF,1.1995569297541
124,002568.OF,2.2033728746992
125,002578.OF,0.57370369230987
126,002600.OF,1.9706306405351
127,002603.OF,1.0841150840163
128,002625.OF,3.3429101661617
129,002638.OF,3.1592617700209
130,002698.OF,1.4649033222689
131,002716.OF,2.3958353775739
132,002750.OF,1.4023544614565
133,002754.OF,6.160498182591
134,002755.OF,0.98530518604953
135,002781.OF,0.90241041223943
136,002817.OF,1.3968905476336
137,002832.OF,1.7983476501191
138,002864.OF,1.7839810814278
139,002868.OF,1.1262590149115
140,002898.OF,1.1795594372697
141,002904.OF,0.68089316469221
142,002927.OF,1.437831807893
143,002929.OF,2.0741762938915
144,002930.OF,1.9767807738611
145,002970.OF,2.5252262640786
146,002985.OF,1.4374651273513
147,002991.OF,2.3655696990391
148,002994.OF,0.85280064235144
149,003039.OF,1.263293370053
150,003102.OF,1.7492511275934
151,003155.OF,1.2565959073346
152,003162.OF,1.4339429797063
153,003188.OF,3.1536078303188
154,003192.OF,2.1822984784834
155,003193.OF,2.5188088677061
156,003209.OF,2.1588146911343
157,003213.OF,1.3648695201218
158,003214.OF,1.0963777458564
159,003223.OF,1.4554218104585
160,003258.OF,0.78630704150574
161,003260.OF,0.69454285694893
162,003265.OF,2.0663723024013
163,003268.OF,1.4054876822293
164,003269.OF,1.6351681160488
165,003280.OF,0.56457238451289
166,003285.OF,2.2784350907947
167,003289.OF,1.5466377783524
168,003290.OF,0.45331796475176
169,003313.OF,3.4037518017845
170,003315.OF,1.5643117708407
171,003327.OF,5.6371368069043
172,003329.OF,4.0762249585278
173,003417.OF,1.4136955592855
174,003428.OF,0.60137025611302
175,003438.OF,0.88830842600746
176,003440.OF,1.6170093478253
177,003445.OF,1.6915347294629
178,003452.OF,1.8982878105603
179,003454.OF,1.8138554936998
180,003518.OF,1.8529813536385
181,003528.OF,2.9907865209309
182,003547.OF,1.9242123864055
183,003569.OF,0.39539043167184
184,003571.OF,1.693318479698
185,003590.OF,1.7690101374204
186,003605.OF,1.7920751909628
187,003607.OF,1.1258906158728
188,003640.OF,1.7679779892199
189,003651.OF,3.0718471806559
190,003660.OF,0.59895155301877
191,003662.OF,1.8165675895641
192,003671.OF,5.1589626805161
193,003673.OF,2.2562202813102
194,003730.OF,1.6429375306049
195,003746.OF,0.8081809708904
196,003770.OF,2.9777442446659
197,003809.OF,1.1879059760471
198,003832.OF,1.3094006325137
199,003859.OF,2.1580869957855
200,003863.OF,1.6705968176771
201,003869.OF,1.3506634335124
202,003929.OF,2.6747933372777
203,003949.OF,2.8906934215708
204,003952.OF,2.3388500124309
205,003983.OF,1.2241892406252
206,004020.OF,0.69775887489349
207,004027.OF,1.2427342776894
208,004030.OF,0.76425600182323
209,004031.OF,0.97617856587943
210,004032.OF,1.7158740432038
211,004042.OF,1.8013890076261
212,004052.OF,0.65715162545559
213,004061.OF,0.91385445024718
214,004118.OF,1.2612014008241
215,004122.OF,1.4545548858247
216,004124.OF,0.59548697018194
217,004126.OF,0.75171460432894
218,004127.OF,1.9832573069165
219,004136.OF,1.8357578539701
220,004140.OF,2.3229832474644
221,004141.OF,1.7373334818439
222,004200.OF,1.3833086962222
223,004230.OF,2.4369192284617
224,004238.OF,1.5005576135785
225,004307.OF,1.7007647694972
226,004322.OF,1.4673358846655
227,004334.OF,2.8727022644193
228,004366.OF,2.0302652848782
229,004388.OF,0.68635849755584
230,004438.OF,2.2424595059922
231,004459.OF,2.7637774471894
232,004479.OF,1.994916113443
233,004498.OF,1.2206148788866
234,004499.OF,2.0469400956409
235,004503.OF,2.7171575825768
236,004544.OF,0.15238842462576
237,004547.OF,1.5011541635472
238,004555.OF,1.2664035109355
239,004601.OF,1.7380982755313
240,004614.OF,1.1371842836364
241,004637.OF,1.086402712068
242,004655.OF,4.1195314829258
243,004672.OF,0.75404147364551
244,004689.OF,2.2860936905434
245,004705.OF,1.0004723019995
246,004722.OF,2.3925544121591
247,004728.OF,3.181021766066
248,004736.OF,0.62574970532145
249,004797.OF,1.0872087215883
250,004821.OF,2.7603268999361
251,004859.OF,6.029526598239
252,004882.OF,3.9600638114417
253,004887.OF,0.62217639278515
254,004899.OF,3.1892463773508
255,004910.OF,0.92073120583569
256,004911.OF,1.7518655882448
257,004919.OF,1.2742843734329
258,004920.OF,0.65378653471339
259,004923.OF,1.3568563599375
260,004940.OF,1.5659486392888
261,004956.OF,0.67300857566001
262,004978.OF,1.8080352391177
263,005024.OF,1.6215403078731
264,005072.OF,2.8301315837898
265,005073.OF,4.701402321757
266,005124.OF,1.9466632623175
267,005171.OF,1.0761301778752
268,005307.OF,0.60701702381776
269,005309.OF,2.1215876965417
270,005321.OF,3.8547115129576
271,005322.OF,0.75904755116737
272,005336.OF,1.615072550627
273,005338.OF,2.2691586212839
274,005364.OF,2.1089519442738
275,005369.OF,1.4699464281626
276,005375.OF,3.1750747202835
277,005383.OF,0.95472291566612
278,005388.OF,2.3024720388532
279,005393.OF,2.4491622631134
280,005398.OF,1.9311306156376
281,005410.OF,1.7899621361784
282,005419.OF,1.602052442078
283,005432.OF,1.7269663676294
284,005435.OF,0.89050049379658
285,005439.OF,1.3807568410271
286,005442.OF,4.0421881874729
287,005462.OF,1.9427115351019
288,005469.OF,1.0770929204676
289,005525.OF,1.5799510187442
290,005577.OF,1.1805613991313
291,005590.OF,0.88597677479429
292,005594.OF,1.7406064219201
293,005606.OF,2.4506642121938
294,005622.OF,1.7703171847324
295,005631.OF,5.3241391674919
296,005648.OF,1.1312495522887
297,005666.OF,2.0414297661458
298,005670.OF,2.0202205184228
299,005684.OF,0.62162354794742
300,005703.OF,1.6582277332313
301,005710.OF,3.9922014981786
302,005712.OF,1.9667637911132
