,thscode,ths_jjggbl_fund
0,460008.OF,122.04895588437
1,485022.OF,116.1067305384
2,485105.OF,102.39426463522
3,485107.OF,119.64056601741
4,485120.OF,135.45897868547
5,519137.OF,112.79218245147
6,519138.OF,142.26039842164
7,519225.OF,100.03622834577
8,519322.OF,162.14175031895
9,519324.OF,137.40641283417
10,519328.OF,114.4310191205
11,519330.OF,100.01902747624
12,519332.OF,112.15362417735
13,519334.OF,104.97058486483
14,519680.OF,121.48130700987
15,519718.OF,117.49849276681
16,519743.OF,136.00611162253
17,519746.OF,115.6581272688
18,519762.OF,136.53006849993
19,519776.OF,100.05427716068
20,519782.OF,121.43840262566
21,519784.OF,102.83755635779
22,530021.OF,111.43263541107
23,530029.OF,100.03575355327
24,531028.OF,109.51511596202
25,650001.OF,111.51775503382
26,675041.OF,115.17568392258
27,960040.OF,
28,970096.OF,100.50018729603
29,970098.OF,101.17487543248
30,970132.OF,103.45145146311
31,H000355.OF,
32,H202108.OF,
33,H217003.OF,
34,160128.SZ,103.99505169763
35,160515.SZ,123.90482134546
36,160618.SZ,113.04004492552
37,161014.SZ,124.43607381641
38,161019.SZ,106.7808236156
39,161115.SZ,100.42195966957
40,161117.SZ,145.58426845187
41,162715.SZ,108.82242967618
42,164703.SZ,112.19472136267
43,000005.OF,151.00157504745
44,000032.OF,102.42637944825
45,000037.OF,133.39712594734
46,000053.OF,135.4149117949
47,000084.OF,113.81454770011
48,000090.OF,117.27571605584
49,000111.OF,142.25622805854
50,000116.OF,100.07344347784
51,000137.OF,114.50947646959
52,000139.OF,106.0292947866
53,000147.OF,124.60939135408
54,000183.OF,152.73811022793
55,000186.OF,108.58363122423
56,000187.OF,114.95466214794
57,000191.OF,117.40810964574
58,000205.OF,104.1560900838
59,000207.OF,100.06271275211
60,000244.OF,126.94336290045
61,000252.OF,127.51453233292
62,000254.OF,113.96118681107
63,000265.OF,148.15945008735
64,000295.OF,113.02812638462
65,000345.OF,112.97557702809
66,000346.OF,105.59065811514
67,000355.OF,143.64258923662
68,000402.OF,125.10243465645
69,000469.OF,127.36778971466
70,000516.OF,117.25390596228
71,000546.OF,111.7312848398
72,000552.OF,110.45337644725
73,000606.OF,103.36440222583
74,000783.OF,104.53525656916
75,000799.OF,
76,000815.OF,116.11161054215
77,000914.OF,125.24716849946
78,000931.OF,123.18020294001
79,000943.OF,134.13611025089
80,001246.OF,160.05872298307
81,001299.OF,117.75958035208
82,001368.OF,130.97622182334
83,001369.OF,130.62924812364
84,001545.OF,116.47290381011
85,001578.OF,100.0658430689
86,001619.OF,110.0857460361
87,001783.OF,127.75400684365
88,001785.OF,114.50947646959
89,001819.OF,157.28198760949
