time,000005.OF,000032.OF,000084.OF,000111.OF,000116.OF,000137.OF,000139.OF,000147.OF,000183.OF,000186.OF,000187.OF,000191.OF,000205.OF,000207.OF,000244.OF,000252.OF,000254.OF,000265.OF,000295.OF,000345.OF,000346.OF,000355.OF,000402.OF,000469.OF,000546.OF,000552.OF,000815.OF,000914.OF,001246.OF,001299.OF,001368.OF,001369.OF,001578.OF,040040.OF,040045.OF,050027.OF,050106.OF,070005.OF,070025.OF,070037.OF,100018.OF,100058.OF,100066.OF,100072.OF,110035.OF,160128.SZ,160515.SZ,160602.OF,160618.SZ,161014.SZ,161019.SZ,161115.SZ,161117.SZ,162715.SZ,202103.OF,202108.OF,217003.OF,217022.OF,261001.OF,270043.OF,270048.OF,460008.OF,485105.OF,485107.OF,519680.OF,519718.OF,519743.OF,530021.OF,650001.OF
2014-12-31,1.068,1.051,1.06,1.091,1.106,1.125,1.108,1.099,1.125,1.108,1.095,1.109,1.107,1.148,1.111,1.105,1.148,1.011,1.136,1.1,1.093,1.134,1.087,1.031,1.102,1.078,0.944,1.0021,,,,,,1.073,1.167,1.163,1.62,1.991,1.207,1.066,2.2252,1.254,1.086,1.15,1.267,1.179,1.159,1.667,1.375,1.325,1.222,1.622,1.188,0.983,1.496,1.106,1.8208,1.29,1.056,1.135,1.118,1.147,1.6948,1.6411,1.4955,1.096,0.982,1.07,1.0886
2015-01-05,1.071,1.051,1.061,1.091,1.106,1.128,1.109,1.103,1.128,1.109,1.097,1.109,1.108,1.15,1.112,1.105,1.152,,1.144,1.102,1.094,1.135,1.086,1.031,,,,,,,,,,1.073,1.173,1.162,1.628,1.995,1.213,1.067,2.2321,1.259,1.088,1.151,1.268,1.18,1.159,1.675,1.38,1.327,1.223,1.639,1.189,0.983,1.5043,1.11,1.8246,1.296,1.058,,1.12,1.148,1.7139,1.6492,1.5015,1.096,,1.071,1.0896
2015-01-06,1.073,1.051,1.061,,1.107,1.128,1.111,1.105,1.131,1.108,1.097,1.109,1.109,1.152,1.114,1.107,1.155,,1.145,1.104,1.094,1.133,1.084,1.03,,,,,,,,,,1.074,1.177,1.163,1.623,1.996,1.212,1.068,2.2319,1.261,1.089,1.152,1.27,1.181,1.16,1.672,1.379,1.328,1.223,1.633,1.19,0.981,1.5055,1.11,1.8215,1.297,1.059,,1.123,1.148,1.7151,1.6426,1.5017,1.097,,1.072,1.0881
2015-01-07,1.074,1.051,1.061,,1.107,1.128,1.111,1.105,1.132,1.108,1.098,1.109,1.109,1.154,1.114,1.108,1.157,,1.155,1.102,1.094,1.133,1.087,1.03,,,,,,,,,,1.075,1.185,1.163,1.623,1.997,1.215,1.068,2.2342,1.263,1.089,1.152,1.27,1.181,1.16,1.681,1.381,1.329,1.223,1.651,1.19,0.983,1.5092,1.11,1.8239,1.298,1.058,,1.125,1.149,1.7244,1.6485,1.5044,1.097,,1.072,1.0894
2015-01-08,1.074,1.05,1.062,,1.108,1.129,1.112,1.106,1.124,1.11,1.099,1.109,1.11,1.153,1.115,1.108,1.15,,1.147,1.102,1.094,1.134,1.087,1.032,,,,,,,,,,1.076,1.183,1.164,1.62,1.996,1.207,1.069,2.2303,1.262,1.089,1.153,1.271,1.182,1.161,1.677,1.374,1.328,1.222,1.627,1.19,0.984,1.5067,1.111,1.8194,1.294,1.059,,1.127,1.151,1.7136,1.6327,1.4982,1.098,,1.072,1.0896
2015-01-09,1.075,1.052,1.062,1.093,1.108,1.129,1.113,1.106,1.127,1.112,1.1,1.109,1.11,1.153,1.116,1.108,1.152,1.015,1.149,1.103,1.095,1.133,1.088,1.033,1.106,1.084,0.953,1.0034,,,,,,1.076,1.182,1.164,1.623,1.998,1.212,1.069,2.2329,1.262,1.09,1.153,1.272,1.183,1.162,1.678,1.374,1.328,1.222,1.626,1.19,0.983,1.5085,1.111,1.8287,1.298,1.06,1.136,1.128,1.151,1.7185,1.6424,1.5005,1.098,0.985,1.073,1.0878
2015-01-12,1.073,1.052,1.062,1.093,1.108,,1.113,1.106,1.125,1.113,1.101,1.111,1.111,1.152,1.116,1.108,1.15,,1.137,1.105,1.095,1.136,1.088,1.033,,,,,,,,,,1.076,1.18,1.167,1.628,1.997,1.21,1.07,2.2321,1.261,1.091,1.153,1.273,1.184,1.161,1.675,1.37,1.328,1.222,1.609,1.192,0.984,1.5047,1.111,1.8271,1.296,1.061,,1.13,1.151,1.706,1.6396,1.4958,1.099,,1.073,1.089
2015-01-13,1.075,1.053,1.063,,1.109,,1.114,1.107,1.127,1.113,1.102,1.111,1.109,1.154,1.117,1.109,1.152,,1.138,1.104,1.095,1.136,1.089,1.034,,,,,,,,,,1.077,1.183,1.166,1.629,2.002,1.21,1.07,2.2328,1.263,1.091,1.153,1.274,1.184,1.161,1.674,1.372,1.329,1.225,1.616,1.192,0.985,1.5064,1.113,1.829,1.3,1.061,,1.132,1.152,1.7087,1.6438,1.4972,1.099,,1.075,1.0905
2015-01-14,1.077,1.056,1.063,,1.11,,1.116,1.107,1.125,1.115,1.104,1.112,1.109,1.155,1.121,1.111,1.156,,1.15,1.106,1.095,1.14,1.09,1.035,,,,,,,,,,1.078,1.184,1.166,1.628,2.004,1.212,1.072,2.2352,1.264,1.092,1.155,1.277,1.186,1.164,1.678,1.377,1.33,1.225,1.614,1.193,0.985,1.5086,1.113,1.831,1.3,1.062,,1.138,1.155,1.7133,1.6503,1.5003,1.1,,1.077,1.0922
2015-01-15,1.08,1.057,1.064,,1.109,,1.116,1.108,1.134,1.115,1.105,1.112,1.11,1.156,1.121,1.111,1.159,,1.165,1.104,1.096,1.141,1.092,1.035,,,,,,,,,,1.079,1.187,1.161,1.639,2.007,1.226,1.072,2.2403,1.267,1.094,1.155,1.277,1.187,1.165,1.684,1.384,1.332,1.226,1.628,1.194,0.988,1.5111,1.116,1.8346,1.305,1.062,,1.139,1.156,1.7251,1.6656,1.5066,1.101,,1.079,1.0934
