time,000005.OF,000032.OF,000084.OF,000111.OF,000116.OF,000137.OF,000139.OF,000147.OF,000183.OF,000186.OF,000187.OF,000191.OF,000205.OF,000207.OF,000244.OF,000252.OF,000254.OF,000265.OF,000295.OF,000345.OF,000346.OF,000355.OF,000402.OF,000469.OF,000546.OF,000552.OF,000815.OF,000914.OF,000943.OF,001246.OF,001299.OF,001368.OF,001369.OF,001545.OF,001578.OF,001785.OF,001819.OF,001911.OF,001960.OF,001961.OF,001993.OF,002109.OF,002143.OF,002169.OF,002188.OF,002198.OF,002206.OF,002268.OF,040040.OF,040045.OF,050027.OF,050106.OF,070005.OF,070025.OF,070037.OF,100018.OF,100058.OF,100066.OF,100072.OF,110035.OF,160128.SZ,160515.SZ,160602.OF,160618.SZ,161014.SZ,161019.SZ,161115.SZ,161117.SZ,162715.SZ,202103.OF,202108.OF,217003.OF,217022.OF,261001.OF,270043.OF,270048.OF,460008.OF,485105.OF,485107.OF,519680.OF,519718.OF,519743.OF,519762.OF,530021.OF,650001.OF
2015-06-30,1.139,1.108,1.087,1.146,1.147,1.182,1.159,1.138,1.174,1.159,1.143,1.166,1.17,1.223,1.176,1.171,1.201,1.054,1.228,1.162,1.152,1.172,1.159,1.083,1.161,1.156,1.016,1.0276,,0.991,0.992,1.001,1.001,,1.0,,,,,,,,,,,,,,1.131,1.343,1.216,1.722,2.07,1.286,1.107,2.3085,1.32,1.135,1.233,1.314,1.219,1.233,1.777,1.408,1.388,1.27,1.79,1.254,1.058,1.5567,1.151,1.8573,1.345,1.113,1.162,1.19,1.195,1.7714,1.6936,1.5449,1.156,1.046,,1.121,1.1555
2015-07-01,1.133,1.108,1.087,1.146,1.147,,1.159,1.138,1.165,1.159,1.143,1.166,1.17,1.224,1.175,1.171,1.2,1.054,1.212,1.162,1.15,1.171,1.159,1.083,,,,,,,0.992,,,,,,,,,,,,,,,,,,1.131,1.332,1.216,1.713,2.063,1.279,1.108,2.2941,1.319,1.134,1.234,1.314,1.219,1.232,1.766,1.391,1.386,1.268,1.773,1.253,1.058,1.5506,1.151,1.8571,1.345,1.114,,1.19,1.194,1.7508,1.6737,1.5445,1.156,,,1.121,1.1555
2015-07-02,1.128,1.108,1.088,1.147,1.147,,1.158,1.138,1.157,1.159,1.143,1.167,1.17,1.224,1.175,1.171,1.198,1.054,1.202,1.162,1.15,1.171,1.157,1.083,,1.157,,,,,0.992,,,,,,,,,,,,,,,,,,1.132,1.321,1.217,1.716,2.057,1.271,1.108,2.2804,1.319,1.131,1.234,1.314,1.219,1.233,1.758,1.38,1.385,1.265,1.763,1.254,1.058,1.5471,1.152,1.8569,1.345,1.114,,1.19,1.193,1.7377,1.6641,1.5448,1.156,,,1.12,1.1559
2015-07-03,1.126,1.109,1.089,1.147,1.147,1.18,1.158,1.138,1.155,1.159,1.144,1.168,1.17,1.224,1.176,1.172,1.197,1.055,1.208,1.162,1.148,1.172,1.157,1.083,1.158,1.157,1.016,1.028,,0.991,0.992,1.002,1.001,,1.0,,,,,,,,,,,,,,1.132,1.313,1.217,1.708,2.055,1.277,1.108,2.2715,1.319,1.131,1.234,1.315,1.22,1.233,1.754,1.387,1.385,1.267,1.751,1.254,1.059,1.5471,1.152,1.8576,1.345,1.114,1.162,1.19,1.194,1.7261,1.6497,1.545,1.157,1.046,,1.122,1.156
2015-07-06,1.131,1.112,1.089,,1.148,,1.159,1.141,1.159,1.161,1.146,1.168,1.173,1.226,1.179,1.175,1.198,,1.218,1.163,1.15,1.177,1.162,1.085,,1.16,,,,,0.992,1.002,1.001,,,,,,,,,,,,,,,,1.132,1.31,1.218,1.726,2.063,1.288,1.111,2.2864,1.321,1.132,1.235,1.318,1.222,1.236,1.768,1.398,1.393,1.274,1.766,1.257,1.06,1.5545,1.155,1.8619,1.347,1.116,,1.196,1.198,1.7321,1.6616,1.5476,1.163,,,1.126,1.1556
2015-07-07,1.13,1.117,1.091,,1.149,,1.16,1.144,1.159,1.162,1.148,1.169,1.177,1.227,1.182,1.177,1.2,,1.207,1.164,1.15,1.182,1.167,1.086,,1.164,,,,,0.993,,,,,,,,,,,,,,,,,,1.135,1.29,1.22,1.753,2.064,1.289,1.114,2.2897,1.321,1.133,1.237,1.322,1.228,1.241,1.774,1.388,1.398,1.273,1.774,1.259,1.062,1.5586,1.157,1.8639,1.349,1.119,,1.206,1.202,1.7372,1.675,1.5512,1.169,,,1.132,1.1565
2015-07-08,1.126,1.12,1.091,,1.148,,1.16,1.145,1.156,1.164,1.15,1.17,1.179,1.228,1.179,1.178,1.2,,1.199,1.164,1.149,1.183,1.167,1.086,,1.166,,,,,0.994,,,,,,,,,,,,,,,,,,1.136,1.285,1.221,1.734,2.061,1.287,1.115,2.2791,1.319,1.133,1.238,1.324,1.23,1.242,1.76,1.378,1.398,1.27,1.768,1.26,1.062,1.5546,1.158,1.8637,1.346,1.119,,1.211,1.203,1.7313,1.6691,1.5522,1.17,,,1.134,1.1558
2015-07-09,1.125,1.118,1.091,,1.15,,1.16,1.144,1.155,1.163,1.149,1.17,1.178,1.228,1.18,1.179,1.201,,1.209,1.164,1.15,1.182,1.167,1.086,,1.165,,,,,0.994,,,,,,,,,,,,,,,,,,1.136,1.293,1.222,1.74,2.06,1.286,1.114,2.2889,1.321,1.133,1.238,1.323,1.227,1.243,1.774,1.412,1.398,1.269,1.78,1.26,1.062,1.559,1.158,1.8635,1.344,1.119,,1.208,1.202,1.7327,1.6721,1.5517,1.169,,,1.133,1.155
2015-07-10,1.127,1.118,1.091,1.15,1.149,1.186,1.161,1.144,1.158,1.163,1.149,1.171,1.178,1.228,1.181,1.179,1.204,1.057,1.215,1.165,1.15,1.179,1.165,1.087,1.164,1.167,1.026,1.0291,,0.995,0.994,1.002,1.002,,0.996,,,,,,,,,,,,,,1.136,1.303,1.222,1.74,2.059,1.285,1.115,2.2991,1.321,1.134,1.239,1.323,1.225,1.244,1.784,1.421,1.399,1.269,1.787,1.261,1.062,1.5604,1.158,1.8638,1.344,1.12,1.162,1.208,1.2,1.7352,1.6699,1.552,1.169,1.053,,1.131,1.1533
2015-07-13,1.128,1.118,1.092,,1.149,,1.162,1.144,1.16,1.163,1.149,1.171,1.178,1.229,1.181,1.18,1.206,,1.214,1.166,1.152,1.178,1.165,1.087,,,,,,,0.994,1.002,1.002,,0.996,,,,,,,,,,,,,,1.137,1.315,1.222,1.736,2.06,1.285,1.115,2.3081,1.322,1.135,1.239,1.323,1.225,1.245,1.793,1.422,1.4,1.27,1.786,1.262,1.06,1.561,1.158,1.8638,1.344,1.12,,1.207,1.2,1.7381,1.6677,1.5525,1.169,,,1.131,1.1546
