time,000005.OF,000032.OF,000084.OF,000111.OF,000116.OF,000137.OF,000139.OF,000147.OF,000183.OF,000186.OF,000187.OF,000191.OF,000205.OF,000207.OF,000244.OF,000252.OF,000254.OF,000265.OF,000295.OF,000345.OF,000346.OF,000355.OF,000402.OF,000469.OF,000546.OF,000552.OF,000815.OF,000914.OF,000943.OF,001246.OF,001299.OF,001368.OF,001369.OF,001545.OF,001578.OF,001785.OF,001819.OF,001911.OF,001960.OF,001961.OF,001993.OF,002109.OF,002143.OF,002169.OF,002175.OF,002188.OF,002198.OF,002206.OF,002268.OF,002301.OF,002336.OF,002341.OF,002354.OF,002377.OF,002395.OF,002438.OF,002445.OF,002447.OF,002466.OF,002483.OF,002524.OF,002548.OF,002549.OF,002552.OF,002568.OF,002600.OF,002603.OF,002625.OF,002638.OF,002698.OF,002716.OF,002750.OF,002754.OF,002755.OF,002781.OF,002832.OF,002864.OF,002868.OF,002904.OF,040040.OF,040045.OF,050027.OF,050106.OF,070005.OF,070025.OF,070037.OF,100018.OF,100058.OF,100066.OF,100072.OF,110035.OF,160128.SZ,160515.SZ,160602.OF,160618.SZ,161014.SZ,161019.SZ,161115.SZ,161117.SZ,162715.SZ,202103.OF,202108.OF,217003.OF,217022.OF,261001.OF,270043.OF,270048.OF,460008.OF,485105.OF,485107.OF,519680.OF,519718.OF,519743.OF,519762.OF,530021.OF,650001.OF
2015-12-31,1.163,1.185,1.127,1.195,1.197,1.247,1.185,1.198,1.208,1.199,1.194,1.195,1.254,1.256,1.257,1.243,1.249,1.103,1.249,1.197,1.176,1.253,1.228,1.117,1.211,1.247,1.099,1.0549,1.001,1.058,1.049,1.012,1.016,1.002,1.027,1.026,1.031,1.013,1.017,1.032,1.022,1.002,1.003,1.002,,1.0,1.002,1.002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.162,1.386,1.279,1.812,2.139,1.338,1.155,2.3624,1.351,1.17,1.298,1.379,1.316,1.331,1.832,1.451,1.441,1.331,1.859,1.33,1.098,1.6243,1.214,1.9109,1.416,1.178,1.184,1.284,1.281,1.8036,1.7845,1.5903,1.206,1.104,1.0,1.186,1.2054
2016-01-04,1.163,1.185,1.127,1.195,1.195,1.246,1.185,1.198,1.208,1.198,1.194,1.195,1.253,1.256,1.257,1.243,1.248,,1.248,1.197,1.176,1.251,1.227,1.117,,,,,1.001,,1.05,,,1.002,1.027,,1.032,1.013,1.016,1.031,1.022,1.002,1.003,1.002,,1.0,1.002,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.161,1.367,1.278,1.807,2.138,1.338,1.155,2.3613,1.351,1.169,1.298,1.379,1.316,1.331,1.829,1.451,1.441,1.328,1.854,1.33,1.097,1.6225,1.212,1.91,1.415,1.178,,1.283,1.278,1.8021,1.7783,1.5886,1.205,,,1.185,1.2051
2016-01-05,1.162,1.184,1.127,1.195,1.195,,1.185,1.198,1.207,1.198,1.194,1.195,1.253,1.256,1.257,1.243,1.248,1.104,1.248,1.198,1.176,1.249,1.227,1.117,,,,,1.001,,1.05,,,1.002,1.027,,1.032,1.013,1.014,1.031,1.022,1.002,1.003,1.002,,1.0,1.002,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.358,1.277,1.806,2.138,1.338,1.154,2.3612,1.351,1.169,1.298,1.378,1.316,1.331,1.829,1.452,1.441,1.327,1.853,1.33,1.097,1.6219,1.21,1.9092,1.416,1.178,,1.282,1.275,1.8015,1.7743,1.5881,1.204,,,1.184,1.2046
2016-01-06,1.162,1.184,1.127,,1.196,,1.185,1.198,1.207,1.199,1.194,1.196,1.254,1.256,1.257,1.243,1.249,,1.249,1.199,1.176,1.25,1.227,1.117,,,,,1.001,,1.05,,,1.002,1.027,,1.032,1.013,1.014,1.031,1.022,1.002,1.004,1.002,,1.0,1.002,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.161,1.363,1.279,1.809,2.138,1.339,1.154,2.3618,1.351,1.17,1.299,1.378,1.316,1.331,1.831,1.453,1.441,1.328,1.854,1.33,1.098,1.6222,1.211,1.9096,1.416,1.179,,1.283,1.277,1.802,1.7763,1.5885,1.204,,,1.184,1.2042
2016-01-07,1.163,1.185,1.128,,1.197,,1.186,1.199,1.208,1.2,1.195,1.196,1.255,1.257,1.258,1.244,1.25,1.105,1.249,1.199,1.176,1.252,1.228,1.118,,,,,1.001,,1.051,,,1.002,1.027,,1.033,1.013,1.015,1.032,1.023,1.002,1.004,1.003,,1.001,1.003,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.162,1.346,1.28,1.809,2.14,1.339,1.155,2.3615,1.351,1.171,1.3,1.379,1.316,1.332,1.828,1.454,1.442,1.326,1.85,1.331,1.098,1.6217,1.213,1.9104,1.416,1.179,,1.284,1.28,1.8015,1.7813,1.589,1.205,,,1.185,1.2063
2016-01-08,1.163,1.186,1.128,1.197,1.197,1.248,1.186,1.201,1.209,1.201,1.196,1.197,1.256,1.257,1.259,1.245,1.25,1.106,1.253,1.2,1.176,1.254,1.228,1.119,1.213,1.249,1.102,1.0559,1.001,1.062,1.051,1.012,1.016,1.002,1.028,1.028,1.034,1.014,1.016,1.033,1.024,1.002,1.004,1.003,,1.001,1.004,1.002,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.163,1.345,1.281,1.812,2.141,1.34,1.156,2.3623,1.351,1.171,1.301,1.381,1.317,1.334,1.829,1.455,1.442,1.327,1.852,1.332,1.099,1.6227,1.215,1.9114,1.417,1.181,1.184,1.286,1.283,1.803,1.7849,1.5901,1.206,1.105,1.001,1.186,1.2076
2016-01-11,1.164,1.187,1.129,,1.198,,1.186,1.201,1.21,1.202,1.197,1.198,1.257,1.257,1.26,1.246,1.251,,1.254,1.2,1.176,1.255,1.229,1.12,,1.25,,,1.001,,1.052,,,1.003,1.028,,1.035,1.014,1.017,1.034,1.024,1.002,1.004,1.003,,1.001,1.004,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.163,1.333,1.282,1.811,2.142,1.34,1.157,2.3623,1.352,1.172,1.302,1.382,1.317,1.335,1.828,1.456,1.443,1.327,1.85,1.332,1.099,1.6225,1.215,1.9121,1.418,1.181,,1.287,1.284,1.803,1.7866,1.5905,1.207,,,1.187,1.2084
2016-01-12,1.165,1.188,1.13,,1.199,,1.186,1.203,1.211,1.204,1.198,1.199,1.258,1.258,1.262,1.248,1.257,1.107,1.255,1.2,1.176,1.258,1.23,1.121,,1.251,,,1.001,,1.053,,,1.003,1.029,,1.036,1.015,1.018,1.036,1.026,1.003,1.005,1.004,,1.002,1.005,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.164,1.337,1.284,1.814,2.144,1.342,1.158,2.364,1.352,1.173,1.305,1.384,1.318,1.337,1.829,1.457,1.443,1.327,1.852,1.333,1.1,1.6241,1.218,1.9135,1.42,1.183,,1.289,1.287,1.804,1.7909,1.5923,1.209,,,1.188,1.2073
2016-01-13,1.166,1.19,1.13,,1.2,,1.187,1.204,1.212,1.205,1.2,1.2,1.26,1.258,1.264,1.249,1.258,1.109,1.258,1.201,1.176,1.26,1.231,1.122,,1.253,,,1.002,,1.054,,,1.003,1.029,,1.037,1.016,1.021,1.038,1.027,1.003,1.005,1.005,,1.003,1.005,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.166,1.332,1.285,1.817,2.146,1.344,1.159,2.3653,1.353,1.174,1.306,1.386,1.318,1.339,1.829,1.46,1.445,1.327,1.852,1.334,1.101,1.6252,1.222,1.9145,1.421,1.184,,1.291,1.292,1.8046,1.797,1.5943,1.211,,,1.19,1.2102
2016-01-14,1.167,1.191,1.131,,1.201,,1.187,1.205,1.213,1.206,1.2,1.201,1.261,1.259,1.265,1.25,1.259,,1.259,1.202,1.176,1.261,1.231,1.123,,,,,1.002,,1.055,,,1.003,1.03,,1.038,1.016,1.022,1.039,1.028,1.003,1.005,1.005,,1.003,1.005,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.166,1.34,1.286,1.819,2.148,1.344,1.16,2.3663,1.353,1.175,1.307,1.387,1.32,1.341,1.83,1.463,1.446,1.327,1.854,1.335,1.101,1.6265,1.222,1.9152,1.422,1.185,,1.291,1.292,1.8053,1.7989,1.5958,1.212,,,1.189,1.2092
