time,000005.OF,000032.OF,000084.OF,000111.OF,000116.OF,000137.OF,000139.OF,000147.OF,000183.OF,000186.OF,000187.OF,000191.OF,000205.OF,000207.OF,000244.OF,000252.OF,000254.OF,000265.OF,000295.OF,000345.OF,000346.OF,000355.OF,000402.OF,000469.OF,000546.OF,000552.OF,000815.OF,000914.OF,000943.OF,001246.OF,001299.OF,001369.OF,001545.OF,001578.OF,001785.OF,001819.OF,001911.OF,001960.OF,001961.OF,001993.OF,002109.OF,002140.OF,002143.OF,002169.OF,002175.OF,002188.OF,002198.OF,002206.OF,002268.OF,002301.OF,002336.OF,002341.OF,002354.OF,002377.OF,002395.OF,002438.OF,002445.OF,002447.OF,002466.OF,002483.OF,002524.OF,002548.OF,002549.OF,002550.OF,002552.OF,002568.OF,002578.OF,002600.OF,002603.OF,002625.OF,002638.OF,002698.OF,002716.OF,002750.OF,002754.OF,002755.OF,002781.OF,002832.OF,002864.OF,002868.OF,002898.OF,002904.OF,002927.OF,002929.OF,002930.OF,002970.OF,002985.OF,002991.OF,002994.OF,003056.OF,003102.OF,003155.OF,003162.OF,003192.OF,003209.OF,003213.OF,003214.OF,003223.OF,003258.OF,003260.OF,003265.OF,003268.OF,003269.OF,003280.OF,003285.OF,003289.OF,003290.OF,003309.OF,003313.OF,003327.OF,003329.OF,003417.OF,003428.OF,003445.OF,003452.OF,003454.OF,003528.OF,003547.OF,003571.OF,003590.OF,003605.OF,003607.OF,003651.OF,003660.OF,003662.OF,003671.OF,003673.OF,003703.OF,003730.OF,003746.OF,003809.OF,003832.OF,003847.OF,003863.OF,003929.OF,003949.OF,003983.OF,004030.OF,004118.OF,040040.OF,040045.OF,050027.OF,050106.OF,070005.OF,070025.OF,070037.OF,100018.OF,100058.OF,100066.OF,100072.OF,110035.OF,160128.SZ,160515.SZ,160602.OF,160618.SZ,161014.SZ,161019.SZ,161115.SZ,161117.SZ,162715.SZ,164703.SZ,202103.OF,202108.OF,217003.OF,217022.OF,261001.OF,270043.OF,270048.OF,460008.OF,485105.OF,485107.OF,519225.OF,519322.OF,519324.OF,519328.OF,519332.OF,519680.OF,519718.OF,519743.OF,519762.OF,519776.OF,519782.OF,530021.OF,650001.OF,675041.OF
2016-06-30,1.177,1.207,1.145,1.218,1.217,1.265,1.198,1.208,1.226,1.206,1.203,1.216,1.271,1.273,1.284,1.26,1.284,1.127,1.282,1.222,1.184,1.269,1.253,1.143,1.239,1.282,1.102,1.078,1.017,1.083,1.07,1.026,1.0115,1.0406,1.042,1.064,1.0292,1.028,1.0447,1.0484,1.0133,,1.0164,1.018,1.025,1.012,1.0173,1.0133,1.003,1.014,1.016,1.011,1.0095,1.009,1.005,1.011,1.005,1.0122,1.0095,1.007,1.001,1.088,1.016,,1.015,1.006,,1.003,1.012,1.016,1.008,1.009,1.012,1.004,1.003,1.003,1.0036,1.002,1.001,1.0003,,1.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.172,1.374,1.302,1.83,2.163,1.358,1.172,2.3881,1.365,1.188,1.343,1.394,1.329,1.366,1.842,1.482,1.469,1.35,1.872,1.354,1.116,,1.6344,1.226,1.9237,1.444,1.196,,1.303,1.288,1.816,1.7948,,,,,,1.589,1.198,1.123,1.01,,,1.197,1.25,
2016-07-01,1.178,1.208,1.146,1.219,1.218,1.267,1.198,1.209,1.226,1.207,1.204,1.216,1.272,1.273,1.285,1.261,1.285,1.128,1.283,1.223,1.185,1.27,1.254,1.144,1.24,1.283,1.103,1.0781,1.018,1.083,1.071,1.026,1.0118,1.041,1.044,1.066,1.0291,1.029,1.0453,1.0488,1.0142,,1.0175,1.019,1.025,1.0123,1.0175,1.0148,1.004,1.014,1.016,1.012,1.0099,1.009,1.007,1.011,1.006,1.0128,1.0093,1.008,1.001,1.088,1.019,,1.017,1.007,,1.004,1.013,1.019,1.009,1.01,1.013,1.004,1.003,1.004,1.0038,1.002,1.001,1.0004,,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173,1.37,1.302,1.833,2.164,1.36,1.173,2.389,1.366,1.189,1.344,1.395,1.33,1.367,1.842,1.484,1.469,1.351,1.874,1.354,1.117,,1.6351,1.229,1.9247,1.445,1.197,1.184,1.305,1.291,1.8177,1.798,,,,,,1.5894,1.199,1.123,1.011,,,1.197,1.2508,
2016-07-04,1.179,1.209,1.147,,1.218,,1.198,1.21,1.227,1.207,1.205,1.217,1.273,1.274,1.287,1.263,1.287,,1.284,1.224,1.185,1.27,1.254,1.145,,1.284,,,1.018,1.085,1.072,,1.0122,1.0418,,1.066,1.0299,1.03,1.046,1.0503,1.0152,,1.0173,1.019,1.027,1.0133,1.018,1.0163,1.005,1.014,1.017,1.012,1.0105,1.009,,1.012,1.007,1.0138,1.0107,,1.001,1.088,1.019,,,1.008,,,,,1.009,1.011,1.013,,1.004,1.004,1.0047,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173,1.372,1.303,1.832,2.166,1.361,1.173,2.3902,1.366,1.189,1.344,1.396,1.331,1.369,1.844,1.484,1.471,1.352,1.877,1.355,1.117,,1.6365,1.228,1.9253,1.446,1.199,,1.305,1.29,1.8192,1.7979,,,,,,1.5901,1.199,,1.011,,,1.198,1.2511,
2016-07-05,1.179,1.209,1.147,,1.218,,1.198,1.21,1.227,1.207,1.205,1.218,1.273,1.275,1.287,1.263,1.287,1.129,1.285,1.224,1.185,1.27,1.254,1.145,,,,,1.018,1.086,1.073,,1.0123,1.0421,,1.066,1.0304,1.029,1.0462,1.0508,1.0159,,1.0177,1.019,1.027,1.0136,1.0181,1.0171,1.005,1.014,1.017,1.012,1.0106,1.01,,1.012,1.007,1.0144,1.0109,,1.002,1.088,1.019,,,1.008,,,,,1.009,1.011,1.013,,1.004,1.004,1.0049,1.002,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173,1.372,1.303,1.832,2.166,1.361,1.174,2.3909,1.366,1.189,1.345,1.397,1.331,1.369,1.844,1.483,1.471,1.353,1.878,1.355,1.117,,1.637,1.228,1.9256,1.447,1.199,,1.305,1.289,1.8202,1.7968,,,,,,1.5903,1.199,,1.012,,,1.198,1.2513,
2016-07-06,1.179,1.21,1.147,,1.218,,1.199,1.211,1.227,1.207,1.205,1.218,1.274,1.276,1.288,1.264,1.288,,1.285,1.224,1.185,1.271,1.255,1.146,1.241,1.285,,,1.019,,1.073,,1.0125,1.0422,,1.066,1.0305,1.03,1.0465,1.0515,1.0163,,1.0182,1.019,1.027,1.0138,1.0183,1.0179,1.006,1.014,1.017,1.012,1.0107,1.01,,1.013,1.007,1.0147,1.011,,1.002,1.088,1.02,,,1.008,,,,,1.01,1.012,1.013,,1.004,1.005,1.0047,1.002,,,,1.0008,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173,1.371,1.304,1.834,2.167,1.361,1.174,2.3917,1.366,1.19,1.347,1.397,1.331,1.369,1.845,1.484,1.472,1.353,1.879,1.356,1.118,,1.6374,1.229,1.9259,1.447,1.2,,1.306,1.29,1.8213,1.7985,,,,,,1.5905,1.2,,1.012,,,1.198,1.2517,
2016-07-07,1.18,1.211,1.147,,1.219,,1.199,1.211,1.228,1.208,1.207,1.219,1.275,1.276,1.29,1.265,1.289,1.13,1.286,1.225,1.185,1.272,1.257,1.147,1.242,1.286,,,1.02,1.087,1.074,,1.0127,1.0428,,1.067,1.0312,1.031,1.0472,1.0528,1.0176,,1.0196,1.02,1.027,1.0146,1.0186,1.0194,1.006,1.014,1.018,1.013,1.0116,1.01,1.01,1.014,1.007,1.0156,1.0121,,1.002,1.088,1.02,,,1.008,,,,,1.011,1.013,1.014,,1.005,1.005,1.0047,1.002,,0.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174,1.377,1.305,1.837,2.169,1.363,1.175,2.3924,1.367,1.191,1.348,1.398,1.332,1.369,1.846,1.485,1.472,1.355,1.879,1.357,1.118,,1.638,1.232,1.9266,1.448,1.201,,1.307,1.293,1.8226,1.8013,,,,,,1.5909,1.2,,1.013,,,1.199,1.2523,
2016-07-08,1.181,1.212,1.148,1.221,1.22,1.272,1.199,1.212,1.229,1.209,1.207,1.22,1.275,1.275,1.291,1.266,1.29,1.13,1.288,1.225,1.186,1.273,1.258,1.147,1.242,1.287,1.11,1.079,1.022,1.087,1.075,1.027,1.0128,1.0431,1.049,1.067,1.0315,1.031,1.0475,1.0532,1.0182,,1.0197,1.02,1.027,1.0149,1.0187,1.021,1.007,1.014,1.018,1.013,1.0119,1.01,1.011,1.014,1.008,1.016,1.0126,1.01,1.002,1.088,1.02,,1.02,1.008,,1.007,1.017,1.024,1.012,1.014,1.015,1.005,1.005,1.005,1.0047,1.002,1.001,1.0009,,1.0019,1.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174,1.375,1.306,1.838,2.17,1.364,1.176,2.3934,1.367,1.192,1.349,1.399,1.333,1.37,1.845,1.486,1.474,1.355,1.88,1.357,1.119,,1.6383,1.235,1.927,1.449,1.202,1.184,1.308,1.293,1.8232,1.8022,,,,,,1.5913,1.201,1.126,1.013,,,1.199,1.2529,
2016-07-11,1.182,1.212,1.148,,1.22,,1.2,1.213,1.229,1.208,1.207,1.221,1.276,1.275,1.291,1.268,1.29,1.131,1.289,1.225,1.186,1.273,1.26,1.148,1.243,1.288,,,1.023,1.088,1.076,,1.013,1.0433,,1.067,1.0318,1.031,1.0478,1.0542,1.0188,,1.0195,1.02,1.028,1.0152,1.0191,1.0217,1.007,1.015,1.018,1.013,1.0122,1.011,,1.014,1.008,1.0163,1.0129,,1.002,1.088,1.02,,,1.008,,,,,1.012,1.014,1.014,,1.005,1.006,1.005,1.003,,1.0014,,,1.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174,1.374,1.307,1.839,2.17,1.365,1.176,2.3942,1.368,1.193,1.351,1.399,1.334,1.37,1.845,1.485,1.474,1.355,1.882,1.358,1.119,,1.6384,1.235,1.9273,1.449,1.203,,1.308,1.293,1.8232,1.8023,,,1.0,,,1.5914,1.201,,1.013,,,1.199,1.2531,
2016-07-12,1.182,1.212,1.148,,1.221,1.273,1.2,1.213,1.23,1.208,1.207,1.222,1.276,1.275,1.29,1.268,1.29,,1.289,1.225,1.186,1.273,1.259,1.148,,,,,1.023,1.089,1.076,1.027,1.0131,1.0434,1.049,1.067,1.0318,1.031,1.0479,1.0547,1.0188,,1.0197,1.02,1.028,1.0151,1.0192,1.0224,1.007,1.014,1.018,1.013,1.0122,1.011,,1.014,1.008,1.0163,1.0131,,1.002,1.088,1.02,,,1.008,,,,,1.012,1.014,1.014,,1.005,1.006,1.0059,1.003,,1.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174,1.373,1.307,1.838,2.171,1.365,1.176,2.3946,1.368,1.193,1.351,1.399,1.334,1.371,1.847,1.485,1.476,1.356,1.884,1.359,1.119,,1.6386,1.235,1.9272,1.45,1.203,,1.308,1.292,1.8235,1.8012,,,,,,1.5921,1.201,,1.013,,,1.199,1.2531,
2016-07-13,1.181,1.213,1.148,,1.221,,1.201,1.213,1.23,1.208,1.207,1.222,1.277,1.277,1.29,1.269,1.29,,1.289,1.225,1.186,1.273,1.259,1.148,,,,,1.023,,1.076,,1.0131,1.0434,,1.068,1.0318,1.03,1.0477,1.055,1.0188,,1.0193,1.02,1.028,1.0151,1.0193,1.0218,1.007,1.014,1.018,1.013,1.0119,1.011,,1.014,1.008,1.0162,1.0131,,1.002,1.088,1.02,,,1.008,,,,,1.012,1.014,1.013,,1.005,1.006,1.0057,1.003,,1.0014,,,0.9982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174,1.375,1.307,1.838,2.17,1.364,1.176,2.3955,1.368,1.193,1.352,1.399,1.334,1.37,1.848,1.485,1.477,1.356,1.886,1.359,1.119,,1.6399,1.234,1.9271,1.451,1.204,,1.308,1.291,1.8241,1.8001,,,,,,1.5922,1.201,,1.013,,,1.199,1.253,
