time,000005.OF,000032.OF,000084.OF,000111.OF,000116.OF,000137.OF,000139.OF,000147.OF,000183.OF,000186.OF,000187.OF,000191.OF,000205.OF,000207.OF,000244.OF,000252.OF,000254.OF,000265.OF,000295.OF,000345.OF,000346.OF,000355.OF,000402.OF,000469.OF,000546.OF,000552.OF,000815.OF,000914.OF,000943.OF,001246.OF,001299.OF,001369.OF,001545.OF,001578.OF,001785.OF,001819.OF,001911.OF,001960.OF,001961.OF,001993.OF,002109.OF,002140.OF,002143.OF,002169.OF,002175.OF,002188.OF,002198.OF,002206.OF,002268.OF,002301.OF,002336.OF,002341.OF,002354.OF,002377.OF,002395.OF,002438.OF,002445.OF,002447.OF,002466.OF,002483.OF,002524.OF,002548.OF,002549.OF,002550.OF,002552.OF,002568.OF,002578.OF,002600.OF,002603.OF,002625.OF,002638.OF,002698.OF,002716.OF,002750.OF,002754.OF,002755.OF,002781.OF,002832.OF,002864.OF,002868.OF,002898.OF,002904.OF,002927.OF,002929.OF,002930.OF,002970.OF,002985.OF,002991.OF,002994.OF,003039.OF,003056.OF,003102.OF,003155.OF,003162.OF,003188.OF,003192.OF,003193.OF,003209.OF,003213.OF,003214.OF,003223.OF,003258.OF,003260.OF,003265.OF,003268.OF,003269.OF,003280.OF,003285.OF,003289.OF,003290.OF,003309.OF,003313.OF,003315.OF,003327.OF,003329.OF,003417.OF,003428.OF,003445.OF,003452.OF,003454.OF,003528.OF,003547.OF,003571.OF,003590.OF,003605.OF,003607.OF,003640.OF,003651.OF,003660.OF,003662.OF,003671.OF,003673.OF,003703.OF,003730.OF,003746.OF,003770.OF,003809.OF,003832.OF,003847.OF,003863.OF,003929.OF,003949.OF,003983.OF,004020.OF,004027.OF,004030.OF,004031.OF,004032.OF,004042.OF,004052.OF,004061.OF,004118.OF,004122.OF,004126.OF,004127.OF,004136.OF,004140.OF,004141.OF,004200.OF,004230.OF,004238.OF,004307.OF,004322.OF,004334.OF,004366.OF,004388.OF,004438.OF,004459.OF,004498.OF,004499.OF,004503.OF,004544.OF,004547.OF,004555.OF,004601.OF,004614.OF,004655.OF,004722.OF,004736.OF,040040.OF,040045.OF,050027.OF,050106.OF,070005.OF,070025.OF,070037.OF,100018.OF,100058.OF,100066.OF,100072.OF,110035.OF,160128.SZ,160515.SZ,160602.OF,160618.SZ,161014.SZ,161019.SZ,161115.SZ,161117.SZ,162715.SZ,164703.SZ,202103.OF,202108.OF,217003.OF,217022.OF,261001.OF,270043.OF,270048.OF,460008.OF,485105.OF,485107.OF,519225.OF,519322.OF,519324.OF,519328.OF,519330.OF,519332.OF,519334.OF,519680.OF,519718.OF,519743.OF,519746.OF,519762.OF,519776.OF,519782.OF,519784.OF,530021.OF,650001.OF,675041.OF
2017-01-03,1.179,1.222,1.15,1.221,1.211,1.276,1.206,1.198,1.248,1.2,1.1971,1.224,1.264,1.257,1.282,1.257,1.312,,1.292,1.23,1.197,1.246,1.248,1.142,1.249,1.303,,1.1876,1.008,1.091,1.079,,1.0174,1.0452,0.986,1.098,1.035,1.029,1.045,1.055,1.021,1.007,1.0251,1.017,1.033,1.0081,1.026,1.006,1.007,1.05,1.01,1.019,1.0143,1.014,0.997,1.023,1.008,1.0112,1.0161,1.021,0.986,1.06,1.0184,1.002,,1.011,0.993,1.025,,,1.02,1.013,1.012,,1.009,1.019,1.0023,1.012,1.0065,0.9948,1.002,0.9923,0.984,0.9975,1.0048,1.014,,0.9847,0.9946,,0.9965,0.981,0.9982,1.0003,,1.0014,,0.969,,0.9927,1.0028,0.9941,0.9793,0.9953,0.9843,1.1922,0.9992,1.0035,0.99,1.0033,,0.9948,,1.0038,1.0024,,,1.002,1.2808,0.9877,,0.9997,,1.004,1.0042,1.0008,1.0,1.0005,,,,1.0107,1.005,1.0007,,,0.998,,1.0034,1.0088,1.007,1.0021,,,,1.0001,,,,,,1.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175,1.35,1.325,1.845,2.162,1.357,1.178,2.4001,1.358,1.195,1.357,1.395,1.334,1.362,1.834,1.493,1.487,1.362,1.891,1.362,1.112,1.549,1.6309,1.233,1.911,1.466,1.205,1.184,1.296,1.271,1.8275,1.7578,0.9996,1.0179,,1.0035,,,,1.5759,1.179,1.144,,0.998,,1.0036,,1.196,1.2698,1.0022
2017-01-04,1.18,1.223,1.149,,1.211,,1.206,1.198,1.248,1.2,1.1975,1.224,1.265,1.263,1.283,1.258,1.313,,1.291,1.23,1.197,1.246,1.247,1.142,,,,1.1884,1.008,,1.08,1.039,1.0177,1.0457,,1.099,1.0353,1.028,1.0451,1.0568,1.0222,1.007,1.0259,1.017,1.033,1.0084,1.0258,1.0063,1.006,1.05,1.01,1.019,1.0149,1.015,0.995,1.023,1.007,1.0117,1.0166,,0.986,1.059,1.0185,1.002,,1.011,0.993,1.026,,,1.02,1.012,1.012,,1.009,1.019,1.0015,1.012,1.0067,0.9951,1.002,,0.984,0.9979,1.005,1.014,,0.9852,0.9949,,0.997,0.981,0.999,1.0006,,1.0018,,0.9697,,0.9934,1.0031,0.9939,0.9799,0.9954,0.9846,1.1922,0.9991,1.0039,0.9905,1.0034,1.0009,0.9946,,1.0041,1.0027,,,1.0024,1.2813,0.9874,,1.0,,1.0042,1.0044,1.0009,,1.0011,,,1.0047,1.011,1.005,,,,0.9988,,1.0039,1.0088,1.0073,1.0026,,,,1.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175,1.351,1.325,1.846,2.162,1.358,1.178,2.4008,1.358,1.195,1.358,1.396,1.334,1.362,1.837,1.493,1.488,1.363,1.892,1.363,1.112,1.548,1.6319,1.234,1.9116,1.467,1.206,1.184,1.297,1.27,1.8288,1.7561,1.0003,1.0187,,1.004,,,,1.576,1.179,1.144,,0.999,,1.0041,,1.197,1.27,1.0028
2017-01-05,1.18,1.223,1.149,,1.211,,1.206,1.199,1.249,1.2,1.1978,1.225,1.265,1.262,1.284,1.259,1.313,,1.29,1.231,1.197,1.247,1.247,1.143,,1.304,,1.1888,1.008,1.092,1.08,,1.0179,1.0461,,1.099,1.0359,1.026,1.0453,1.0573,1.0224,1.007,1.0261,1.017,1.033,1.0091,1.026,1.0063,1.006,1.05,1.009,1.019,1.0151,1.015,0.992,1.023,1.007,1.0119,1.017,,0.986,1.059,1.0185,1.002,,1.011,0.993,1.026,,,1.02,1.011,1.012,,1.01,1.02,1.0008,1.012,1.0069,0.9956,1.002,,0.9846,0.9979,1.0051,1.015,,0.9861,0.9953,,0.9968,0.9813,1.0007,1.0008,,1.0021,,0.9692,,0.9938,1.0033,0.9936,0.9805,0.9954,0.9845,1.1924,0.9991,1.0041,0.9906,1.0035,,0.9948,,1.0043,1.0029,,,1.0026,1.2816,0.9874,,0.9999,,1.0044,1.0043,1.001,,1.0013,,,,1.0112,1.0048,,,,0.9991,,1.0041,1.0086,1.0071,1.0028,,,,1.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175,1.351,1.325,1.845,2.162,1.358,1.178,2.4012,1.359,1.195,1.36,1.397,1.335,1.361,1.837,1.493,1.488,1.364,1.893,1.364,1.113,1.548,1.6327,1.234,1.912,1.465,1.207,1.184,1.297,1.268,1.8292,1.7526,1.0006,1.0189,,1.0043,,,,1.5763,1.177,1.144,,0.999,,1.0043,,1.197,1.2703,1.003
2017-01-06,1.18,1.223,1.148,1.223,1.212,1.276,1.206,1.199,1.249,1.2,1.1979,1.226,1.266,1.261,1.284,1.26,1.313,1.111,1.291,1.232,1.197,1.248,1.248,1.143,1.249,1.304,1.106,1.1888,1.009,1.092,1.08,1.039,1.0179,1.0464,0.987,1.099,1.0359,1.026,1.0456,1.0575,1.0224,1.007,1.0253,1.017,1.033,1.0091,1.0263,1.0066,1.006,1.05,1.009,1.019,1.0153,1.015,0.994,1.023,1.006,1.0119,1.0173,1.021,0.986,1.059,1.0188,1.002,1.014,1.011,0.993,1.026,1.0,1.03,1.019,1.011,1.012,1.016,1.01,1.02,1.0002,1.012,1.0072,0.9956,1.002,0.993,0.9846,0.9981,1.0052,1.015,0.9925,0.9858,0.9955,,0.9965,0.9813,1.0006,1.0009,,1.0023,,0.9698,0.9788,0.9938,1.0034,0.9936,0.9811,0.9955,0.9845,1.1925,0.9997,1.0043,0.9908,1.0036,1.0013,0.9948,,1.0044,1.0031,1.002,0.9964,1.0027,1.2818,0.9877,1.002,1.0001,1.0003,1.0045,1.0045,1.0011,1.0004,1.0014,1.0088,1.0007,1.0051,1.0115,1.0051,1.0014,0.9986,,0.999,1.0073,1.0042,1.0085,1.007,1.003,1.003,,,1.0004,,,,,,1.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175,1.349,1.326,1.846,2.163,1.358,1.179,2.4021,1.36,1.196,1.362,1.397,1.335,1.361,1.837,1.493,1.489,1.364,1.893,1.364,1.113,1.549,1.6327,1.235,1.9117,1.465,1.207,1.184,1.296,1.268,1.8291,1.753,1.0007,1.019,1.013,1.0043,,1.0026,,1.5763,1.177,1.144,,0.999,1.006,1.0044,,1.198,1.2707,1.0031
2017-01-09,1.181,1.223,1.148,,1.212,,1.207,1.2,1.25,1.201,1.1982,1.227,1.266,1.265,1.285,1.26,1.314,,1.293,1.233,1.197,1.249,1.25,1.144,1.25,1.305,,1.1891,1.01,,1.081,,1.0182,1.0469,0.987,1.1,1.0364,1.027,1.0462,1.0582,1.0231,1.008,1.0265,1.018,1.033,1.0097,1.0267,1.0077,1.007,1.051,1.011,1.02,1.0159,1.016,0.996,1.024,1.007,1.0126,1.0178,1.022,0.987,1.061,1.0192,1.003,,1.012,0.993,1.027,,,1.02,1.012,1.012,,1.01,1.021,1.0,1.013,1.0075,0.9961,1.002,,0.9852,0.9985,1.0056,1.016,,0.9861,0.996,,0.9968,0.9822,1.0018,1.0013,,1.0028,,0.9706,,0.9944,1.0037,0.9935,0.9821,0.996,0.9851,1.1926,1.0,1.0047,0.9918,1.0037,,0.9952,,1.0047,1.0035,,0.9972,1.0031,1.2825,0.9884,,1.0005,,1.0052,1.0047,1.0013,,1.0017,,,1.0057,1.0118,1.0058,,,,1.0001,,1.0046,1.0098,1.0078,1.0033,,,,1.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176,1.351,1.333,1.847,2.163,1.359,1.179,2.4037,1.361,1.196,1.365,1.398,1.336,1.361,1.838,1.493,1.49,1.364,1.894,1.365,1.113,1.549,1.6338,1.236,1.9124,1.466,1.208,1.184,1.297,1.27,1.8302,1.754,1.0012,1.0195,,1.0047,,,,1.5769,1.177,1.144,,0.999,,1.0048,,1.198,1.2711,1.0035
2017-01-10,1.181,1.224,1.148,,1.213,1.277,1.208,1.2,1.25,1.201,1.1986,1.228,1.267,1.263,1.286,1.263,1.314,,1.294,1.233,1.198,1.25,1.252,1.145,1.251,1.306,,1.1894,1.011,1.093,1.081,,1.0185,1.0476,0.987,1.1,1.0371,1.028,1.0469,1.0592,1.0238,1.008,1.0275,1.019,1.034,1.0101,1.0273,1.0082,1.007,1.051,1.012,1.02,1.0164,1.016,0.997,1.025,1.008,1.0135,1.0185,,0.987,1.062,1.0197,1.003,,1.013,0.994,1.028,,,1.022,1.013,1.013,,1.011,1.021,1.0004,1.013,1.0078,0.9968,1.002,,0.9859,0.9996,1.0057,1.017,,0.9867,0.9965,,0.9975,0.9828,1.0029,1.002,,1.0033,,0.9716,,0.995,1.0039,0.994,0.9828,0.9967,0.9858,1.1927,1.0001,1.0051,0.9924,1.0037,,0.9956,,1.0049,1.0038,,0.9979,1.0034,1.2831,0.9892,,1.0007,,1.0057,1.0049,1.0015,,1.0025,,,,1.0121,1.0067,,,,1.0009,,1.0048,1.0105,1.0085,1.0035,,,,1.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176,1.35,1.333,1.848,2.164,1.359,1.18,2.4043,1.362,1.197,1.365,1.399,1.337,1.361,1.836,1.496,1.492,1.365,1.895,1.366,1.114,1.549,1.6345,1.238,1.9133,1.467,1.208,1.184,1.298,1.271,1.8306,1.7564,1.0018,1.0203,,1.0049,,,,1.5776,1.177,1.144,,1.0,,1.005,,1.198,1.2716,1.0037
2017-01-11,1.182,1.225,1.149,,1.214,1.278,1.208,1.2,1.25,1.202,1.1989,1.228,1.267,1.263,1.286,1.263,1.315,,1.293,1.235,1.198,1.251,1.251,1.145,,1.307,,1.1896,1.012,1.094,1.082,,1.0187,1.0479,0.988,1.101,1.038,1.027,1.0475,1.0602,1.0245,1.008,1.0271,1.019,1.034,1.0115,1.0276,1.0083,1.006,1.05,1.011,1.021,1.0167,1.017,0.996,1.025,1.007,1.0146,1.019,,0.988,1.062,1.0198,1.004,,1.014,0.994,1.029,,,1.021,1.013,1.013,,1.012,1.022,1.0016,1.013,1.0081,0.9972,1.002,,0.9863,0.9999,1.0059,1.017,,0.9876,0.9969,,0.9975,0.983,1.0034,1.0024,,1.0037,,0.9719,,0.9956,1.004,0.9948,0.983,0.9969,0.9864,1.1927,1.0003,1.0053,0.992,1.0038,,0.996,,1.0051,1.004,,0.9985,1.0035,1.2837,0.9893,,1.0008,,1.0062,1.0052,1.0018,,1.0028,,,,1.0124,1.0069,,,,1.0011,,1.005,1.0111,1.0089,1.0037,,,,1.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176,1.35,1.334,1.848,2.164,1.36,1.18,2.404,1.362,1.197,1.365,1.4,1.338,1.362,1.836,1.496,1.492,1.365,1.896,1.366,1.115,1.549,1.6348,1.238,1.9141,1.468,1.209,1.184,1.299,1.27,1.8302,1.7567,1.0025,1.021,1.014,1.0051,,,,1.5776,1.178,1.144,,1.0,,1.0052,,1.199,1.2719,1.004
2017-01-12,1.182,1.226,1.15,,1.215,,1.209,1.201,1.25,1.202,1.1992,1.228,1.268,1.262,1.287,1.264,1.315,,1.294,1.235,1.199,1.252,1.252,1.146,,,,1.1899,1.013,,1.082,1.04,1.0188,1.048,,1.101,1.0383,1.027,1.0477,1.0608,1.0248,1.008,1.0275,1.019,1.034,1.0213,1.0278,1.0089,1.007,1.05,1.011,1.021,1.0169,1.017,0.997,1.025,1.007,1.0148,1.0194,1.023,0.988,1.062,1.0202,1.004,,1.014,0.994,1.03,,,1.022,1.013,1.013,,1.012,1.022,1.0017,1.013,1.0083,0.9974,1.002,,0.9865,1.0003,1.0061,1.017,,0.9878,0.9969,,0.9984,0.9833,1.004,1.0027,,1.0039,,0.9717,,0.9958,1.0042,0.9946,0.9835,0.9969,0.9866,1.1928,1.0004,1.0055,0.9919,1.0038,1.0027,0.9962,,1.0053,1.0042,,0.9988,1.0038,1.2839,0.9895,,1.001,,1.0066,1.0054,1.0021,1.0009,1.0032,,,1.0065,1.0128,1.0072,1.0019,,,1.0013,,1.0052,1.0113,1.0091,1.0039,,,,1.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176,1.35,1.334,1.848,2.165,1.36,1.181,2.4043,1.363,1.197,1.367,1.4,1.339,1.363,1.835,1.496,1.493,1.366,1.896,1.367,1.115,1.549,1.6352,1.239,1.9138,1.469,1.21,1.184,1.299,1.271,1.8299,1.7558,1.003,1.0213,,1.0053,,1.0034,,1.578,1.178,1.144,,1.001,,1.0053,,1.2,1.2723,1.0042
2017-01-13,1.183,1.226,1.15,1.226,1.215,1.279,1.209,1.202,1.251,1.202,1.1994,1.228,1.268,1.258,1.287,1.265,1.315,1.115,1.294,1.237,1.199,1.253,1.253,1.146,1.251,1.308,1.114,1.1903,1.013,1.094,1.083,1.04,1.019,1.048,0.989,1.102,1.0384,1.028,1.0479,1.0614,1.0252,1.008,1.0277,1.019,1.034,1.0237,1.0281,1.0093,1.007,1.051,1.012,1.021,1.0171,1.017,0.998,1.026,1.007,1.0149,1.0196,1.023,0.988,1.063,1.0206,1.004,1.017,1.015,0.994,1.03,1.005,1.032,1.022,1.014,1.013,1.017,1.012,1.022,1.0023,1.014,1.0086,0.9978,1.003,0.9958,0.9868,1.0005,1.0062,1.018,0.9949,0.9883,0.997,1.0,0.9991,0.9835,1.0045,1.003,,1.0041,,0.972,0.9819,0.9962,1.0044,0.9948,0.9837,0.9975,0.9868,1.1929,1.0004,1.0057,0.9919,1.0039,1.003,0.9964,,1.0054,1.0044,1.003,0.9988,1.004,1.2842,0.9898,1.003,1.0011,1.0003,1.0069,1.0056,1.0023,,1.0032,1.012,1.0009,1.0067,1.0132,1.0075,1.002,1.0013,,1.0016,1.0089,1.0055,1.0117,1.0094,1.0041,1.0043,,,1.0008,,,,,,1.002,,,,1.0001,,,,,,,,,,,,,,,,,,,,,,,,1.176,1.349,1.334,1.849,2.165,1.361,1.181,2.4043,1.364,1.198,1.367,1.401,1.339,1.363,1.835,1.496,1.493,1.365,1.897,1.368,1.115,1.549,1.6354,1.239,1.9142,1.469,1.21,1.184,1.299,1.271,1.8291,1.757,1.0037,1.0216,1.015,1.0054,,1.0035,,1.5782,1.178,1.144,,1.001,1.008,1.0055,,1.2,1.2727,1.0043
2017-01-16,1.183,1.227,1.15,,1.215,,1.209,1.202,1.251,1.202,1.1995,1.228,1.268,1.25,1.287,1.265,1.315,,1.293,1.237,1.199,1.253,1.252,1.147,,1.309,,1.1904,1.013,1.095,1.083,,1.0192,1.0481,,1.102,1.0387,1.027,1.0482,1.0622,1.0254,1.008,1.0275,1.019,1.035,1.0236,1.0283,1.0091,1.007,1.051,1.01,1.022,1.0171,1.017,0.997,1.026,1.007,1.0155,1.0203,,0.988,1.062,1.0207,1.004,,1.015,0.995,1.031,,,1.022,1.013,1.013,,1.012,1.023,1.0024,1.014,1.0091,0.9974,1.003,,0.9861,1.0005,1.0063,1.019,,0.9878,0.997,,0.9986,0.9829,1.0042,1.003,,1.0045,,0.9713,,0.9966,1.0045,0.995,0.9831,0.9982,0.9869,1.193,1.0004,1.0058,0.9918,1.004,,0.9967,,1.0056,1.0046,,0.9989,1.0041,1.2844,0.9899,,1.0012,,1.0069,1.006,1.0027,,1.0031,,,,1.0137,1.0072,1.0023,,,1.0011,,1.0057,1.011,1.0091,1.0044,,,,1.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.176,1.347,1.335,1.849,2.165,1.361,1.181,2.4034,1.363,1.198,1.367,1.401,1.339,1.363,1.833,1.496,1.493,1.365,1.898,1.369,1.115,1.55,1.6352,1.239,1.9146,1.47,1.211,1.184,1.299,1.27,1.8273,1.7552,1.0039,1.0219,,1.0055,,,,1.578,1.178,1.144,,1.001,,1.0056,,1.201,1.273,1.0044
