time,000005.OF,000032.OF,000084.OF,000111.OF,000116.OF,000137.OF,000139.OF,000147.OF,000183.OF,000186.OF,000187.OF,000191.OF,000205.OF,000207.OF,000244.OF,000252.OF,000254.OF,000265.OF,000295.OF,000345.OF,000346.OF,000355.OF,000402.OF,000469.OF,000516.OF,000546.OF,000552.OF,000606.OF,000815.OF,000914.OF,000943.OF,001246.OF,001299.OF,001369.OF,001545.OF,001578.OF,001819.OF,001911.OF,001960.OF,001961.OF,001993.OF,002109.OF,002140.OF,002143.OF,002169.OF,002175.OF,002188.OF,002198.OF,002206.OF,002268.OF,002301.OF,002336.OF,002341.OF,002354.OF,002377.OF,002395.OF,002438.OF,002445.OF,002447.OF,002466.OF,002483.OF,002524.OF,002548.OF,002549.OF,002550.OF,002552.OF,002568.OF,002578.OF,002600.OF,002603.OF,002625.OF,002638.OF,002698.OF,002716.OF,002750.OF,002754.OF,002755.OF,002781.OF,002832.OF,002864.OF,002868.OF,002898.OF,002904.OF,002927.OF,002929.OF,002930.OF,002970.OF,002985.OF,002991.OF,002994.OF,003039.OF,003056.OF,003102.OF,003155.OF,003162.OF,003188.OF,003192.OF,003193.OF,003209.OF,003213.OF,003214.OF,003223.OF,003258.OF,003260.OF,003265.OF,003268.OF,003269.OF,003280.OF,003285.OF,003289.OF,003290.OF,003309.OF,003313.OF,003315.OF,003327.OF,003329.OF,003417.OF,003428.OF,003445.OF,003452.OF,003454.OF,003528.OF,003547.OF,003571.OF,003590.OF,003605.OF,003607.OF,003640.OF,003651.OF,003660.OF,003662.OF,003671.OF,003673.OF,003703.OF,003730.OF,003746.OF,003770.OF,003809.OF,003832.OF,003847.OF,003859.OF,003863.OF,003869.OF,003929.OF,003949.OF,003983.OF,004020.OF,004027.OF,004030.OF,004031.OF,004032.OF,004042.OF,004052.OF,004061.OF,004118.OF,004122.OF,004126.OF,004127.OF,004136.OF,004140.OF,004141.OF,004200.OF,004230.OF,004238.OF,004307.OF,004322.OF,004334.OF,004366.OF,004388.OF,004438.OF,004459.OF,004479.OF,004498.OF,004499.OF,004503.OF,004504.OF,004544.OF,004547.OF,004555.OF,004601.OF,004614.OF,004637.OF,004655.OF,004672.OF,004689.OF,004705.OF,004722.OF,004728.OF,004736.OF,004797.OF,004821.OF,004859.OF,004882.OF,004887.OF,004899.OF,004910.OF,004911.OF,004919.OF,004920.OF,004923.OF,004940.OF,004956.OF,004978.OF,005024.OF,005072.OF,005073.OF,005124.OF,005171.OF,005307.OF,005309.OF,005321.OF,005322.OF,005336.OF,005369.OF,005383.OF,005388.OF,005393.OF,005398.OF,005435.OF,005439.OF,005442.OF,005469.OF,005525.OF,005531.OF,005577.OF,005590.OF,005594.OF,005606.OF,005622.OF,005631.OF,005648.OF,005666.OF,005670.OF,005703.OF,005705.OF,005710.OF,005712.OF,005740.OF,005754.OF,005772.OF,005781.OF,005782.OF,005784.OF,005820.OF,005831.OF,005841.OF,005845.OF,005854.OF,005864.OF,005871.OF,005879.OF,005921.OF,005972.OF,005988.OF,006029.OF,006043.OF,006107.OF,006112.OF,040040.OF,040045.OF,050027.OF,050106.OF,070005.OF,070025.OF,070037.OF,100018.OF,100058.OF,100066.OF,100072.OF,110035.OF,160128.SZ,160515.SZ,160602.OF,160618.SZ,161014.SZ,161019.SZ,161115.SZ,161117.SZ,162715.SZ,164703.SZ,202103.OF,202108.OF,217003.OF,217022.OF,261001.OF,270043.OF,270048.OF,460008.OF,485105.OF,485107.OF,519137.OF,519138.OF,519225.OF,519322.OF,519324.OF,519328.OF,519330.OF,519332.OF,519334.OF,519680.OF,519718.OF,519743.OF,519746.OF,519762.OF,519776.OF,519782.OF,519784.OF,530021.OF,650001.OF,675041.OF
2018-01-02,1.207,1.234,1.173,1.255,1.232,,1.233,1.223,1.25,1.232,1.2323,1.24,1.283,1.23,1.295,1.28,1.325,,1.289,1.288,1.232,1.237,1.197,1.169,1.0005,,,1.006,1.0954,1.2444,1.008,1.117,1.097,,,1.0612,1.128,1.0681,1.028,1.0765,1.0779,,1.025,1.0264,1.036,1.047,1.0394,1.0446,0.9975,1.006,1.106,1.019,1.039,1.0425,1.04,0.988,1.057,1.01,1.0439,1.0474,1.029,1.011,1.06,1.0515,1.03,,1.037,1.025,1.048,,,1.042,1.034,1.026,,1.044,1.055,1.0002,1.0472,1.0453,0.9998,1.037,,0.9797,1.0176,1.0394,1.048,,0.9932,1.0287,1.161,1.0231,0.984,1.0356,1.0267,1.0254,1.0406,1.0204,0.9557,,1.0083,1.0363,0.9959,0.9927,1.0128,0.9993,1.2116,1.016,1.0301,1.0075,1.0195,,,1.0407,1.0394,1.0339,1.046,1.027,1.0391,1.3172,1.0089,,1.0373,1.0261,1.0273,1.0385,1.0112,1.0222,1.0102,,1.0256,1.0292,1.037,0.9943,1.0262,,,0.9964,,1.0432,,1.0059,1.2863,1.0151,1.0406,1.0156,1.0302,1.0333,1.0208,1.0111,,1.0151,1.0325,1.0278,1.0937,,1.041,1.0203,1.0343,1.0269,,1.0064,1.0239,1.0825,1.0333,1.0257,1.0335,1.0142,1.0192,,1.0292,1.0128,1.0121,1.0298,,,1.0133,1.0633,1.021,1.0049,1.0075,,1.0222,1.0047,1.0143,1.002,,1.0167,1.0426,,,,,,1.0083,1.0166,,1.0072,1.0034,,,,1.0133,,,1.0137,,1.0065,,,1.0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2094,1.3902,1.341,1.825,2.187,1.36,1.204,2.4114,1.379,1.213,1.375,1.434,1.343,1.358,1.848,1.514,1.5196,1.381,1.916,1.387,1.139,1.583,1.6357,1.215,1.9308,1.503,1.219,,1.317,1.304,1.8331,1.6741,,,1.0057,1.0495,,1.0306,1.0258,1.038,1.0169,1.5729,1.175,1.16,2.023,1.009,1.022,1.0353,,1.224,1.2972,1.0333
2018-01-03,1.207,1.235,1.174,,1.233,,1.234,1.223,1.252,1.232,1.2326,1.24,1.283,1.24,1.296,1.281,1.326,,1.292,1.289,1.233,1.238,1.197,1.17,1.0009,,,1.0067,,1.2453,1.008,1.118,1.098,,,1.0622,1.128,1.0688,1.029,1.0773,1.0802,,1.025,1.0268,1.036,1.048,1.0401,1.045,0.9973,1.007,1.107,1.019,1.038,1.043,1.041,0.993,1.058,1.01,1.0444,1.048,1.03,1.011,1.061,1.0521,1.03,,1.037,1.026,1.05,,,1.042,1.035,1.027,,1.045,1.055,1.0007,1.0474,1.0459,0.9998,1.037,,0.9795,1.0182,1.0398,1.048,,0.9938,1.0293,1.162,1.0238,0.9839,1.036,1.0274,1.0257,1.0407,1.0208,0.9552,,1.0085,1.0366,0.9965,0.9931,1.0132,0.9998,1.2127,1.0167,1.0307,1.0079,1.019,,,1.0405,1.0401,1.0346,1.047,1.0278,1.0396,1.318,1.0091,,1.0379,1.0267,1.0277,1.0392,1.0117,1.022,1.0111,,1.0269,1.0296,1.0375,0.9937,1.0262,,,0.9962,,1.0442,,1.0057,1.2865,1.0155,1.0412,1.0163,1.0306,1.0339,1.0212,1.012,,1.0157,1.0329,1.0282,1.0941,,1.042,1.0209,1.0347,1.0273,,1.0069,1.0245,1.0834,1.034,1.0264,1.0341,1.0143,1.02,,1.0299,1.0134,1.0133,1.0307,,,1.0139,1.0644,1.022,1.0053,1.0077,,1.0225,1.0048,1.0147,1.003,,1.0177,1.0424,,,,,,,1.0173,,1.0078,1.0038,,,,1.0136,,,1.0139,,1.0066,,,1.0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2095,1.3908,1.341,1.825,2.188,1.361,1.205,2.4125,1.38,1.212,1.376,1.438,1.344,1.358,1.849,1.515,1.5202,1.381,1.921,1.387,1.139,1.583,1.6362,1.216,1.9314,1.504,1.22,,1.318,1.304,1.8313,1.676,,,1.154,1.05,,1.0308,1.0264,1.0387,1.017,1.5741,1.176,1.161,2.024,1.009,1.023,1.0361,,1.225,1.2982,1.0337
2018-01-04,1.207,1.235,1.174,,1.233,,1.234,1.223,1.252,1.233,1.2329,1.24,1.284,1.245,1.297,1.281,1.326,,1.291,1.289,1.233,1.239,1.197,1.17,1.001,,,1.007,,1.2457,1.008,1.118,1.098,,,1.0628,1.128,1.069,1.03,1.0778,1.0804,,1.026,1.0267,1.036,1.048,1.0405,1.0451,0.9975,1.007,1.11,1.019,1.037,1.0434,1.041,0.992,1.058,1.01,1.0446,1.0482,1.031,1.012,1.061,1.0521,1.031,,1.037,1.026,1.051,,,1.042,1.036,1.028,,1.045,1.056,1.0011,1.0476,1.0463,0.9999,1.037,,0.9795,1.0184,1.0401,1.049,,0.994,1.0295,1.162,1.0244,0.9839,1.0359,1.0276,1.026,1.0408,1.0212,0.955,,1.0084,1.0366,0.9966,0.9933,1.0126,0.9999,1.2137,1.0169,1.0309,1.0077,1.0187,,,1.0411,1.0404,1.0349,1.047,1.0279,1.0397,1.3181,1.0092,,1.0382,1.0269,1.0278,1.0394,1.0121,1.0222,1.0115,,1.0271,1.0295,1.0376,0.992,1.0261,,,0.996,,1.0446,,1.0056,1.2866,1.0156,1.0415,1.0166,1.0309,1.0341,1.0214,1.0125,,1.0161,1.0332,1.0285,1.0943,,1.042,1.0215,1.0349,1.0275,,1.0071,1.0247,1.0835,1.0341,1.0268,1.0343,1.0143,1.0205,,1.03,1.0137,1.0137,1.0311,,,1.0143,1.0643,1.022,1.0055,1.0079,,1.0228,1.0049,1.0148,1.003,,1.0189,1.0423,,,,,,,1.0176,,1.0079,1.0041,,,,1.0137,,,1.014,,1.0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2097,1.3928,1.341,1.823,2.188,1.361,1.205,2.4131,1.38,1.212,1.376,1.441,1.344,1.358,1.85,1.516,1.5208,1.378,1.922,1.387,1.139,1.583,1.6366,1.219,1.9316,1.503,1.22,,1.318,1.305,1.8279,1.6752,,,1.2541,1.0502,,1.031,1.0265,1.0389,1.0172,1.5744,1.176,1.161,2.024,1.01,1.023,1.0362,,1.225,1.2987,1.0337
2018-01-05,1.2081,1.235,1.174,1.257,1.2331,1.3,1.235,1.223,1.2522,1.233,1.2333,1.24,1.284,1.256,1.297,1.281,1.326,1.136,1.292,1.29,1.234,1.239,1.198,1.17,1.0011,1.282,1.333,1.0073,1.0979,1.2465,1.009,1.118,1.098,1.07,1.0399,1.0639,1.129,1.0694,1.03,1.0785,1.0807,1.0365,1.026,1.0273,1.036,1.049,1.0416,1.0452,0.9979,1.007,1.11,1.019,1.038,1.0438,1.041,0.994,1.058,1.011,1.0449,1.0487,1.031,1.013,1.061,1.0528,1.031,1.023,1.038,1.026,1.052,1.008,1.016,1.043,1.037,1.028,1.0352,1.045,1.056,1.0014,1.0483,1.0468,1.0003,1.037,1.0156,0.9798,1.0189,1.0407,1.049,1.0148,0.9943,1.0302,1.163,1.0255,0.9844,1.0363,1.0282,1.0265,1.0411,1.0213,0.9551,0.9881,1.0086,1.037,0.9971,0.9933,1.0129,1.0002,1.2154,1.0168,1.0312,1.008,1.0189,1.0224,1.023,1.0419,1.0407,1.0352,1.047,1.0284,1.0398,1.3187,1.0097,1.036,1.0387,1.0274,1.0283,1.0397,1.0125,1.023,1.0125,1.0435,1.0275,1.0299,1.0381,0.9925,1.0264,1.0248,1.0177,0.9958,1.0083,1.0453,,1.006,1.2868,1.0163,1.042,1.0169,1.0313,1.0345,1.0217,1.0134,1.0366,1.0163,1.0336,1.029,1.0946,1.0265,1.042,1.022,1.0354,1.0278,1.0241,1.0074,1.0256,1.084,1.0344,1.0275,1.0347,1.0145,1.0209,1.0203,1.0304,1.0139,1.0146,1.0316,1.0162,,1.0147,1.0655,1.024,1.006,1.0082,,1.0229,1.0045,1.015,1.004,1.0029,1.0195,1.0428,1.0016,0.9975,1.008,,1.0073,1.0092,1.0182,1.0198,1.0084,1.0044,1.0061,1.0118,,1.0138,1.0049,1.0033,1.0143,1.0082,1.0071,,,1.0048,1.0012,1.0054,,,1.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2105,1.3934,1.341,1.824,2.189,1.362,1.205,2.4139,1.381,1.213,1.376,1.443,1.345,1.359,1.85,1.516,1.5214,1.378,1.924,1.388,1.14,1.583,1.6369,1.219,1.9321,1.504,1.22,1.212,1.319,1.305,1.8279,1.6778,1.0116,1.011,1.2509,1.0506,1.038,1.0316,1.0269,1.0394,1.0175,1.5749,1.176,1.161,2.026,1.01,1.024,1.0366,1.0109,1.226,1.3,1.0339
2018-01-08,1.209,1.236,1.175,,1.234,,1.235,1.224,1.253,1.234,1.2336,1.24,1.285,1.262,1.297,1.282,1.327,,1.293,1.29,1.234,1.24,1.199,1.171,1.0018,,,1.0077,,1.2471,1.009,1.119,1.099,,,1.0645,1.129,1.07,1.031,1.0791,1.0814,,1.027,1.0278,1.037,1.049,1.0422,1.0462,0.9983,1.009,1.112,1.02,1.038,1.0446,1.042,0.994,1.059,1.012,1.0454,1.0493,1.032,1.013,1.062,1.0534,1.032,,1.038,1.027,1.052,,,1.043,1.037,1.03,,1.046,1.056,1.002,1.0487,1.047,1.0008,1.037,,0.9803,1.0194,1.0411,1.05,,0.9948,1.0307,1.164,1.0262,0.9847,1.0371,1.0288,1.0269,1.0414,1.0214,0.9553,,1.0092,1.0373,0.9975,0.9941,1.0134,1.0009,1.2162,1.0165,1.0317,1.0086,1.0194,,,1.0423,1.0415,1.0358,1.048,1.0288,1.0402,1.3193,1.0102,,1.0393,1.0279,1.0288,1.0403,1.0131,1.0231,1.0132,,1.0279,1.0304,1.0386,0.9923,1.0266,,,0.9963,,1.0461,,1.0067,1.2872,1.0168,1.0424,1.0174,1.0317,1.035,1.0221,1.014,,1.0169,1.0339,1.0293,1.095,,1.042,1.0226,1.0358,1.0284,,1.0079,1.0258,1.0846,1.0349,1.0297,1.0353,1.0147,1.0213,,1.0308,1.0142,1.0154,1.0322,,,1.0152,1.0664,1.024,1.0066,1.0087,,1.023,1.0036,1.0153,1.004,,1.0216,1.0441,,,,,,,1.0186,,1.0088,1.0052,,,,1.0141,,,1.0147,,1.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2108,1.3967,1.342,1.824,2.189,1.362,1.206,2.4146,1.382,1.213,1.377,1.445,1.346,1.359,1.851,1.517,1.522,1.377,1.923,1.388,1.14,1.583,1.6371,1.22,1.9332,1.505,1.221,,1.319,1.306,1.8272,1.6773,,,1.2486,1.0512,,1.0321,1.0275,1.0399,1.0177,1.5757,1.177,1.162,2.026,1.011,1.024,1.0373,,1.227,1.3003,1.0345
2018-01-09,1.209,1.236,1.175,,1.234,,1.235,1.224,1.252,1.234,1.2337,1.24,1.285,1.257,1.298,1.282,1.327,,1.293,1.291,1.235,1.241,1.199,,,,,1.0078,,1.2476,1.01,,1.099,,,1.0642,1.13,1.0703,1.031,1.0792,1.0816,,1.027,1.0276,1.037,1.049,1.0418,1.0465,0.999,1.009,1.111,1.02,1.038,1.0449,1.042,0.991,1.059,1.012,1.0455,1.0493,,1.013,1.062,1.0537,1.032,,1.039,1.027,1.052,,,1.043,1.037,1.029,,1.046,1.057,1.0022,1.0485,1.0473,1.0011,,,0.9805,1.0194,1.0411,1.05,,0.995,1.0308,1.163,1.0261,0.9851,1.0375,1.029,1.0268,1.0416,1.0217,0.955,,1.0096,1.0374,0.9973,0.9944,1.0137,1.0012,1.2157,1.0165,1.032,1.0086,1.0194,,,1.0428,1.0417,1.036,1.048,1.0287,1.0405,1.3196,1.0102,,1.0394,1.0282,1.0292,1.0404,1.0132,1.0229,1.013,,1.028,1.0306,1.0391,0.9929,1.0268,,,0.9961,,1.0463,,1.0074,1.2873,1.017,1.0426,1.0177,1.0319,1.0354,1.0222,1.0135,,1.0172,1.034,1.0294,1.0949,,1.043,1.0227,1.0358,1.0287,,1.0081,1.0253,1.085,1.0352,1.0303,1.0356,1.0148,1.0215,,1.0309,1.0143,1.0149,1.0325,,,1.0154,1.0655,1.024,1.0069,1.0089,,1.023,1.0034,1.0153,1.004,,1.0223,1.044,,,,,,,1.0189,,1.0091,1.0053,,,,,,,1.0148,,1.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2109,1.3951,1.343,1.825,2.189,1.362,1.206,2.4142,1.381,1.213,,1.445,1.347,1.359,1.851,1.517,1.5218,1.378,1.921,1.389,1.14,1.584,1.6375,1.22,1.9346,1.506,1.221,,1.32,1.306,1.828,1.6763,,,1.248,1.0514,,1.032,1.0278,1.0399,1.0179,1.5758,1.177,1.162,2.026,1.011,1.025,1.0376,,1.227,1.3003,1.0346
2018-01-10,1.209,1.237,1.175,,1.234,,1.235,1.225,1.252,1.234,1.2339,1.241,1.285,1.254,1.298,1.282,1.327,,1.293,1.291,1.235,1.241,1.199,,,,,1.008,,1.2476,1.01,,1.1,,,1.0634,1.1297,1.0703,1.031,1.079,1.0818,,1.026,1.0271,1.037,1.049,1.0415,1.0462,0.9989,1.009,1.111,1.019,1.035,1.045,1.042,0.99,1.059,1.012,1.0456,1.0492,,1.013,1.062,1.0536,1.032,,1.038,1.027,1.051,,,1.043,1.037,1.029,,1.046,1.057,1.0023,1.0483,1.0474,1.0007,,,0.9801,1.0188,1.0412,1.05,,0.9948,1.0303,1.162,1.0254,0.9848,1.0375,1.0286,1.0267,1.0411,1.0215,0.9547,,1.0092,1.0372,0.9966,0.9943,1.0127,1.001,1.2147,1.0167,1.0317,1.0082,1.0185,,,1.0434,1.0417,1.036,1.048,1.0283,1.0404,1.3194,1.0099,,1.0395,1.0281,1.0289,1.0403,1.0131,1.0219,1.0126,,1.0281,1.0304,1.0391,0.9906,1.0262,,,0.9957,,1.0466,,1.007,1.2874,1.0165,1.0427,1.0177,1.0318,1.0354,1.0219,1.0128,,1.0172,1.034,1.0295,1.0948,,1.042,1.0229,1.0357,1.0288,,1.0082,1.0247,1.0849,1.0351,1.0306,1.0356,1.0147,1.0217,,1.0307,1.0139,1.0143,1.0326,,,1.0156,1.0652,1.023,1.007,1.0087,,1.0231,1.0031,1.015,1.004,,1.0239,1.0438,,,,1.0,,,1.0189,,1.0088,1.0057,,,,,,,1.0148,,1.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.211,1.3967,1.343,1.822,2.189,1.362,1.206,2.414,1.381,1.212,,1.442,1.348,1.359,1.851,1.517,1.5223,1.378,1.921,1.389,1.14,1.584,1.638,1.219,1.9347,1.505,1.221,,1.32,1.306,1.8271,1.6749,,,1.2475,1.0515,,1.0315,1.0275,1.0396,1.0179,1.5756,1.177,1.162,2.027,1.011,1.025,1.0374,,1.226,1.2998,1.0344
2018-01-11,1.209,1.236,1.175,,1.234,,1.235,1.224,1.252,1.234,1.2339,1.24,1.285,1.25,1.298,1.282,1.327,,1.292,1.291,1.235,1.242,1.199,,,,,1.0077,,1.2474,1.009,,1.099,,,1.0629,1.1295,1.0703,1.03,1.0789,1.0817,,1.026,1.0264,1.036,1.048,1.0411,1.0459,0.9985,1.009,1.109,1.018,1.034,1.0447,1.041,0.988,1.059,1.012,1.0455,1.049,,1.012,1.062,1.0534,1.031,,1.038,1.027,1.051,,,1.043,1.036,1.029,,1.046,1.056,1.0016,1.0481,1.0476,0.9999,,,0.979,1.0184,1.0411,1.05,,0.9947,1.03,1.162,1.0248,0.9841,1.037,1.0283,1.0266,1.0408,1.0212,0.9543,,1.0086,1.037,0.996,0.9931,1.0124,1.0007,1.214,1.0161,1.0313,1.0076,1.0175,,,1.0414,1.0417,1.0357,1.048,1.0278,1.0403,1.3193,1.0092,,1.0395,1.0278,1.0289,1.0403,1.0125,1.0214,1.0117,,1.0276,1.0301,1.0391,0.9893,1.0255,,,0.9945,,1.0468,,1.0062,1.2875,1.0159,1.0427,1.0174,1.0317,1.0354,1.0215,1.0124,,1.0176,1.034,1.0296,1.0948,,1.042,1.0229,1.0356,1.0287,,1.0079,1.024,1.0848,1.0351,1.0305,1.0355,1.0148,1.0216,,1.0306,1.014,1.0139,1.0326,,,1.0155,1.065,1.023,1.0068,1.0082,,1.0231,1.0036,1.015,1.004,,1.0237,1.0436,,,,,,,1.0188,,1.0086,1.0054,,,,,,,1.0149,,1.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2109,1.3947,1.341,1.818,2.189,1.362,1.205,2.4133,1.381,1.212,,1.441,1.348,1.358,1.85,1.517,1.5217,1.378,1.917,1.388,1.14,1.584,1.638,1.219,1.9343,1.505,1.221,,1.32,1.306,1.8265,1.6744,,,1.247,1.0514,,1.0307,1.027,1.0394,1.0179,1.5754,1.176,1.162,2.026,1.011,1.025,1.0374,,1.226,1.2994,1.0342
2018-01-12,1.2091,1.236,1.175,1.258,1.2341,1.301,1.235,1.223,1.2512,1.234,1.2339,1.241,1.284,1.25,1.298,1.282,1.327,1.136,1.292,1.291,1.235,1.243,1.198,1.171,1.0015,1.282,1.334,1.0077,1.0978,1.2475,1.009,1.119,1.099,1.071,1.0402,1.0629,1.1294,1.0702,1.031,1.0789,1.0815,1.0364,1.026,1.0266,1.037,1.048,1.041,1.0459,0.9986,1.009,1.11,1.019,1.035,1.0446,1.042,0.988,1.059,1.012,1.0455,1.0491,1.031,1.012,1.062,1.0534,1.031,1.023,1.038,1.027,1.052,1.007,1.02,1.043,1.036,1.029,1.0355,1.046,1.056,1.0016,1.0484,1.0477,1.0007,1.037,1.0162,0.9791,1.0186,1.0411,1.05,1.0155,0.9947,1.03,1.162,1.0248,0.9843,1.0366,1.0283,1.0265,1.041,1.0209,0.9545,0.9885,1.0086,1.0371,0.9961,0.9932,1.0127,1.0007,1.2139,1.0161,1.0315,1.0079,1.0178,1.0216,1.0223,1.043,1.0419,1.0358,1.048,1.0278,1.0405,1.3193,1.0093,1.037,1.0395,1.0278,1.029,1.0402,1.0124,1.0217,1.0117,1.0438,1.0278,1.0301,1.039,0.9895,1.0257,1.0253,1.0165,0.9945,1.0078,1.0468,,1.0061,1.2876,1.0161,1.0428,1.0174,1.0318,1.0353,1.0215,1.0123,1.0374,1.0186,1.034,1.0296,1.0954,1.0273,1.042,1.0229,1.0357,1.0289,1.025,1.0079,1.0243,1.0847,1.0351,1.0303,1.0356,1.0148,1.0216,1.0214,1.0306,1.0141,1.0146,1.0327,1.0163,,1.0153,1.0656,1.023,1.0067,1.0082,1.0,1.0231,1.0036,1.0152,1.005,1.0026,1.0239,1.0439,1.0024,0.9983,1.009,1.0002,1.0081,1.0096,1.0189,1.0201,1.0087,1.0054,1.007,1.0127,,1.0141,1.0056,1.0018,1.015,1.0087,1.0075,,,1.0042,1.0022,1.0059,,,1.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.211,1.3939,1.341,1.819,2.189,1.362,1.205,2.4136,1.381,1.213,1.377,1.443,1.348,1.358,1.851,1.517,1.5215,1.38,1.917,1.388,1.14,1.585,1.6384,1.219,1.9343,1.505,1.221,1.213,1.32,1.306,1.83,1.6757,1.0122,1.011,1.2465,1.0514,1.039,1.031,1.0271,1.0394,1.0179,1.5751,1.176,1.162,2.026,1.011,1.024,1.0374,1.0115,1.226,1.2997,1.0344
2018-01-15,1.209,1.237,1.175,,1.234,,1.235,1.223,1.251,1.234,1.234,1.241,1.285,1.242,1.298,1.282,1.327,,1.29,1.291,1.235,1.244,1.198,,,,,1.0079,,1.248,1.009,,1.1,,,1.0628,1.1298,1.0705,1.031,1.0791,1.0821,,1.026,1.0262,1.037,1.049,1.0411,1.0462,0.9989,1.009,1.112,1.018,1.033,1.0449,1.042,0.984,1.059,1.012,1.0458,1.0494,,1.012,1.062,1.0536,1.032,,1.039,1.027,1.051,,,1.043,1.037,1.029,,1.046,1.057,1.0017,1.0486,1.0478,1.0014,,,0.9794,1.0185,1.0414,1.05,,0.995,1.0302,1.162,1.025,0.9847,1.0373,1.0284,1.0269,1.0412,1.0195,0.956,0.9886,1.0087,1.0369,0.9961,0.9932,1.0125,1.001,1.2144,1.0164,1.0316,1.0074,1.0171,,,1.0446,1.0422,1.0361,1.048,1.0281,1.0408,1.3196,1.0096,,1.0399,1.028,1.0293,1.0409,1.0125,1.0213,1.0117,,1.0278,1.0303,1.0394,0.9882,1.0254,,,0.9948,,1.0471,,1.0065,1.2879,1.016,1.043,1.0177,1.032,1.0357,1.0218,1.0123,,1.0186,1.0343,1.0298,1.0956,,1.042,1.0232,1.0358,1.0292,,1.008,1.0239,1.0852,1.0354,1.0305,1.0359,1.0151,1.0218,,1.0307,1.0147,1.0147,1.0329,,,1.0159,1.0646,1.023,1.007,1.0084,,1.0231,1.0038,1.0157,1.005,,1.0246,1.0434,,,,,,,1.0191,,1.009,1.0058,,,,,,,1.0154,,1.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2112,1.3919,1.341,1.817,2.188,1.361,1.206,2.4125,1.381,1.213,,1.441,1.349,1.359,1.851,1.517,1.5217,1.381,1.916,1.389,1.14,1.585,1.6394,1.22,1.9346,1.506,1.222,,1.32,1.306,1.8316,1.6736,,,1.2392,1.0517,,1.0306,1.0273,1.0397,1.0182,1.5751,1.176,1.162,2.027,1.011,1.025,1.0377,,1.227,1.2994,1.0346
