,jydm,jydm_mc,p00475_f001,p00475_f002,p00475_f009
0,000011.OF,华夏大盘精选混合A/B,2019/06/30,002419.SZ,6.34442495252070341800
1,000011.OF,华夏大盘精选混合A/B,2019/06/30,600031.SH,6.36740782501767083500
2,000011.OF,华夏大盘精选混合A/B,2019/06/30,600690.SH,6.72641363920078141400
3,000011.OF,华夏大盘精选混合A/B,2019/06/30,603867.SH,0.000588073444701916688300
4,000011.OF,华夏大盘精选混合A/B,2019/06/30,002271.SZ,0.0000004940685152984148852400
5,000011.OF,华夏大盘精选混合A/B,2019/06/30,600019.SH,1.70105739193066671500
6,000011.OF,华夏大盘精选混合A/B,2019/06/30,300124.SZ,2.08023157261606324900
7,000011.OF,华夏大盘精选混合A/B,2019/06/30,002032.SZ,2.10147618452542467800
8,000011.OF,华夏大盘精选混合A/B,2019/06/30,600258.SH,2.43048351311437523400
9,000011.OF,华夏大盘精选混合A/B,2019/06/30,601336.SH,2.56409404809312154700
10,000011.OF,华夏大盘精选混合A/B,2019/06/30,603833.SH,2.79977852870517316600
11,000011.OF,华夏大盘精选混合A/B,2019/06/30,600885.SH,2.99659712635001093500
12,000011.OF,华夏大盘精选混合A/B,2019/06/30,603899.SH,3.18921022260422753200
13,000011.OF,华夏大盘精选混合A/B,2019/06/30,601318.SH,3.28424989282505782600
14,000011.OF,华夏大盘精选混合A/B,2019/06/30,601111.SH,3.77674607301171805700
15,000011.OF,华夏大盘精选混合A/B,2019/06/30,601100.SH,4.54959560215237618800
16,000011.OF,华夏大盘精选混合A/B,2019/06/30,600036.SH,4.62839048055968608200
17,000011.OF,华夏大盘精选混合A/B,2019/06/30,000568.SZ,5.05186924715816843900
18,000011.OF,华夏大盘精选混合A/B,2019/06/30,000596.SZ,5.36506632089940759500
19,000011.OF,华夏大盘精选混合A/B,2019/06/30,600009.SH,5.57332712607622879700
20,000011.OF,华夏大盘精选混合A/B,2019/06/30,600754.SH,5.61653649858114100700
21,000011.OF,华夏大盘精选混合A/B,2019/06/30,601668.SH,1.50444517014963049800
22,000011.OF,华夏大盘精选混合A/B,2019/06/30,002242.SZ,1.41469082163707797500
23,000011.OF,华夏大盘精选混合A/B,2019/06/30,601888.SH,1.35278174838727923900
24,000011.OF,华夏大盘精选混合A/B,2019/06/30,000338.SZ,1.33981226562067138800
25,000011.OF,华夏大盘精选混合A/B,2019/06/30,600600.SH,1.29282145099346127400
26,000011.OF,华夏大盘精选混合A/B,2019/06/30,000089.SZ,1.28480577846475170200
27,000011.OF,华夏大盘精选混合A/B,2019/06/30,600309.SH,1.17908419628061713100
28,000011.OF,华夏大盘精选混合A/B,2019/06/30,600004.SH,1.16591333502459900800
29,000011.OF,华夏大盘精选混合A/B,2019/06/30,001979.SZ,0.25073255235748415500
30,000011.OF,华夏大盘精选混合A/B,2019/06/30,601155.SH,0.17360249450171056500
31,000011.OF,华夏大盘精选混合A/B,2019/06/30,600968.SH,0.007924092590491926070700
32,000011.OF,华夏大盘精选混合A/B,2019/06/30,300782.SZ,0.001764508359043397552100
33,000011.OF,华夏大盘精选混合A/B,2019/06/30,601698.SH,0.000863502687706741019200
34,000011.OF,华夏大盘精选混合A/B,2019/06/30,603863.SH,0.000811200324313191256300
35,000011.OF,华夏大盘精选混合A/B,2019/06/30,601236.SH,0.000738485038351561970800
36,000011.OF,华夏大盘精选混合A/B,2019/06/30,300594.SZ,0.000693425161221325291400
37,000011.OF,华夏大盘精选混合A/B,2019/06/30,600176.SH,5.63737944477951907900
38,000011.OF,华夏大盘精选混合A/B,2019/06/30,600029.SH,6.24359071418684991600
39,000017.OF,财通可持续混合,2019/06/30,002271.SZ,3.34341106373342713800
40,000017.OF,财通可持续混合,2019/06/30,601012.SH,3.17598508979815118500
41,000017.OF,财通可持续混合,2019/06/30,300529.SZ,3.14127005609936256500
42,000017.OF,财通可持续混合,2019/06/30,603833.SH,2.99757692911474710800
43,000017.OF,财通可持续混合,2019/06/30,300015.SZ,2.69539618570481846900
44,000017.OF,财通可持续混合,2019/06/30,600486.SH,2.67318532336643354800
45,000017.OF,财通可持续混合,2019/06/30,601155.SH,0.003810321440275861085400
46,000017.OF,财通可持续混合,2019/06/30,002372.SZ,2.37710937340700466100
47,000017.OF,财通可持续混合,2019/06/30,600309.SH,0.000122866356013115369900
48,000017.OF,财通可持续混合,2019/06/30,300059.SZ,6.39762775585481011500
49,000017.OF,财通可持续混合,2019/06/30,002044.SZ,6.72952307231327637500
50,000017.OF,财通可持续混合,2019/06/30,600887.SH,5.87326246977024033800
51,000017.OF,财通可持续混合,2019/06/30,000063.SZ,4.80645459753615172700
52,000017.OF,财通可持续混合,2019/06/30,000661.SZ,4.77304925774492800900
53,000017.OF,财通可持续混合,2019/06/30,002410.SZ,4.70608728514312252300
54,000017.OF,财通可持续混合,2019/06/30,601318.SH,4.59641684467893900400
55,000017.OF,财通可持续混合,2019/06/30,600036.SH,4.44442443368993027800
56,000017.OF,财通可持续混合,2019/06/30,300347.SZ,4.29653539719786248800
57,000017.OF,财通可持续混合,2019/06/30,002475.SZ,3.95655325015125466300
58,000017.OF,财通可持续混合,2019/06/30,600585.SH,1.15698625492658733700
59,000017.OF,财通可持续混合,2019/06/30,300144.SZ,0.004916836489427862462900
60,000017.OF,财通可持续混合,2019/06/30,002371.SZ,0.005832730182627756205600
61,000017.OF,财通可持续混合,2019/06/30,600048.SH,0.006106468422245665341600
62,000017.OF,财通可持续混合,2019/06/30,603986.SH,0.008298288592612839892100
63,000017.OF,财通可持续混合,2019/06/30,300454.SZ,0.008378687236416701316700
64,000017.OF,财通可持续混合,2019/06/30,002821.SZ,0.009387498790812772048700
65,000017.OF,财通可持续混合,2019/06/30,300760.SZ,0.015620307939035933914600
66,000017.OF,财通可持续混合,2019/06/30,603863.SH,0.018511826020907571034200
67,000017.OF,财通可持续混合,2019/06/30,603867.SH,0.02581509525504355000
68,000017.OF,财通可持续混合,2019/06/30,300594.SZ,0.03043979752944981100
69,000017.OF,财通可持续混合,2019/06/30,601698.SH,0.03790581658968589200
70,000017.OF,财通可持续混合,2019/06/30,600968.SH,0.06809870414125377200
