,time,thscode,close
0,2020-06-30,930609.CSI,1275.1963
1,2020-07-01,930609.CSI,1275.4279
2,2020-07-02,930609.CSI,1275.9288
3,2020-07-03,930609.CSI,1275.6946
4,2020-07-06,930609.CSI,1273.3993
5,2020-07-07,930609.CSI,1271.6885
6,2020-07-08,930609.CSI,1270.4069
7,2020-07-09,930609.CSI,1267.6985
8,2020-07-10,930609.CSI,1267.1791
9,2020-07-13,930609.CSI,1265.5689
10,2020-07-14,930609.CSI,1265.7987
11,2020-07-15,930609.CSI,1266.4498
12,2020-07-16,930609.CSI,1267.0994
13,2020-07-17,930609.CSI,1267.5624
14,2020-07-20,930609.CSI,1268.4307
15,2020-07-21,930609.CSI,1270.3049
16,2020-07-22,930609.CSI,1270.9111
17,2020-07-23,930609.CSI,1271.0577
18,2020-07-24,930609.CSI,1271.8867
19,2020-07-27,930609.CSI,1272.2166
20,2020-07-28,930609.CSI,1271.849
21,2020-07-29,930609.CSI,1271.3181
22,2020-07-30,930609.CSI,1271.0967
23,2020-07-31,930609.CSI,1270.55
24,2020-08-03,930609.CSI,1270.6675
25,2020-08-04,930609.CSI,1270.903
26,2020-08-05,930609.CSI,1270.98
27,2020-08-06,930609.CSI,1270.9798
28,2020-08-07,930609.CSI,1271.0416
29,2020-08-10,930609.CSI,1271.7348
30,2020-08-11,930609.CSI,1271.7977
31,2020-08-12,930609.CSI,1271.7826
32,2020-08-13,930609.CSI,1272.0309
33,2020-08-14,930609.CSI,1272.3768
34,2020-08-17,930609.CSI,1273.0181
35,2020-08-18,930609.CSI,1273.0174
36,2020-08-19,930609.CSI,1272.6431
37,2020-08-20,930609.CSI,1271.98
38,2020-08-21,930609.CSI,1271.9791
39,2020-08-24,930609.CSI,1271.7816
40,2020-08-25,930609.CSI,1270.8578
41,2020-08-26,930609.CSI,1270.4794
42,2020-08-27,930609.CSI,1270.2061
43,2020-08-28,930609.CSI,1269.8543
44,2020-08-31,930609.CSI,1270.3409
45,2020-09-01,930609.CSI,1270.2756
46,2020-09-02,930609.CSI,1269.7542
47,2020-09-03,930609.CSI,1269.4573
48,2020-09-04,930609.CSI,1269.1801
49,2020-09-07,930609.CSI,1268.8065
50,2020-09-08,930609.CSI,1268.9805
51,2020-09-09,930609.CSI,1269.4689
52,2020-09-10,930609.CSI,1270.0352
53,2020-09-11,930609.CSI,1269.8682
54,2020-09-14,930609.CSI,1269.9912
55,2020-09-15,930609.CSI,1270.7279
56,2020-09-16,930609.CSI,1271.0881
57,2020-09-17,930609.CSI,1271.073
58,2020-09-18,930609.CSI,1271.4279
59,2020-09-21,930609.CSI,1271.9161
60,2020-09-22,930609.CSI,1272.0721
61,2020-09-23,930609.CSI,1272.0991
62,2020-09-24,930609.CSI,1272.0959
63,2020-09-25,930609.CSI,1271.8072
64,2020-09-28,930609.CSI,1272.0696
65,2020-09-29,930609.CSI,1272.0163
66,2020-09-30,930609.CSI,1272.2019
67,2020-10-09,930609.CSI,1272.7338
68,2020-10-12,930609.CSI,1273.0617
69,2020-10-13,930609.CSI,1273.3037
70,2020-10-14,930609.CSI,1273.3599
71,2020-10-15,930609.CSI,1273.3789
72,2020-10-16,930609.CSI,1273.6257
73,2020-10-19,930609.CSI,1274.2187
74,2020-10-20,930609.CSI,1274.5031
75,2020-10-21,930609.CSI,1274.8484
76,2020-10-22,930609.CSI,1275.3676
77,2020-10-23,930609.CSI,1275.0174
78,2020-10-26,930609.CSI,1275.2502
79,2020-10-27,930609.CSI,1275.5214
80,2020-10-28,930609.CSI,1275.6225
81,2020-10-29,930609.CSI,1275.7085
82,2020-10-30,930609.CSI,1275.7732
83,2020-11-02,930609.CSI,1276.2139
84,2020-11-03,930609.CSI,1276.6328
85,2020-11-04,930609.CSI,1276.9037
86,2020-11-05,930609.CSI,1276.9941
87,2020-11-06,930609.CSI,1276.8552
88,2020-11-09,930609.CSI,1276.8343
89,2020-11-10,930609.CSI,1276.4501
90,2020-11-11,930609.CSI,1276.1654
91,2020-11-12,930609.CSI,1275.6046
92,2020-11-13,930609.CSI,1274.7244
93,2020-11-16,930609.CSI,1274.6771
94,2020-11-17,930609.CSI,1274.2815
95,2020-11-18,930609.CSI,1273.5063
96,2020-11-19,930609.CSI,1272.5009
97,2020-11-20,930609.CSI,1271.8843
98,2020-11-23,930609.CSI,1272.5789
99,2020-11-24,930609.CSI,1272.5667
100,2020-11-25,930609.CSI,1272.8864
101,2020-11-26,930609.CSI,1273.1417
102,2020-11-27,930609.CSI,1273.3735
103,2020-11-30,930609.CSI,1274.7791
104,2020-12-01,930609.CSI,1275.1671
105,2020-12-02,930609.CSI,1275.111
106,2020-12-03,930609.CSI,1275.2175
107,2020-12-04,930609.CSI,1275.4882
108,2020-12-07,930609.CSI,1275.8918
109,2020-12-08,930609.CSI,1276.3829
110,2020-12-09,930609.CSI,1276.6178
111,2020-12-10,930609.CSI,1277.1328
112,2020-12-11,930609.CSI,1276.9201
113,2020-12-14,930609.CSI,1277.2826
114,2020-12-15,930609.CSI,1277.7783
115,2020-12-16,930609.CSI,1277.1641
116,2020-12-17,930609.CSI,1278.598
117,2020-12-18,930609.CSI,1278.8144
118,2020-12-21,930609.CSI,1279.7707
119,2020-12-22,930609.CSI,1279.8499
120,2020-12-23,930609.CSI,1280.7782
121,2020-12-24,930609.CSI,1280.7763
122,2020-12-25,930609.CSI,1281.2542
123,2020-12-28,930609.CSI,1282.0245
124,2020-12-29,930609.CSI,1282.3384
125,2020-12-30,930609.CSI,1283.0698
126,2020-12-31,930609.CSI,1283.2922
