,jydm,jydm_mc,p00475_f001,p00475_f002,p00475_f009
0,000011.OF,华夏大盘精选混合A/B,2018/06/30,600525.SH,2.90966678593627637500
1,000011.OF,华夏大盘精选混合A/B,2018/06/30,603787.SH,0.000206925253176269916300
2,000011.OF,华夏大盘精选混合A/B,2018/06/30,002866.SZ,0.000490875371433952945500
3,000011.OF,华夏大盘精选混合A/B,2018/06/30,300514.SZ,0.000505395641077355145300
4,000011.OF,华夏大盘精选混合A/B,2018/06/30,603105.SH,0.000529404518324096277800
5,000011.OF,华夏大盘精选混合A/B,2018/06/30,603693.SH,0.001557520223670024786200
6,000011.OF,华夏大盘精选混合A/B,2018/06/30,603650.SH,0.001638937105495747627100
7,000011.OF,华夏大盘精选混合A/B,2018/06/30,300747.SZ,0.003985584194809148195700
8,000011.OF,华夏大盘精选混合A/B,2018/06/30,601939.SH,0.03985456265749997500
9,000011.OF,华夏大盘精选混合A/B,2018/06/30,000625.SZ,0.11571472686998698300
10,000011.OF,华夏大盘精选混合A/B,2018/06/30,300015.SZ,0.46703592208314586400
11,000011.OF,华夏大盘精选混合A/B,2018/06/30,601668.SH,0.49140187344121138600
12,000011.OF,华夏大盘精选混合A/B,2018/06/30,600004.SH,0.52005823919194783500
13,000011.OF,华夏大盘精选混合A/B,2018/06/30,601088.SH,0.71252300930989130600
14,000011.OF,华夏大盘精选混合A/B,2018/06/30,600585.SH,1.07604472592968930500
15,000011.OF,华夏大盘精选混合A/B,2018/06/30,002032.SZ,1.32768591351144343500
16,000011.OF,华夏大盘精选混合A/B,2018/06/30,000002.SZ,1.35800319445146580400
17,000011.OF,华夏大盘精选混合A/B,2018/06/30,002271.SZ,1.36688021115172123200
18,000011.OF,华夏大盘精选混合A/B,2018/06/30,601233.SH,1.62721816017508947400
19,000011.OF,华夏大盘精选混合A/B,2018/06/30,600703.SH,1.74686743011672284700
20,000011.OF,华夏大盘精选混合A/B,2018/06/30,603899.SH,1.83346012142491988300
21,000011.OF,华夏大盘精选混合A/B,2018/06/30,601318.SH,1.97696767843203517800
22,000011.OF,华夏大盘精选混合A/B,2018/06/30,000069.SZ,2.16345258693067363100
23,000011.OF,华夏大盘精选混合A/B,2018/06/30,600029.SH,2.17286542678086667400
24,000011.OF,华夏大盘精选混合A/B,2018/06/30,000338.SZ,2.25000857802752466200
25,000011.OF,华夏大盘精选混合A/B,2018/06/30,601098.SH,2.39704975518493376400
26,000011.OF,华夏大盘精选混合A/B,2018/06/30,600690.SH,9.47182896794278446300
27,000011.OF,华夏大盘精选混合A/B,2018/06/30,600600.SH,7.79506967660928447000
28,000011.OF,华夏大盘精选混合A/B,2018/06/30,600009.SH,7.38212125333874133900
29,000011.OF,华夏大盘精选混合A/B,2018/06/30,300124.SZ,6.11852148172343461300
30,000011.OF,华夏大盘精选混合A/B,2018/06/30,000333.SZ,5.30994995837699777900
31,000011.OF,华夏大盘精选混合A/B,2018/06/30,600036.SH,4.92910778436681523400
32,000011.OF,华夏大盘精选混合A/B,2018/06/30,600309.SH,4.76522502428755993400
33,000011.OF,华夏大盘精选混合A/B,2018/06/30,603833.SH,4.44146871662822574100
34,000011.OF,华夏大盘精选混合A/B,2018/06/30,600019.SH,4.12147788478883596600
35,000011.OF,华夏大盘精选混合A/B,2018/06/30,600885.SH,4.06602328719281964700
36,000011.OF,华夏大盘精选混合A/B,2018/06/30,000089.SZ,4.03388770039203995600
37,000011.OF,华夏大盘精选混合A/B,2018/06/30,600176.SH,3.92302196925856867000
38,000011.OF,华夏大盘精选混合A/B,2018/06/30,000568.SZ,3.71655135442272398000
39,000011.OF,华夏大盘精选混合A/B,2018/06/30,000858.SZ,3.36407139675613600200
40,000017.OF,财通可持续混合,2018/06/30,300618.SZ,0.20679114455754948900
