,thscode,ths_fund_scale_fund,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Mean
0,161818.OF,211522006.28,72561537.99,29109365.48,27346242.1,41595362.39,158869434.06,149231062.77,236004040.57,195293044.68,240477910.0,485295672.63,732686719.54,726498985.48,945030073.17,677614769.07,608020223.44,537644565.32,461511337.72,413248403.61,327229046.49,312432020.16,281988133.2,269468176.15,353942527.4913043
1,161910.OF,16539340.34,35924324.72,20338786.34,9040261.2,11275973.47,10436916.19,58165610.37,91710552.99,91761708.03,113127497.89,405734841.56,557114201.67,548743445.55,381433854.43,156490007.31,161057857.86,139606921.45,99985700.57,67425317.85,69347308.47,34516215.07,30615101.31,27757262.61,136441261.1847826
2,162205.OF,181645024.26,170988959.32,168737175.92,163382493.44,175989858.55,173927267.67,226651197.66,345085126.24,377649635.4,455460033.62,675053903.53,697372788.24,645945188.49,542620754.82,503356362.72,288385874.57,134334119.38,92844233.25,89708757.3,75299249.29,74905732.77,74236349.81,72982206.62,278546186.6465218
3,162209.OF,1358594058.5,1216560009.59,1062090625.18,937121548.03,1074763953.81,1032400624.5,1101253424.18,1175652294.61,997304581.22,1128382517.49,1068176872.72,1185244270.41,1022743557.43,1008386319.37,872268004.58,857135823.94,688642428.67,674215000.76,653418089.08,615673344.37,609058266.62,747772705.41,813699614.28,952198171.0760868
4,162214.OF,100887109.37,91602497.83,82158671.26,70328495.21,100803653.75,118951669.31,117187813.36,107515659.91,83311200.99,98329184.48,84111286.88,83601963.09,66887200.96,70184626.4,63123307.51,62020818.07,49906251.28,56081474.52,48617736.33,45736600.09,46283984.35,46651029.34,42469550.61,75510947.1695652
5,163411.OF,841996171.73,798923065.95,884120772.86,778976110.84,968387074.69,889003208.48,1105936063.78,1486362799.8,3062164079.99,3563080513.54,4351952225.03,5555990485.53,5279972771.19,5954826987.12,5109349226.69,5076758776.53,4157929642.2,4574716254.56,3806335547.65,3484421577.5,3354099377.93,3218044735.69,2824258011.46,3092504586.1191306
6,163805.OF,677360788.51,600409635.59,566340527.98,505216144.62,572633592.68,589126880.6,608404895.17,647960417.55,554287754.11,655593183.23,651988517.68,740376238.25,675540874.25,686441568.02,580264982.83,567677007.7,439004616.68,489834339.65,392972587.83,426395161.61,411934652.38,369440506.16,338855494.15,554263494.2273912
7,163807.OF,303554663.21,270081926.11,259868952.52,235929897.71,286010099.34,267842305.93,332338830.82,369053051.31,515512354.7,549517160.35,563203850.05,780867996.47,838023406.25,869778396.83,1342229345.82,1966142695.32,2065533608.9,2159937516.63,2442287765.53,3082042786.67,2776546788.3,2613171685.46,2244580409.1,1179741543.1882608
8,163810.OF,201420117.27,178631630.06,166353783.87,148775096.78,164222017.97,168090777.34,250650878.55,270886773.84,239144112.55,189070340.31,196877265.52,212398255.22,196996077.54,211669518.34,217241795.52,217444927.9,190052541.33,202401908.44,174256644.97,162646725.99,165375048.64,159546947.65,193646346.18,194686936.16434783
9,163822.OF,219119533.62,168528727.57,162926873.03,147935465.69,177822005.54,185922803.23,225873885.47,333429435.92,316605973.93,382011578.66,459933443.88,377681529.23,356949041.43,372535594.77,373848686.67,741778952.72,749339734.13,917647333.01,1167489872.94,1743362642.44,1790526050.13,2441932624.08,2114075531.16,692490318.228261
10,166002.OF,3934704278.56,5063110186.21,4548235496.23,4363493858.95,5518086895.13,4613575505.35,4551331146.63,8150885478.32,9109192675.71,9605887488.42,10839796992.61,12293032709.83,15131092868.68,16026375773.3,13885578794.16,14320075070.35,11854643022.95,12336692383.62,11130288111.44,10921297901.67,10629603613.89,9751744791.17,8667943578.82,9445507331.391306
11,166005.OF,4760776698.87,5483726438.42,5916845873.06,10003766062.33,10599969290.68,7721073754.05,5173955525.45,2710689318.52,2255080139.07,1875746517.63,2597432837.07,2741539590.46,3437677763.01,3006584137.52,2833611218.0,2864651454.59,3191016579.52,3130966821.33,2661679452.1,2644354832.06,2736981556.53,2861018117.18,2995846477.25,4095869150.2043486
12,166020.OF,128635210.99,123313259.57,116926458.44,120356176.28,85884483.36,47213983.43,39451933.59,42737842.65,43586091.6,43111962.39,49966128.58,52557425.04,109850686.59,100725580.13,117332712.69,119471716.45,234325161.84,198530144.45,237386022.16,273300700.64,288399029.15,334763011.2,597270292.21,152395478.8447826
13,166301.OF,92417782.51,86537523.52,82258405.64,75197936.63,105085682.27,116167553.94,140298963.96,217082434.52,353196371.36,589521010.13,521118747.58,800038690.11,1073274200.99,1282759564.5,2665484888.15,1754500925.9,2696354735.65,3821047574.94,5768535312.36,9871736636.71,14176204238.45,14048292331.06,12909758926.4,3184646540.751304
14,180001.OF,893821511.67,800890334.49,711496139.23,619916606.64,778995687.75,742254756.73,790158152.24,836307720.44,775383719.53,866005889.96,897599070.73,956634579.11,864967408.53,886947661.33,793596465.09,818660357.87,666127360.83,741170419.99,675190040.03,679669640.54,695774266.96,639378785.07,605433805.17,771146973.0404346
15,180010.OF,2653333296.28,2490336822.24,2207705481.54,1950927174.09,3612117537.02,3113531974.19,2456096059.53,2568165457.27,2168288951.33,2724990766.84,2784317689.03,3058425009.98,3400396150.51,3065927687.28,2604320406.46,2603544607.77,2268047399.97,2332309143.91,2021616742.16,1979527567.87,1994129384.28,1876782879.48,1771351691.54,2508964777.4160876
16,180012.OF,6787265412.06,6783203525.64,6812199056.91,5620732718.89,6759866058.89,6974973126.41,7356974762.89,8937265344.03,7811979527.42,11533880687.07,14162363180.08,17362375072.71,17415555607.38,25640642730.68,24422986134.29,22750888130.87,17336294447.93,19730559152.73,17060067774.68,16636922538.81,16237708202.46,13134810055.79,13282717199.7,13502270889.057392
17,180013.OF,1132319558.27,998835203.0,862886821.27,770553698.75,929705718.46,888651170.94,886792983.59,916061767.85,800228384.53,974332331.92,977650058.37,1081045629.11,804920563.8,873748655.35,785006323.6,756371947.47,623946951.49,665413808.26,561933348.09,499500331.7,507941625.39,451187295.96,419994295.08,789957759.6630436
18,180018.OF,258453158.21,259528703.48,297186788.12,260098347.54,308459050.62,302300245.55,303554135.51,368215748.75,343006481.81,452696348.05,497847257.32,602233245.89,442431346.42,510022607.38,445446502.64,454316165.96,369422839.94,391572253.37,334642776.52,339756032.18,349651345.66,305014018.63,270109328.92,368085422.97695655
19,180020.OF,146543623.31,127456566.3,114477429.45,102931546.99,134134091.34,127702081.73,139742028.53,183292539.41,194979105.53,285571153.33,469010134.56,434474573.77,377886820.14,371935669.07,305706056.17,282125935.45,305343503.94,242980939.23,215096534.18,218100515.93,218370453.45,199959732.64,186033805.02,234080645.1943479
20,180028.OF,117576027.53,93944886.07,88604417.75,74739843.79,82779477.5,68772466.52,63170895.21,60381349.54,58500984.75,79131952.09,106887793.08,114971231.57,71696211.19,74682960.76,56528257.28,76695801.47,61424001.31,69851025.74,66028557.19,69504042.39,84451103.52,77152424.58,70635290.75,77743956.59043477
21,180031.OF,2889679184.31,2436789025.75,2879301956.47,2309968885.9,3018984924.25,2613503810.71,4358404137.91,5132024910.94,4558606101.99,5873969641.6,8598949996.4,7683805908.91,5463675404.81,5657573667.770001,4817658523.46,4383388551.03,3915389679.61,4420542978.1,4215488953.28,3731913682.86,3939324246.28,3766364017.18,3204521873.32,4342166524.471304
22,200001.OF,95978761.77,86024244.11,80034897.34,69043326.48,87609497.35,82510988.44,90469563.71,94930035.52,102481957.86,107167091.19,90591224.92,93800790.24,73242780.98,100277905.55,117082563.79,127285160.49,89646661.65,105742047.46,97140081.21,84932186.66,102263942.18,101221460.81,70589225.08,93481147.59956524
23,200006.OF,1229241435.23,1242656834.97,1400359565.95,1289123976.54,1698685242.87,1636670299.97,1425316208.24,1623946058.72,1521281154.22,1709972925.45,1701430762.95,1660526998.73,1459120571.54,1408665411.68,1148935396.62,1064953701.89,734963169.68,732842950.04,545602039.51,559292248.63,636171492.39,603859814.93,548274509.07,1199212729.1226087
