,thscode,ths_stock_mv_to_fanv_fund,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Mean
0,161818.OF,84.868210980549,71.498455734428,84.690726827894,70.790753439574,92.392212693498,81.81809022553,88.677915008861,92.668587131724,86.014595801528,94.504840361429,94.323010481281,94.185078246437,92.732760204047,86.354412093212,92.904749424812,91.689605800761,90.596880927827,91.634499420596,71.092687027548,90.473904905581,92.037326351251,88.543184848494,92.67745491469,87.70304099354576
1,161910.OF,94.041752090821,91.930238153131,66.861311718108,87.815432383256,85.182132867506,91.98927329432,60.026952774453,92.937619030679,90.859244456728,91.319451120491,85.389513146875,92.70628117207,91.103036187137,90.623265759076,91.894728300117,90.943698470832,94.486771731684,91.422369599429,88.909442418908,88.011248010769,89.044278223926,84.960064460376,86.411275255171,87.77692959242883
2,162205.OF,47.189233505955,41.403078111909,37.677987860922,28.831518045903,30.634646623506,36.921098807715,41.501146321364,43.505941477636,28.358590505871,31.440957510989,28.955938803976,33.072086175325,28.606214648329,29.235435565421,31.644786341681,31.355321197624,27.816962877685,26.799260739223,28.625308668722,30.089854618257,30.21404205402,29.499458467515,30.140817671539,32.76172550439509
3,162209.OF,90.390897062796,91.505516154947,89.057146433215,82.768251510227,85.698733064584,89.839667408105,93.906777258834,89.635302470921,92.053966665524,92.04812510481,94.495690367244,93.260664542815,81.535735710276,72.779643360147,94.233134182857,94.359779927553,90.370641373627,93.960034814696,94.42637309272,94.295220816172,82.121893743553,86.721604641138,84.322694719122,89.29510845329928
4,162214.OF,94.021248564196,94.17762766699,93.292033664275,92.042644246419,88.766612430455,94.403780881249,93.882455492213,90.381103553978,88.173231410765,89.597755382502,94.453829630909,93.582676073976,71.107667292646,85.310262861213,90.480661681031,86.640751528546,88.155746347615,81.992728888755,78.693523738562,85.264637868276,91.740956329314,92.345762203926,92.260047062457,89.16381499131597
5,163411.OF,86.327881518336,87.922720802251,93.151025366804,89.563629881752,93.454283042729,89.083541451337,89.381621904197,91.50453229945,90.977388705085,90.710647736636,91.054347124702,89.406295107904,90.638942537414,91.074112463223,91.792722081132,91.576908831341,89.438192250467,89.662118033253,92.653176786459,87.340830095637,83.550179883444,86.030090658028,85.208740095454,89.63060559378413
6,163805.OF,68.456318110766,71.375326166924,69.413482042712,63.792595074809,73.671217284968,81.501215459901,84.083252247183,84.06528896157,89.242120527136,89.508317746515,89.616205575076,89.753724280872,88.119697272337,89.966696435844,89.910926836481,89.91740617752,89.157807681397,90.347447387944,92.033579747961,89.9111171257,90.026114871994,89.496520750837,89.534490039292,84.47395077416257
7,163807.OF,72.282087782723,66.531748506124,62.103462539481,70.880317608391,79.181412066426,77.380485890891,76.314934837502,79.594729713603,79.607316712869,78.969484782533,79.073400577866,79.073143356019,76.186764099705,78.767076572065,74.001921998225,75.393019198449,72.711100710852,77.038109037186,72.757572235699,70.1882240885,74.758474573284,75.596393498997,77.80100435444,75.05183411920999
8,163810.OF,59.510328002303,67.085931108476,64.452229607105,55.987687457648,65.008318293533,77.295746433009,72.288299880767,76.304645856238,73.853612195062,77.761785100158,73.809690558323,76.720549898687,77.490799591684,71.697566980914,70.297693694002,75.818216958281,76.150048842917,78.827945294447,77.394273718066,76.112299701385,75.067044642412,72.995972768771,73.943673807768,72.42932001704155
9,163822.OF,83.052576894217,68.613609559219,66.486607313733,63.731616607452,91.983743695437,89.279742116763,87.375370884215,89.758475982848,89.853222012449,90.484266639898,92.955176345373,90.983050505692,91.154883317934,89.999934810793,91.972511534729,91.985773486561,84.728862744466,92.024421803933,89.709497732467,87.264847930219,91.965048640233,91.693686854256,91.705314186848,86.9027061565102
10,166002.OF,71.687142488291,66.145145353008,70.440384895325,64.651723356611,79.750488802907,79.640414088901,72.274979412972,75.127061886745,71.686032186801,79.51547784281,76.758177273356,78.880661024139,74.793046974544,71.314523805154,76.303120173706,78.327341891977,77.806133753309,78.366347327058,71.592631727716,78.224782349673,79.12445101523,71.331569806324,77.924136292116,74.8550336403771
11,166005.OF,94.067606669484,94.500351563075,93.520027374296,93.341981913095,93.121064103223,94.479441275129,94.008054467583,93.186496099059,94.183374530703,94.139643517582,94.195730255096,93.884115027009,93.615620694747,91.10690798539,92.678195671633,93.471931100741,93.96984092415,94.084124230004,93.726186847154,93.904438649378,94.026143407505,93.507531808764,94.025731874225,93.68454521691412
12,166020.OF,82.466923676044,93.355703840933,93.465895114059,74.484503506304,87.047165597876,94.525543531158,93.03678809144,93.475151943118,94.049727355912,94.001806298233,92.111003234287,93.988551358535,93.834658519674,88.707445942569,91.021431473532,91.678502726206,94.418588485975,94.015091132115,93.700145432445,93.505391070513,93.942787676381,93.537359534539,92.624638755546,91.60846975206061
13,166301.OF,83.142956034122,86.870884862595,83.7551046534,84.675789115465,80.700537293091,80.890263910123,80.228003374345,87.421814026374,81.745829700418,91.355365918381,93.322630465399,84.780690000972,90.040077295122,87.906040066014,82.038469926112,90.579569678185,86.390086181612,82.347087211271,75.37776799014,74.443202787156,89.708573990893,88.477519579721,92.073454216659,85.14224862076391
14,180001.OF,67.564283524758,69.754432145288,68.331019717992,43.330551889214,54.780524475374,54.852763493721,68.225546322815,67.121200246085,63.367715339423,66.683257942584,68.922723376581,69.637504974969,66.123397871373,68.113249545536,63.999380974108,66.993390550504,67.799483179503,69.446763416023,67.62094745795,68.047399148584,67.067654937694,67.568568108293,67.480168114379,65.34051855446744
15,180010.OF,80.534420585453,85.38320067594,70.061671295985,65.600586325164,82.587719302764,69.143395115448,80.29845381892,87.732283212589,83.306542518792,85.05165682369,76.751140071753,78.674496452857,69.210560378003,70.350672153117,63.206787271906,75.223735309359,77.413075983916,89.79519711092,82.150835440527,84.282162710429,90.490204542146,83.905924129397,88.503721347794,79.11558445986388
16,180012.OF,95.387127353475,94.402855188041,91.949429650126,89.412865748088,83.451330198491,90.088162781126,81.534216856871,86.169956108938,91.549909468362,92.08935013891,90.466963082411,92.837060825078,94.251378310746,89.60639505003,86.244162488537,91.890380842511,87.813393987535,92.65428954496,94.250154285109,94.816833280684,93.919740890833,93.973772585574,93.690153579146,90.97608183676442
17,180013.OF,94.918131500977,90.845721728132,85.893306972652,81.224446931512,88.060638868193,84.533031174132,90.878128301994,92.79061702957,91.745670558937,93.535121159751,90.033119781892,93.330635102853,88.483429615418,88.524662658298,91.069388743456,91.444781777478,86.773179118366,91.043951100769,92.740167025384,90.561160948674,89.777798842508,89.739485600653,91.161760639408,89.96123196439162
