,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
0,570001.OF,261.0,286285973.52,755.0,274942170.19,673.0,267781004.7,1429.0,254358462.12,578.0,208256635.52,2311.0,168550050.58,119.0,163929196.69,369.0,159654852.5,550.0,155983628.2,397.0,154837074.06
1,570008.OF,673.0,124378664.7,261.0,121669443.56,755.0,119982269.55,1429.0,111087608.18,578.0,81538790.96,2311.0,73701495.44,550.0,72401469.6,397.0,63760306.08,119.0,63525363.51,369.0,62551447.92
2,590005.OF,78.0,30151200.0,271.0,29004300.0,406.0,27858000.0,1114.0,27555200.0,125.0,27063608.0,476.0,26600000.0,149.0,25823025.84,678.0,25813600.0,218.0,24720000.0,156.0,24612061.53
3,610004.OF,518.0,25198875.9,327.0,17396445.56,80.0,16720497.72,708.0,16101570.75,1051.0,15213828.0,227.0,14075904.0,90.0,13044150.0,193.0,12971952.0,210.0,12715430.0,621.0,12600628.24
4,610006.OF,1372.0,22106050.2,708.0,21997581.75,518.0,21608928.15,1051.0,17048836.5,327.0,12210625.44,80.0,12190610.88,90.0,11962160.0,210.0,11606490.0,227.0,10690560.0,131.0,10517016.0
5,630002.OF,1185.0,211618610.55,295.0,142186647.9,447.0,109436317.49,435.0,97990467.78,417.0,97968705.16,231.0,76761868.0,366.0,74458436.0,182.0,62575999.0,105.0,57211798.69,481.0,56530934.07
6,630006.OF,235.0,6353774.8,85.0,4286655.0,295.0,3902580.0,182.0,3529265.0,962.0,3507840.0,755.0,3490144.0,1495.0,3483810.0,208.0,3475824.0,453.0,2984912.0,593.0,2782944.0
7,630010.OF,235.0,32558260.0,85.0,22314210.0,295.0,20010760.0,1495.0,17957924.82,755.0,17855826.0,182.0,17217138.0,453.0,15323406.0,593.0,14409465.6,1656.0,13998354.3,962.0,13325760.0
8,630016.OF,813.0,5713300.0,1495.0,5305410.0,1214.0,4511970.0,1003.0,3769320.0,1185.0,3753237.0,764.0,3444719.6,1114.0,3383360.0,765.0,3252510.0,523.0,3172553.35,935.0,3127670.0
9,660004.OF,2311.0,21867748.2,162.0,19124190.0,204.0,16398191.38,234.0,16182249.2,677.0,16119318.0,1267.0,15252318.0,1003.0,14788050.0,1104.0,13590560.0,2045.0,11498800.0,1372.0,10787225.33
