,thscode,ths_top_n_top_stock_mv_to_si_mv_fund
0,570001.OF,77.529001084304
1,570008.OF,78.542246660462
2,590005.OF,47.830625570422
3,610004.OF,65.937066501228
4,610006.OF,65.821204721781
5,630002.OF,37.977572297104
6,630006.OF,45.9698707349
7,630010.OF,45.790767292719
8,630016.OF,48.562001187361
9,660004.OF,33.476794369976
10,660006.OF,20.905513813379
11,660010.OF,60.040951577422
12,660012.OF,63.900473694263
13,688888.OF,62.937455651098
14,690004.OF,53.593286087991
15,690005.OF,57.067696340157
16,690007.OF,56.729562012896
17,700001.OF,39.591416580147
18,700003.OF,44.920880079047
19,720001.OF,68.546781812207
20,750001.OF,50.241806168233
21,160133.SZ,39.752834924184
22,160322.SZ,57.846078026323
23,000041.OF,
24,000043.OF,
25,000082.OF,24.774188829822
26,000309.OF,77.933784538616
27,000409.OF,73.5824766689
28,000457.OF,44.796333759731
29,000471.OF,34.218115326545
30,000513.OF,52.772129743587
31,000524.OF,45.883412875473
32,000549.OF,25.321108699785
33,000577.OF,73.536879263666
34,000592.OF,40.604073956518
35,000628.OF,73.918324035171
36,000746.OF,70.854982137255
37,000751.OF,61.149181319375
38,000778.OF,84.797818395336
39,000780.OF,60.585290554735
40,000828.OF,65.202905050094
41,000831.OF,70.166169476261
42,000866.OF,41.019613721355
43,000893.OF,45.223805476415
44,000925.OF,53.351812280034
45,000955.OF,38.459738681518
46,000960.OF,59.984935333853
47,000971.OF,69.341396509648
48,000978.OF,20.767445454564
49,000979.OF,76.827640008909
50,000985.OF,43.821964717052
51,000991.OF,63.798976237011
52,000996.OF,72.055601475421
53,001008.OF,41.894875078813
54,001009.OF,40.814196545512
55,001028.OF,26.399729764591
56,001036.OF,57.009739831256
57,001040.OF,61.997903177197
58,001044.OF,73.428881510334
59,001054.OF,58.76965580091
60,001070.OF,44.707102180122
61,001072.OF,44.413803639673
62,001126.OF,47.983782607547
63,001158.OF,50.110190364603
64,001163.OF,65.594889208138
65,001166.OF,60.113322806179
66,001171.OF,69.865698404628
67,001178.OF,65.789588818536
68,001186.OF,59.900454283327
69,001195.OF,45.023535576652
70,001223.OF,53.114176361801
71,001230.OF,65.802272862658
72,001236.OF,41.214655295939
73,001245.OF,46.166026763117
74,001291.OF,19.702386368359
75,001313.OF,53.833618236858
76,001396.OF,60.39736022425
77,001404.OF,56.348646896001
78,001410.OF,20.924576048245
79,001416.OF,25.26388146213
80,001473.OF,76.767213281085
81,001476.OF,41.194167377118
82,001490.OF,49.525237677589
83,001496.OF,55.770400414698
84,001528.OF,57.132596451969
85,001542.OF,39.623930295211
86,001576.OF,72.49442393949
87,001579.OF,49.687666104924
88,001583.OF,57.949941317805
89,001605.OF,35.073773278328
90,001616.OF,60.065075580143
91,001637.OF,20.087109788699
92,001645.OF,83.224964284007
93,001651.OF,43.444915101778
94,001672.OF,38.037569206876
95,001703.OF,54.587973236519
