,time,thscode,close
0,2023-01-03,930609.CSI,1353.5482
1,2023-01-04,930609.CSI,1354.5738
2,2023-01-05,930609.CSI,1355.0166
3,2023-01-06,930609.CSI,1354.6226
4,2023-01-09,930609.CSI,1354.7414
5,2023-01-10,930609.CSI,1353.8825
6,2023-01-11,930609.CSI,1353.8217
7,2023-01-12,930609.CSI,1353.989
8,2023-01-13,930609.CSI,1353.9197
9,2023-01-16,930609.CSI,1353.3811
10,2023-01-17,930609.CSI,1353.4676
11,2023-01-18,930609.CSI,1353.5846
12,2023-01-19,930609.CSI,1353.7844
13,2023-01-20,930609.CSI,1354.0306
14,2023-01-30,930609.CSI,1355.2138
15,2023-01-31,930609.CSI,1355.476
16,2023-02-01,930609.CSI,1355.5746
17,2023-02-02,930609.CSI,1356.044
18,2023-02-03,930609.CSI,1356.636
19,2023-02-06,930609.CSI,1357.0572
20,2023-02-07,930609.CSI,1357.1841
21,2023-02-08,930609.CSI,1357.4883
22,2023-02-09,930609.CSI,1357.9262
23,2023-02-10,930609.CSI,1358.3014
24,2023-02-13,930609.CSI,1358.725
25,2023-02-14,930609.CSI,1359.0132
26,2023-02-15,930609.CSI,1359.2242
27,2023-02-16,930609.CSI,1359.6103
28,2023-02-17,930609.CSI,1359.8123
29,2023-02-20,930609.CSI,1359.3237
30,2023-02-21,930609.CSI,1358.957
31,2023-02-22,930609.CSI,1359.203
32,2023-02-23,930609.CSI,1359.2017
33,2023-02-24,930609.CSI,1359.1937
34,2023-02-27,930609.CSI,1359.3151
35,2023-02-28,930609.CSI,1359.3239
36,2023-03-01,930609.CSI,1359.4407
37,2023-03-02,930609.CSI,1359.5888
38,2023-03-03,930609.CSI,1359.6395
39,2023-03-06,930609.CSI,1360.4344
40,2023-03-07,930609.CSI,1360.8995
41,2023-03-08,930609.CSI,1361.2794
42,2023-03-09,930609.CSI,1361.4297
43,2023-03-10,930609.CSI,1361.8322
44,2023-03-13,930609.CSI,1362.1113
45,2023-03-14,930609.CSI,1362.2922
46,2023-03-15,930609.CSI,1362.3439
47,2023-03-16,930609.CSI,1362.6326
48,2023-03-17,930609.CSI,1362.9839
49,2023-03-20,930609.CSI,1364.0106
50,2023-03-21,930609.CSI,1363.9678
51,2023-03-22,930609.CSI,1364.0964
52,2023-03-23,930609.CSI,1364.2508
53,2023-03-24,930609.CSI,1364.0379
54,2023-03-27,930609.CSI,1364.4112
55,2023-03-28,930609.CSI,1364.5093
56,2023-03-29,930609.CSI,1364.7993
57,2023-03-30,930609.CSI,1364.9723
58,2023-03-31,930609.CSI,1365.5139
59,2023-04-03,930609.CSI,1365.8481
60,2023-04-04,930609.CSI,1365.89
61,2023-04-06,930609.CSI,1365.9704
62,2023-04-07,930609.CSI,1366.2412
63,2023-04-10,930609.CSI,1366.6632
64,2023-04-11,930609.CSI,1367.0914
65,2023-04-12,930609.CSI,1367.4982
66,2023-04-13,930609.CSI,1367.5888
67,2023-04-14,930609.CSI,1367.7223
68,2023-04-17,930609.CSI,1367.8178
69,2023-04-18,930609.CSI,1368.1013
70,2023-04-19,930609.CSI,1368.4849
71,2023-04-20,930609.CSI,1368.6852
72,2023-04-21,930609.CSI,1368.8429
73,2023-04-24,930609.CSI,1369.2808
74,2023-04-25,930609.CSI,1369.4822
75,2023-04-26,930609.CSI,1369.7882
76,2023-04-27,930609.CSI,1370.4765
77,2023-04-28,930609.CSI,1370.7847
78,2023-05-04,930609.CSI,1371.8512
79,2023-05-05,930609.CSI,1372.6877
80,2023-05-08,930609.CSI,1372.7915
81,2023-05-09,930609.CSI,1373.1618
82,2023-05-10,930609.CSI,1373.7772
83,2023-05-11,930609.CSI,1374.5863
84,2023-05-12,930609.CSI,1374.6685
85,2023-05-15,930609.CSI,1374.6992
86,2023-05-16,930609.CSI,1374.6529
87,2023-05-17,930609.CSI,1374.6257
88,2023-05-18,930609.CSI,1374.5451
89,2023-05-19,930609.CSI,1374.8905
90,2023-05-22,930609.CSI,1375.5058
91,2023-05-23,930609.CSI,1376.1264
92,2023-05-24,930609.CSI,1376.1376
93,2023-05-25,930609.CSI,1376.1096
94,2023-05-26,930609.CSI,1376.051
95,2023-05-29,930609.CSI,1376.5297
96,2023-05-30,930609.CSI,1376.7565
97,2023-05-31,930609.CSI,1377.1279
98,2023-06-01,930609.CSI,1377.5364
99,2023-06-02,930609.CSI,1377.3844
100,2023-06-05,930609.CSI,1377.7737
101,2023-06-06,930609.CSI,1378.2373
102,2023-06-07,930609.CSI,1378.617
103,2023-06-08,930609.CSI,1378.6211
104,2023-06-09,930609.CSI,1379.0644
105,2023-06-12,930609.CSI,1379.4387
106,2023-06-13,930609.CSI,1380.1994
107,2023-06-14,930609.CSI,1380.4289
108,2023-06-15,930609.CSI,1379.8981
109,2023-06-16,930609.CSI,1379.1586
110,2023-06-19,930609.CSI,1378.3204
111,2023-06-20,930609.CSI,1378.5349
112,2023-06-21,930609.CSI,1378.9042
113,2023-06-26,930609.CSI,1379.4402
114,2023-06-27,930609.CSI,1379.1843
115,2023-06-28,930609.CSI,1379.4054
116,2023-06-29,930609.CSI,1379.6692
117,2023-06-30,930609.CSI,1380.4349
