,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype
0,460008.OF,华泰柏瑞稳健收益债券A,罗远航,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债
1,485022.OF,工银尊益中短债债券F,谷衡,短期纯债券型基金,稳定大基金公司,稳定中,稳定中,
2,485105.OF,工银增强收益债券A,"杜海涛,张略钊",混合债券型基金(一级),稳定大基金公司,稳定长,稳定小,稳定信用债
3,485107.OF,工银添利债券A,谷衡,混合债券型基金(一级),稳定大基金公司,稳定中,稳定大,稳定信用债
4,485120.OF,工银14天理财债券发起A,李娜,短期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
5,519137.OF,海富通瑞福债券A,"方昆明,张靖爽",混合债券型基金(一级),稳定大基金公司,稳定长,稳定小,稳定信用债
6,519138.OF,海富通瑞祥一年定开债券,张靖爽,混合债券型基金(一级),稳定大基金公司,稳定长,稳定大,轮动基金
7,519225.OF,海富通集利债券,方昆明,混合债券型基金(一级),稳定大基金公司,稳定长,稳定中,轮动基金
8,519322.OF,浦银安盛盛元定开债券A,章潇枫,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
9,519324.OF,浦银安盛盛鑫定开债券A,章潇枫,混合债券型基金(一级),稳定大基金公司,稳定中,稳定小,稳定信用债
10,519328.OF,浦银安盛盛泰纯债债券A,陶祺,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,轮动基金
11,519330.OF,浦银安盛盛跃纯债债券A,陶祺,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
12,519332.OF,浦银安盛盛达纯债债券A,章潇枫,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
13,519334.OF,浦银安盛盛勤定开债券A,李羿,中长期纯债券型基金,稳定大基金公司,稳定中,稳定小,稳定信用债
14,519680.OF,交银增利债券A/B,"张顺晨,魏玉敏",混合债券型基金(一级),稳定大基金公司,稳定中,稳定中,稳定信用债
15,519718.OF,交银纯债债券A/B,"于海颖,魏玉敏",中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债
16,519743.OF,交银丰润收益债券A,季参平,中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
17,519746.OF,交银丰享收益债券A,黄莹洁,中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,
18,519762.OF,交银裕通纯债债券A,季参平,中长期纯债券型基金,稳定大基金公司,稳定中,稳定大,稳定信用债
19,519776.OF,交银裕盈纯债债券A,"于海颖,姬静",中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债
