,thscode,基金公司标签20230930,基金公司标签20230630,基金公司标签20230331,基金公司标签20221231,基金公司标签20220930,基金公司标签20220630,bigcompany
0,070005.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
1,070025.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
2,070037.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
3,100018.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
4,100058.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
5,100066.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
6,100072.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
7,110035.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
8,160602.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
9,202103.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
10,202108.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
11,217003.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
12,217022.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
13,261001.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
14,270043.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
15,270048.OF,大基金公司,小基金公司,小基金公司,小基金公司,小基金公司,小基金公司,轮动基金
16,485105.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
17,485107.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
18,519137.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
19,519138.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
20,519225.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
21,519322.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
22,519324.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
23,519328.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
24,519330.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
25,519332.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
26,519334.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
27,519680.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
28,519718.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
29,519743.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
30,519746.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
31,519762.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
32,519776.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
33,519782.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
34,519784.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
35,530021.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
36,650001.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
37,675041.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
38,960040.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
39,H000355.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
40,H202108.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
41,H217003.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
42,160128.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
43,160515.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
44,160618.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
45,161014.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
46,161019.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
47,161115.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
48,161117.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
49,162715.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
50,164703.SZ,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
51,000005.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
52,000032.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
53,000084.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
54,000111.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
55,000137.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
56,000139.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
57,000147.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
58,000183.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
59,000187.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
60,000191.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
61,000205.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
62,000207.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
63,000244.OF,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,稳定大基金公司
64,000252.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
65,000254.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
66,000265.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
67,000295.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
68,000345.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
69,000346.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
70,000355.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
71,000402.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
72,000469.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
73,000516.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
74,000546.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
75,000552.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
76,000606.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
77,000799.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
78,000815.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
79,000914.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
80,000943.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
81,001246.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
82,001299.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
83,001368.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
84,001545.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
85,001578.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
86,001785.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
87,001819.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
88,001911.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
89,001960.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
90,001961.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
91,001993.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
92,002109.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
93,002140.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
94,002143.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
95,002169.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
96,002175.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
97,002188.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
98,002198.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
99,002206.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
100,002268.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
101,002301.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
102,002336.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
103,002341.OF,小基金公司,大基金公司,大基金公司,大基金公司,大基金公司,大基金公司,轮动基金
