,thscode,bondfundtype20230630,bondfundtype20221231,bondfundtype20220630,bondfundtype20211231,bondfundtype20210630,bondfundtype20201231,bondtype
0,070005.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
1,070025.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
2,070037.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
3,100018.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
4,100058.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
5,100066.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
6,100072.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
7,110035.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
8,160602.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
9,202103.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
10,202108.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
11,217003.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
12,217022.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
13,261001.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
14,270043.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
15,270048.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
16,400009.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
17,485105.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
18,485107.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
19,519137.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
20,519138.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
21,519206.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
22,519225.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
23,519322.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
24,519324.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
25,519328.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
26,519330.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
27,519332.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
28,519334.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
29,519680.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
30,519718.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
31,519743.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
32,519746.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
33,519762.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
34,519776.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
35,519782.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
36,519784.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
37,530021.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
38,650001.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
39,675041.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
40,960040.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
41,H000355.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
42,H202108.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
43,H217003.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
44,160128.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
45,160515.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
46,160618.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
47,161014.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
48,161019.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
49,161115.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
50,161117.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
51,162715.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
52,164703.SZ,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
53,000005.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
54,000032.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
55,000084.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
56,000105.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
57,000111.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
58,000128.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
59,000137.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
60,000139.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
61,000147.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
62,000183.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
63,000187.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
64,000191.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
65,000205.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
66,000207.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
67,000244.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
68,000252.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
69,000254.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
70,000265.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
71,000295.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
72,000345.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
73,000346.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
74,000355.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
75,000395.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
76,000402.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
77,000469.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
78,000516.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
79,000546.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
80,000552.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
81,000606.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
82,000799.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
83,000815.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
84,000914.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
85,000943.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
86,001001.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
87,001246.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
88,001299.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
89,001368.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
90,001545.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
91,001578.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
92,001785.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
93,001819.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
94,001911.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
95,001960.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
96,001961.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
97,001993.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
98,002109.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
99,002140.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
100,002143.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
101,002169.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
102,002175.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
103,002188.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
104,002198.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
105,002206.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
106,002268.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
107,002301.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
