,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
0,070005.OF,嘉实债券,轩璇,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
1,070025.OF,嘉实信用债券A,"王立芹,赵国英",混合债券型基金(一级),轮动基金,轮动基金,稳定大,稳定信用债,0
2,070037.OF,嘉实纯债债券A,轩璇,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
3,100018.OF,富国天利增长债券A,黄纪亮,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
4,100058.OF,富国产业债A,"黄纪亮,武磊",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
5,100066.OF,富国纯债债券发起式A/B,"吕春杰,张洋",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
6,100072.OF,富国强回报定期开放债券A,黄纪亮,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
7,110035.OF,易方达双债增强债券A,"田鑫,王晓晨",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
8,160602.OF,鹏华普天债券A,刘涛,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
9,202103.OF,南方多利增强债券A,李璇,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
10,202108.OF,南方润元纯债债券A/B,金凌志,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
11,217003.OF,招商安泰债券A,刘万锋,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
12,217022.OF,招商产业债券A,马龙,混合债券型基金(一级),轮动基金,轮动基金,稳定中,稳定信用债,0
13,261001.OF,景顺长城稳定收益债券A,"李训练,何江波",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
14,270043.OF,广发理财年年红债券,吴迪,短期纯债券型基金,轮动基金,稳定短,轮动基金,稳定信用债,0
15,270048.OF,广发纯债债券A,宋倩倩,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
16,400009.OF,东方稳健回报债券A,刘长俊,混合债券型基金(一级),,,轮动基金,稳定信用债,0
17,485105.OF,工银增强收益债券A,"杜海涛,张略钊",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
18,485107.OF,工银添利债券A,谷衡,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
19,519137.OF,海富通瑞福债券A,"方昆明,张靖爽",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
20,519138.OF,海富通瑞祥一年定开债券,张靖爽,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,1
21,519206.OF,万家年年恒荣A,"谷丹青,徐青",混合债券型基金(一级),,,轮动基金,稳定信用债,0
22,519225.OF,海富通集利债券,方昆明,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
