,thscode,久期标签20230930,久期标签20230630,久期标签20230331,久期标签20221231,久期标签20220930,久期标签20220630,Duration
0,000244.OF,长,短,短,短,中,中,轮动基金
1,005831.OF,长,长,中,长,长,短,轮动基金
2,002754.OF,长,长,中,中,中,长,轮动基金
3,004859.OF,长,长,长,中,长,长,轮动基金
4,003327.OF,长,长,中,长,长,长,轮动基金
5,519137.OF,长,长,长,中,中,长,轮动基金
6,005631.OF,长,长,长,长,长,长,稳定长
7,003671.OF,长,长,长,长,长,长,稳定长
8,005791.OF,长,长,中,长,中,中,轮动基金
9,005073.OF,长,长,长,短,长,中,轮动基金
10,005820.OF,长,长,长,长,长,长,稳定长
11,004655.OF,长,长,中,中,中,中,轮动基金
12,003329.OF,长,短,短,短,长,长,轮动基金
13,005442.OF,长,长,长,中,长,长,轮动基金
14,005710.OF,长,长,长,长,长,长,稳定长
15,004882.OF,长,长,长,长,长,长,稳定长
16,005321.OF,长,长,长,长,长,长,稳定长
17,006043.OF,长,长,长,长,长,长,稳定长
18,005871.OF,长,长,短,长,中,长,轮动基金
19,519138.OF,长,长,长,中,长,长,轮动基金
20,002438.OF,长,长,长,长,中,中,轮动基金
21,003313.OF,长,长,中,长,长,长,轮动基金
22,002206.OF,长,长,中,中,长,长,轮动基金
23,202108.OF,长,长,长,长,长,长,稳定长
24,002625.OF,长,长,长,长,长,长,稳定长
25,004899.OF,长,长,短,短,短,中,轮动基金
26,004728.OF,长,长,中,中,中,长,轮动基金
27,005898.OF,长,长,中,长,中,长,轮动基金
28,002638.OF,长,长,长,长,长,长,稳定长
29,003188.OF,长,长,长,长,长,长,稳定长
30,003651.OF,长,长,长,中,长,长,轮动基金
31,005988.OF,长,长,中,长,长,长,轮动基金
32,003528.OF,长,长,长,长,长,长,稳定长
33,003770.OF,长,长,长,长,长,长,稳定长
34,001299.OF,长,长,长,长,长,长,稳定长
35,003949.OF,长,长,长,长,长,长,稳定长
36,004334.OF,长,长,长,长,中,中,轮动基金
37,519225.OF,长,长,长,长,长,中,轮动基金
38,005719.OF,长,中,中,中,长,长,轮动基金
39,006172.OF,长,长,中,中,长,长,轮动基金
40,005072.OF,长,长,长,长,长,长,稳定长
41,004459.OF,长,长,长,长,长,长,稳定长
42,004821.OF,长,长,长,长,长,中,轮动基金
43,519782.OF,长,长,中,中,长,长,轮动基金
44,002188.OF,长,长,长,长,中,长,轮动基金
45,004503.OF,长,长,中,中,中,中,轮动基金
46,000546.OF,长,长,长,长,长,中,轮动基金
47,003929.OF,长,长,长,长,长,长,稳定长
48,001960.OF,长,长,长,中,中,中,轮动基金
49,005864.OF,长,中,中,长,长,长,轮动基金
50,000815.OF,长,长,长,长,长,长,稳定长
51,001911.OF,长,长,长,长,长,长,稳定长
52,002970.OF,长,中,长,中,中,短,轮动基金
53,003193.OF,长,短,短,中,短,短,轮动基金
54,110035.OF,长,长,长,中,长,中,轮动基金
55,006393.OF,长,短,长,中,中,长,轮动基金
56,005606.OF,长,长,长,长,长,长,稳定长
57,005393.OF,长,中,中,中,长,中,轮动基金
58,004230.OF,长,长,长,长,长,中,轮动基金
59,000402.OF,长,长,长,长,长,长,稳定长
60,000252.OF,长,长,短,中,长,长,轮动基金
61,002716.OF,长,长,短,长,长,长,轮动基金
62,004722.OF,长,长,长,长,中,长,轮动基金
63,002140.OF,长,长,中,中,长,长,轮动基金
64,002991.OF,长,长,长,长,长,长,稳定长
65,000606.OF,长,中,中,中,中,长,轮动基金
66,004140.OF,长,长,中,长,长,长,轮动基金
67,002268.OF,长,长,长,长,长,长,稳定长
68,005388.OF,长,短,中,中,长,中,轮动基金
69,004689.OF,长,长,短,短,长,中,轮动基金
70,003285.OF,长,长,长,长,长,长,稳定长
71,003673.OF,长,长,长,长,长,短,轮动基金
72,004438.OF,长,长,长,长,长,长,稳定长
73,005854.OF,长,短,长,中,长,长,轮动基金
74,270048.OF,长,长,长,中,长,长,轮动基金
75,000187.OF,长,长,长,长,长,长,稳定长
76,519324.OF,长,中,长,中,中,长,轮动基金
77,002568.OF,长,长,长,长,长,长,稳定长
78,003192.OF,长,中,长,长,长,长,轮动基金
79,003209.OF,长,长,中,中,短,中,轮动基金
80,003859.OF,长,长,长,中,长,长,轮动基金
81,001246.OF,长,中,中,中,中,长,轮动基金
82,000205.OF,长,中,中,长,长,长,轮动基金
83,005309.OF,长,长,长,长,长,长,稳定长
84,000345.OF,长,中,中,长,中,中,轮动基金
85,002175.OF,长,长,长,长,中,长,轮动基金
86,005364.OF,长,长,长,中,中,长,轮动基金
87,002929.OF,长,长,长,长,长,长,稳定长
88,003265.OF,长,长,长,短,长,长,轮动基金
89,519322.OF,长,中,长,长,长,长,轮动基金
90,004499.OF,长,长,短,短,中,长,轮动基金
91,005666.OF,长,长,长,长,长,长,稳定长
92,002549.OF,长,长,中,短,短,短,轮动基金
93,000254.OF,长,长,短,短,短,中,轮动基金
94,004366.OF,长,中,长,长,长,长,轮动基金
95,005670.OF,长,长,长,长,长,长,稳定长
96,004479.OF,长,中,长,长,长,中,轮动基金
97,004127.OF,长,长,中,中,长,中,轮动基金
98,002198.OF,长,长,长,长,长,长,稳定长
99,519776.OF,长,长,中,中,短,中,轮动基金
100,002930.OF,长,中,中,中,长,长,轮动基金
101,002600.OF,长,长,长,短,中,长,轮动基金
102,005712.OF,长,长,长,长,长,中,轮动基金
103,675041.OF,长,短,中,中,中,长,轮动基金
104,005124.OF,长,中,中,中,长,长,轮动基金
105,005462.OF,长,长,中,长,长,长,轮动基金
106,006171.OF,长,中,中,长,中,长,轮动基金
