,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
0,010983.OF,大,大,大,大,大,大,稳定大
1,010627.OF,大,大,大,大,大,大,稳定大
2,009666.OF,大,大,大,大,大,大,稳定大
3,008014.OF,大,大,中,小,大,大,轮动基金
4,009254.OF,大,大,大,大,大,大,稳定大
5,009632.OF,大,大,大,大,大,大,稳定大
6,005718.OF,大,大,大,大,大,大,稳定大
7,008316.OF,大,大,大,大,大,大,稳定大
8,010485.OF,大,大,大,大,大,大,稳定大
9,010639.OF,大,大,大,大,大,大,稳定大
10,015653.OF,大,中,大,小,小,小,轮动基金
11,007496.OF,大,大,大,中,中,大,轮动基金
12,007104.OF,大,大,小,大,小,大,轮动基金
13,008102.OF,大,大,大,大,大,大,稳定大
14,009749.OF,大,大,大,大,大,大,稳定大
15,009583.OF,大,大,大,大,大,大,稳定大
16,008675.OF,大,大,大,大,大,大,稳定大
17,007535.OF,大,大,大,大,大,大,稳定大
18,003528.OF,大,大,大,小,小,小,轮动基金
19,007589.OF,大,大,小,中,中,大,轮动基金
20,270043.OF,大,大,大,小,小,小,轮动基金
21,006846.OF,大,大,大,大,大,大,稳定大
22,017659.OF,大,小,小,小,小,小,轮动基金
23,013062.OF,大,小,小,中,中,小,轮动基金
24,009685.OF,大,大,大,大,中,中,轮动基金
25,007682.OF,大,大,大,大,大,大,稳定大
26,007619.OF,大,大,大,大,大,大,稳定大
27,007573.OF,大,大,小,大,大,大,轮动基金
28,008722.OF,大,大,大,中,大,大,轮动基金
29,012948.OF,大,大,大,大,大,大,稳定大
30,008644.OF,大,大,大,中,大,大,轮动基金
31,010621.OF,大,大,大,大,大,大,稳定大
32,004859.OF,大,大,大,大,大,大,稳定大
33,014973.OF,大,中,中,大,中,小,轮动基金
34,008352.OF,大,大,小,小,中,中,轮动基金
35,008231.OF,大,大,大,大,小,中,轮动基金
36,009866.OF,大,大,大,大,大,大,稳定大
37,014231.OF,大,大,中,中,大,中,轮动基金
38,009933.OF,大,大,大,大,大,大,稳定大
39,007870.OF,大,大,大,小,小,小,轮动基金
40,008429.OF,大,大,大,大,大,大,稳定大
41,015913.OF,大,小,小,小,小,小,轮动基金
42,007723.OF,大,大,大,大,大,大,稳定大
43,009732.OF,大,大,大,大,大,大,稳定大
44,015469.OF,大,大,中,小,小,小,轮动基金
45,007948.OF,大,大,小,小,中,大,轮动基金
46,007761.OF,大,大,大,小,小,大,轮动基金
47,015473.OF,大,大,大,大,大,小,轮动基金
48,009235.OF,大,大,大,大,大,大,稳定大
49,005024.OF,大,大,大,中,大,大,轮动基金
50,005124.OF,大,小,大,大,大,大,轮动基金
51,006150.OF,大,大,大,大,大,大,稳定大
52,016009.OF,大,小,小,小,小,小,轮动基金
53,013931.OF,大,中,中,中,中,小,轮动基金
54,013654.OF,大,大,大,大,大,大,稳定大
55,161117.SZ,大,大,大,大,大,大,稳定大
56,008229.OF,大,大,大,中,中,大,轮动基金
57,013265.OF,大,大,中,中,大,中,轮动基金
58,007600.OF,大,大,大,大,大,大,稳定大
59,010580.OF,大,大,大,大,大,大,稳定大
60,007451.OF,大,中,大,中,中,中,轮动基金
61,008027.OF,大,大,大,大,大,大,稳定大
62,008471.OF,大,大,大,大,大,大,稳定大
63,010471.OF,大,大,大,大,大,大,稳定大
64,009809.OF,大,大,大,大,大,大,稳定大
65,007836.OF,大,大,大,大,大,中,轮动基金
66,008575.OF,大,大,大,大,大,大,稳定大
67,013087.OF,大,大,大,中,小,大,轮动基金
68,001246.OF,大,大,大,大,大,大,稳定大
69,005369.OF,大,大,大,大,大,大,稳定大
70,015811.OF,大,大,大,大,小,小,轮动基金
71,008478.OF,大,大,大,大,大,大,稳定大
72,160128.SZ,大,大,大,小,小,大,轮动基金
73,006120.OF,大,大,大,大,大,大,稳定大
74,000111.OF,大,大,大,大,大,大,稳定大
75,000053.OF,大,小,大,大,大,小,轮动基金
76,013487.OF,大,大,大,大,大,小,轮动基金
77,007997.OF,大,大,大,大,大,大,稳定大
78,013419.OF,大,小,中,大,大,大,轮动基金
79,014004.OF,大,中,小,大,大,小,轮动基金
80,004503.OF,大,大,大,大,大,大,稳定大
81,009292.OF,大,大,大,大,大,大,稳定大
82,002750.OF,大,大,大,大,大,中,轮动基金
83,004797.OF,大,大,大,大,大,中,轮动基金
84,004736.OF,大,大,大,大,中,大,轮动基金
85,005921.OF,大,大,大,大,大,大,稳定大
86,012273.OF,大,大,大,大,中,中,轮动基金
87,016184.OF,大,小,小,小,小,小,轮动基金
88,009587.OF,大,大,大,大,大,大,稳定大
89,006984.OF,大,大,大,大,大,大,稳定大
90,014464.OF,大,大,大,大,大,小,轮动基金
91,005432.OF,大,大,大,中,大,大,轮动基金
92,007145.OF,大,大,大,大,大,大,稳定大
93,008863.OF,大,大,大,大,大,大,稳定大
94,014452.OF,大,大,中,小,小,小,轮动基金
95,007525.OF,大,大,大,大,大,大,稳定大
96,015209.OF,大,大,中,中,小,小,轮动基金
97,005841.OF,大,大,大,大,大,大,稳定大
98,010482.OF,大,大,大,大,大,大,稳定大
99,009105.OF,大,大,大,大,大,大,稳定大
100,005462.OF,大,大,中,中,大,小,轮动基金
101,000265.OF,大,大,大,大,大,大,稳定大
102,010462.OF,大,大,大,大,大,大,稳定大
103,005525.OF,大,大,大,中,大,大,轮动基金
104,160515.SZ,大,大,大,大,中,大,轮动基金
105,002600.OF,大,大,大,中,大,小,轮动基金
106,008516.OF,大,大,大,中,大,中,轮动基金
107,004821.OF,大,大,大,大,大,大,稳定大
108,009212.OF,大,大,大,大,大,大,稳定大
