,thscode,总排名,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
0,007167.OF,0,华安安和债券A,康钊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
1,003265.OF,1,招商招坤纯债A,郭敏,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
2,002929.OF,2,博时聚盈纯债债券,于渤洋,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
3,000516.OF,3,富国祥利一年期定期开放债券型A,黄纪亮,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
4,007958.OF,4,华泰柏瑞益通三个月定开债,罗远航,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
5,007105.OF,5,国泰丰鑫纯债债券,刘嵩扬,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
6,003859.OF,6,招商招旭纯债A,郭敏,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
7,005853.OF,7,财通聚利债券,罗晓倩,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
8,008207.OF,8,国泰合融纯债债券A,"刘嵩扬,魏伟",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
9,007997.OF,9,易方达年年恒秋纯债一年定期开放债券A,李一硕,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
10,007870.OF,10,鹏华尊信3个月定开发起式债券,杜培俊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
11,003102.OF,11,长盛盛裕纯债A,王贵君,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
12,006929.OF,12,博时富融纯债债券,王帅,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
13,519782.OF,13,交银裕隆纯债债券A,黄莹洁,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
14,007828.OF,14,创金合信信用红利债券A,"张贺章,郑振源,谢创",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
15,008383.OF,15,招商安心收益债券A,马龙,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
16,004322.OF,16,创金尊隆纯债A,郑振源,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
17,003209.OF,17,鹏华丰达债券,杜培俊,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
18,006045.OF,18,长城久瑞三个月定期开放债券发起式,"张棪,吴冰燕",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
19,005712.OF,19,兴全祥泰定期开放债券,"石广翔,王健,翟秀华",中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
20,006850.OF,20,永赢颐利债券,谢越,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
21,530021.OF,21,建信纯债A,"黎颖芳,彭紫云",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
22,009252.OF,22,蜂巢添元纯债A,金之洁,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
23,006626.OF,23,山证超短债基金A,"缪佳,刘凌云",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
24,008774.OF,24,招商鑫福中短债A,李家辉,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
25,008746.OF,25,财通多利债券A,"闫梦璇,罗晓倩",中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
26,005719.OF,26,招商招诚半年定开债发起式,李家辉,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
27,000037.OF,27,广发景宁纯债A,宋倩倩,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
28,001993.OF,28,博时裕泰纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
29,006985.OF,29,兴全恒裕债券A,王帅,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
30,006405.OF,30,华富恒盛纯债债券A,倪莉莎,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
31,005754.OF,31,平安短债A,欧阳亮,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
32,010048.OF,32,平安短债I,欧阳亮,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,,0.0
33,007525.OF,33,易方达年年恒夏纯债A,李一硕,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
34,007175.OF,34,国联聚通定期开放债券,"王玥,石霄蒙",中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0.0
35,519746.OF,35,交银丰享收益债券A,黄莹洁,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,,0.0
36,006066.OF,36,中加颐睿纯债债券A,于跃,中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
37,006151.OF,37,南方交元债券,"陈霜阳,李璇",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
38,001819.OF,38,兴全稳益定开债券,"翟秀华,王健,石广翔",中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,1.0
39,006629.OF,39,招商鑫悦中短债A,郭敏,短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
40,007529.OF,40,嘉实汇鑫中短债债券A,"赵国英,王立芹",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
41,006965.OF,41,财通安瑞短债债券A,"罗晓倩,闫梦璇",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
42,007744.OF,42,长盛安逸纯债债券A,王贵君,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
43,003155.OF,43,中加丰尚纯债债券A,王霈,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
44,008646.OF,44,天弘增利短债A,"王昌俊,王顺利",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
45,008204.OF,45,交银稳利中短债债券A,黄莹洁,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
46,007017.OF,46,平安如意中短债A,"张文平,张璐",短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
47,003547.OF,47,鹏华丰禄债券,刘涛,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
48,004920.OF,48,富国泓利纯债债券型发起式A,武磊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
49,009289.OF,49,富国长江经济带纯债债券,"吕春杰,张洋",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
50,004919.OF,50,兴全兴泰债券,"王帅,田志祥,季伟杰",中长期纯债券型基金,稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
51,005307.OF,51,财通资管鸿达纯债债券A,"王珊,陈希希",中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
52,519322.OF,52,浦银安盛盛元定开债券A,章潇枫,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,1.0
53,650001.OF,53,英大纯债债券A,"张大铮,张婧珣,易祺坤",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
54,100072.OF,54,富国强回报定期开放债券A,黄纪亮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
55,006597.OF,55,国泰利享中短债债券A,"陶然,丁士恒",短期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
56,000914.OF,56,中加纯债债券,闫沛贤,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
57,007537.OF,57,景顺长城景泰盈利纯债债券,彭成军,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
