,thscode,INDtype20230630,INDtype20221231,INDtype20220630,INDtype20211231,INDtype20210630,INDtype20201231,Stable_Count
0,004851.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
1,519929.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
2,240022.OF,周期行业基金,周期行业基金,周期行业基金,周期行业基金,周期行业基金,周期行业基金,稳定周期行业基金
3,003095.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
4,001838.OF,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,稳定制造行业基金
5,004075.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
6,470006.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
7,519674.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
8,320007.OF,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,TMT行业基金,稳定TMT行业基金
9,001717.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
10,000831.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
11,001195.OF,消费行业基金,消费行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
12,001230.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
13,000727.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
14,004683.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
15,000251.OF,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,金融地产行业基金,稳定金融地产行业基金
16,501038.SH,消费行业基金,消费行业基金,消费行业基金,消费行业基金,行业均衡基金,消费行业基金,行业轮动基金
17,110023.OF,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,医药行业基金,稳定医药行业基金
18,501046.SH,TMT行业基金,行业均衡基金,消费行业基金,消费行业基金,周期行业基金,行业均衡基金,行业轮动基金
19,720001.OF,TMT行业基金,行业均衡基金,消费行业基金,消费行业基金,周期行业基金,行业均衡基金,行业轮动基金
20,000409.OF,制造行业基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,行业均衡基金,行业轮动基金
21,001986.OF,TMT行业基金,行业均衡基金,行业均衡基金,TMT行业基金,TMT行业基金,TMT行业基金,行业轮动基金
