,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund
1,519025.OF,海富通领先成长混合,李志,陈绍胜(20090430-20120409) 陈静(20120409-20140411) 谢志刚(20140411-20150611) 黄峰(20141217-20170630) 张金涛(20151026-20170502) 李志(20170515-至今),否,混合型基金,偏股混合型基金,81158028.93,14.252054794521,4.6,93.995094097924
2,519026.OF,海富通中小盘混合,范庭芳,程岽(20100414-20131129) 宋争林(20131129-20141217) 黄峰(20141217-20170630) 施敏佳(20170630-20181105) 周雪军(20181105-20191125) 范庭芳(20190827-至今),否,混合型基金,偏股混合型基金,675753650.39,13.295890410959,74.61,92.67501224648
3,519029.OF,华夏稳增混合,彭海伟,张龙(20060809-20100204) 张益驰(20060905-20080123) 严鸿宴(20100204-20111107) 王海雄(20111014-20150209) 彭海伟(20150209-至今) 郑泽鸿(20190114-20200612),否,混合型基金,灵活配置型基金,1115148553.53,16.978082191781,3.73,94.54687057595
5,519035.OF,富国天博创新混合,毕天宇,毕天宇(20070427-至今),否,混合型基金,偏股混合型基金,2104756558.14,16.26301369863,2.78,93.468347465175
12,519069.OF,汇添富价值精选混合A,劳杰男,陈晓翔(20090123-20160113) 劳杰男(20151118-至今),否,混合型基金,偏股混合型基金,10516392500.09,14.517808219178,1.58,89.085578623825
13,519087.OF,新华优选分红混合,赵强,蒋畅(20050916-20060712) 曹名长(20060712-20150609) 向朝勇(20070619-20090923) 崔建波(20150609-20170526) 路文韬(20150924-20170523) 赵强(20170517-至今),否,混合型基金,灵活配置型基金,927261726.84,17.87397260274,37.17,88.79443850201
14,519089.OF,新华优选成长混合,栾超,王卫东(20080725-20140102) 曹名长(20080725-20090827) 崔建波(20120110-20130201) 何潇(20120730-20140102) 李昱(20130201-20150915) 付伟(20150825-20180827) 栾超(20180105-至今),否,混合型基金,偏股混合型基金,631189509.28,15.016438356164,35.33,88.286085770061
16,519093.OF,新华钻石品质企业混合,蔡春红,曹名长(20100203-20150609) 李昱(20120203-20120322) 贲兴振(20150608-20160628) 付伟(20160617-20190228) 蔡春红(20170106-至今),否,混合型基金,偏股混合型基金,126909554.66,13.487671232877,5.71,94.521605703566
28,519133.OF,海富通改革驱动混合,周雪军,周雪军(20160428-至今),否,混合型基金,灵活配置型基金,6915882609.41,7.2520547945205,82.19,93.887802579254
29,519139.OF,海富通沪港深混合,高峥,张炳炜(20161111-20180801) 王智慧(20161130-20210706) 高峥(20170828-至今) 周雪军(20181214-20220817),否,混合型基金,灵活配置型基金,64723329.29,6.7123287671233,97.05,92.3461228163
