,thscode,cr20230630,cr20230331,cr20221231,cr20220930,cr20220630,cr20220331,集中度标签
0,001382.OF,高,高,高,高,高,高,稳定高
1,001986.OF,高,高,高,高,高,高,稳定高
2,000778.OF,高,高,高,高,高,高,稳定高
3,519674.OF,高,高,高,高,高,高,稳定高
4,001837.OF,高,高,高,高,高,高,稳定高
5,290011.OF,高,高,高,高,高,高,稳定高
6,001473.OF,高,高,高,高,高,高,稳定高
7,002939.OF,高,高,高,高,高,高,稳定高
8,168101.SZ,高,高,高,高,高,高,稳定高
9,161810.SZ,高,高,高,高,高,高,稳定高
10,003715.OF,高,高,高,高,高,高,稳定高
11,530006.OF,高,高,高,高,高,高,稳定高
12,001542.OF,高,高,中,低,中,高,轮动基金
13,519727.OF,高,高,高,高,高,高,稳定高
14,001838.OF,高,高,高,高,高,高,稳定高
15,519710.OF,高,高,高,高,高,高,稳定高
16,000577.OF,高,高,高,高,高,高,稳定高
17,688888.OF,高,高,高,高,高,高,稳定高
18,001645.OF,高,高,高,高,高,高,稳定高
19,000628.OF,高,高,高,高,高,高,稳定高
20,290012.OF,高,高,中,高,高,高,轮动基金
21,320007.OF,高,高,高,高,高,高,稳定高
22,000742.OF,高,高,中,中,中,高,轮动基金
23,001955.OF,高,高,高,高,高,高,稳定高
24,260108.OF,高,高,高,高,高,高,稳定高
25,260109.OF,高,高,高,高,高,高,稳定高
26,001178.OF,高,高,高,高,高,高,稳定高
27,110022.OF,高,高,高,高,高,高,稳定高
28,270006.OF,高,高,中,中,高,高,轮动基金
29,161606.OF,高,高,高,高,高,高,稳定高
30,162605.SZ,高,高,高,高,高,高,稳定高
31,001044.OF,高,高,高,高,高,高,稳定高
32,002624.OF,高,高,高,高,高,高,稳定高
33,005241.OF,高,高,高,高,高,高,稳定高
34,519736.OF,高,高,高,高,高,高,稳定高
35,000309.OF,高,高,高,高,高,高,稳定高
36,270025.OF,高,高,高,高,高,高,稳定高
37,070019.OF,高,高,高,高,高,高,稳定高
38,270050.OF,高,高,高,高,高,高,稳定高
39,003298.OF,高,高,高,中,中,高,轮动基金
40,100020.OF,高,高,高,高,高,高,稳定高
41,519712.OF,高,高,高,高,高,中,轮动基金
42,530003.OF,高,高,高,高,高,高,稳定高
43,001437.OF,高,高,高,高,高,高,稳定高
44,001898.OF,高,高,中,中,中,中,轮动基金
45,501038.SH,高,高,高,高,高,高,稳定高
46,000522.OF,高,高,高,高,高,高,稳定高
47,001607.OF,高,高,高,高,高,高,稳定高
48,519714.OF,高,高,高,高,高,高,稳定高
49,519035.OF,高,高,中,中,中,低,轮动基金
50,570008.OF,高,高,高,高,高,高,稳定高
