,thscode,HCategory20230630,HCategory20230331,HCategory20221231,HCategory20220930,HCategory20220630,HCategory20220331,共振因子标签
0,001102.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
1,519018.OF,共振基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
2,370027.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
3,001074.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
4,001490.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
5,000172.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
6,660006.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
7,519668.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
8,000117.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
9,163807.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
10,000877.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
11,001126.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
12,001974.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
13,004881.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
14,001222.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
15,519965.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
16,519688.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
17,001366.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
18,260104.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
19,001371.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
20,202005.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
21,001000.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
22,000955.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
23,004394.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
24,070032.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
25,003940.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
26,005268.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
27,000939.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
28,202011.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
29,202007.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
30,001143.OF,共振基金,共振基金,共振基金,中立基金,共振基金,共振基金,轮动基金
31,070006.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
32,001476.OF,共振基金,共振基金,中立基金,中立基金,中立基金,中立基金,轮动基金
33,000577.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
34,000971.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
35,519017.OF,共振基金,中立基金,共振基金,中立基金,共振基金,中立基金,轮动基金
36,005258.OF,共振基金,中立基金,共振基金,共振基金,共振基金,共振基金,轮动基金
37,090009.OF,共振基金,中立基金,共振基金,中立基金,共振基金,共振基金,轮动基金
38,530006.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
39,519995.OF,共振基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
40,090015.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
41,000527.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
42,002545.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
43,160133.SZ,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
44,110015.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
45,001053.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
46,260108.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
47,519069.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
48,162605.SZ,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
49,200008.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
50,000083.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
51,000609.OF,共振基金,共振基金,共振基金,中立基金,共振基金,共振基金,轮动基金
52,001245.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
53,180013.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
54,540010.OF,共振基金,共振基金,共振基金,中立基金,共振基金,共振基金,轮动基金
55,000996.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
56,160624.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
57,519736.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
58,481004.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
59,180012.OF,共振基金,共振基金,共振基金,共振基金,中立基金,中立基金,轮动基金
60,550003.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
61,001473.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
62,660012.OF,共振基金,共振基金,共振基金,共振基金,中立基金,中立基金,轮动基金
63,110022.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
64,001054.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
65,000549.OF,共振基金,中立基金,共振基金,中立基金,中立基金,中立基金,轮动基金
66,260109.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
67,260103.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
68,398061.OF,共振基金,共振基金,独立基金,独立基金,中立基金,独立基金,轮动基金
69,519621.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
70,501051.SH,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
71,481001.OF,共振基金,共振基金,共振基金,共振基金,中立基金,共振基金,轮动基金
72,450004.OF,共振基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
73,001028.OF,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
74,000520.OF,共振基金,共振基金,共振基金,共振基金,中立基金,共振基金,轮动基金
75,519089.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
76,530003.OF,共振基金,中立基金,共振基金,共振基金,中立基金,中立基金,轮动基金
77,001396.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
78,121003.OF,共振基金,共振基金,共振基金,中立基金,中立基金,中立基金,轮动基金
79,001910.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
80,005241.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
81,002692.OF,共振基金,中立基金,中立基金,中立基金,独立基金,独立基金,轮动基金
82,519672.OF,共振基金,共振基金,共振基金,中立基金,共振基金,共振基金,轮动基金
83,001184.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
84,202212.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
85,481006.OF,共振基金,中立基金,共振基金,独立基金,中立基金,中立基金,轮动基金
86,001125.OF,共振基金,共振基金,共振基金,中立基金,共振基金,共振基金,轮动基金
87,161005.SZ,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
88,377010.OF,共振基金,共振基金,共振基金,独立基金,独立基金,独立基金,轮动基金
89,270006.OF,共振基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
90,002803.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
91,100022.OF,共振基金,共振基金,共振基金,中立基金,共振基金,共振基金,轮动基金
92,100020.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
93,180018.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
94,000021.OF,共振基金,共振基金,中立基金,共振基金,共振基金,中立基金,轮动基金
95,420003.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
96,660004.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
97,020005.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
98,519915.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
99,000524.OF,共振基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
100,004434.OF,共振基金,共振基金,中立基金,中立基金,共振基金,共振基金,轮动基金
101,001705.OF,共振基金,共振基金,共振基金,中立基金,共振基金,共振基金,轮动基金
102,630016.OF,共振基金,共振基金,中立基金,中立基金,共振基金,共振基金,轮动基金
103,001163.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
104,000778.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
105,001986.OF,共振基金,中立基金,共振基金,共振基金,共振基金,共振基金,轮动基金
106,001106.OF,共振基金,共振基金,中立基金,中立基金,共振基金,共振基金,轮动基金
107,233007.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
108,288002.OF,共振基金,中立基金,共振基金,中立基金,共振基金,中立基金,轮动基金
109,001280.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
110,519001.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
111,002229.OF,共振基金,中立基金,中立基金,独立基金,独立基金,中立基金,轮动基金
112,519727.OF,共振基金,共振基金,共振基金,共振基金,中立基金,共振基金,轮动基金
113,270041.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
114,001158.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
115,519756.OF,共振基金,共振基金,共振基金,中立基金,中立基金,中立基金,轮动基金
116,040007.OF,共振基金,中立基金,中立基金,中立基金,中立基金,独立基金,轮动基金
117,001837.OF,共振基金,共振基金,共振基金,共振基金,中立基金,共振基金,轮动基金
118,004505.OF,共振基金,共振基金,中立基金,共振基金,共振基金,共振基金,轮动基金
119,000457.OF,共振基金,中立基金,共振基金,独立基金,独立基金,独立基金,轮动基金
120,000589.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
121,110029.OF,共振基金,中立基金,中立基金,共振基金,共振基金,中立基金,轮动基金
122,001382.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
123,340007.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
124,040004.OF,共振基金,共振基金,共振基金,共振基金,中立基金,共振基金,轮动基金
125,487021.OF,共振基金,共振基金,共振基金,共振基金,中立基金,中立基金,轮动基金
126,001166.OF,共振基金,中立基金,共振基金,中立基金,共振基金,共振基金,轮动基金
127,377240.OF,共振基金,中立基金,共振基金,中立基金,中立基金,中立基金,轮动基金
128,001496.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
129,040025.OF,共振基金,中立基金,中立基金,中立基金,共振基金,共振基金,轮动基金
130,519020.OF,共振基金,中立基金,中立基金,独立基金,独立基金,独立基金,轮动基金
131,000409.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
132,160314.SZ,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
133,519712.OF,共振基金,共振基金,共振基金,中立基金,共振基金,共振基金,轮动基金
134,070011.OF,共振基金,共振基金,中立基金,共振基金,共振基金,共振基金,轮动基金
135,320022.OF,共振基金,共振基金,中立基金,共振基金,中立基金,中立基金,轮动基金
136,519651.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
137,375010.OF,共振基金,中立基金,共振基金,中立基金,中立基金,中立基金,轮动基金
138,519093.OF,共振基金,共振基金,中立基金,共振基金,中立基金,独立基金,轮动基金
139,040011.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
140,519002.OF,共振基金,共振基金,中立基金,中立基金,中立基金,中立基金,轮动基金
141,180010.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
142,481013.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
143,163805.OF,共振基金,共振基金,中立基金,共振基金,共振基金,共振基金,轮动基金
144,001223.OF,共振基金,独立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
145,160518.SZ,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
146,530001.OF,共振基金,共振基金,共振基金,共振基金,中立基金,中立基金,轮动基金
147,090004.OF,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
148,000828.OF,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
149,690007.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
150,100039.OF,共振基金,中立基金,中立基金,中立基金,共振基金,共振基金,轮动基金
151,470008.OF,共振基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
152,000167.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
153,163503.SZ,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
154,160918.SZ,共振基金,中立基金,中立基金,独立基金,独立基金,中立基金,轮动基金
155,001313.OF,共振基金,独立基金,中立基金,中立基金,共振基金,共振基金,轮动基金
156,378010.OF,共振基金,独立基金,中立基金,中立基金,独立基金,独立基金,轮动基金
157,001616.OF,共振基金,共振基金,共振基金,中立基金,共振基金,中立基金,轮动基金
158,240008.OF,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
159,001178.OF,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
160,202023.OF,共振基金,共振基金,中立基金,共振基金,共振基金,共振基金,轮动基金
161,040008.OF,共振基金,共振基金,中立基金,中立基金,中立基金,中立基金,轮动基金
162,004183.OF,共振基金,中立基金,中立基金,共振基金,共振基金,共振基金,轮动基金
163,001808.OF,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
164,002707.OF,共振基金,独立基金,独立基金,独立基金,独立基金,独立基金,轮动基金
165,000940.OF,共振基金,中立基金,独立基金,中立基金,独立基金,共振基金,轮动基金
166,519710.OF,共振基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
167,000173.OF,共振基金,中立基金,中立基金,中立基金,中立基金,中立基金,轮动基金
168,001927.OF,共振基金,共振基金,共振基金,共振基金,共振基金,共振基金,稳定共振基金
169,003131.OF,共振基金,共振基金,中立基金,共振基金,中立基金,共振基金,轮动基金
170,001956.OF,共振基金,独立基金,独立基金,独立基金,中立基金,中立基金,轮动基金
171,257070.OF,共振基金,独立基金,独立基金,独立基金,中立基金,中立基金,轮动基金
172,400025.OF,中立基金,共振基金,共振基金,共振基金,共振基金,共振基金,轮动基金
173,004868.OF,中立基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
174,519664.OF,中立基金,共振基金,共振基金,共振基金,共振基金,共振基金,轮动基金
175,550002.OF,中立基金,中立基金,共振基金,中立基金,中立基金,中立基金,轮动基金
176,519025.OF,中立基金,中立基金,共振基金,共振基金,共振基金,共振基金,轮动基金
177,519714.OF,中立基金,共振基金,共振基金,共振基金,共振基金,中立基金,轮动基金
178,000977.OF,中立基金,中立基金,共振基金,中立基金,共振基金,中立基金,轮动基金
179,519008.OF,中立基金,中立基金,中立基金,中立基金,共振基金,中立基金,轮动基金
180,001297.OF,中立基金,中立基金,中立基金,共振基金,共振基金,共振基金,轮动基金
181,501038.SH,中立基金,共振基金,共振基金,共振基金,共振基金,共振基金,轮动基金
182,000294.OF,中立基金,共振基金,共振基金,共振基金,共振基金,共振基金,轮动基金
183,000925.OF,中立基金,中立基金,中立基金,独立基金,中立基金,共振基金,轮动基金
