,thscode,Xstyle20230630,Ystyle20230630,Xstyle20221231,Ystyle20221231,Xstyle20220630,Ystyle20220630,Xstyle20211231,Ystyle20211231,Xstyle20210630,Ystyle20210630,Xstyle20201231,Ystyle20201231,大小盘标签
0,519015.OF,成长型,中盘,成长型,中盘,成长型,中盘,成长-均衡型,中盘,均衡-价值型,中盘,均衡型,大盘,风格轮动基金
1,519011.OF,成长型,中盘,成长型,中盘,成长型,中盘,成长-均衡型,中盘,均衡-价值型,中盘,均衡型,大盘,风格轮动基金
2,001040.OF,成长型,小盘,成长型,小盘,成长型,小盘,成长型,小盘,成长-均衡型,小盘,成长型,中盘,风格轮动基金
3,519087.OF,成长型,小盘,成长型,小盘,成长型,小盘,成长型,小盘,成长-均衡型,中盘,成长-均衡型,中盘,风格轮动基金
4,001437.OF,成长型,中盘,均衡-价值型,大盘,成长型,大盘,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,风格轮动基金
5,001404.OF,成长型,中盘,成长型,小盘,成长型,小盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
6,001956.OF,成长型,中盘,成长型,中盘,成长型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
7,001542.OF,成长型,中盘,成长型,小盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
8,257070.OF,成长型,中盘,成长型,中盘,成长型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
9,000742.OF,成长型,中盘,成长型,小盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
10,519929.OF,成长型,小盘,成长型,小盘,成长型,小盘,成长型,中盘,成长-均衡型,中盘,成长型,中盘,风格轮动基金
11,110023.OF,成长型,小盘,成长-均衡型,小盘,成长-均衡型,中盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,风格轮动基金
12,160624.OF,成长型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
13,206009.OF,成长型,小盘,成长型,中盘,成长型,中盘,成长-均衡型,小盘,均衡-价值型,小盘,成长-均衡型,中盘,风格轮动基金
14,070001.OF,成长型,中盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
15,000409.OF,成长型,中盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,风格轮动基金
16,001898.OF,成长型,小盘,成长型,小盘,成长-均衡型,中盘,成长型,中盘,均衡型,大盘,成长-均衡型,大盘,风格轮动基金
17,040016.OF,成长型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
18,040020.OF,成长型,中盘,成长-均衡型,中盘,成长型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
19,001924.OF,成长型,中盘,均衡型,中盘,成长型,中盘,均衡型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
20,004666.OF,成长型,小盘,成长型,小盘,成长型,小盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
21,000083.OF,成长型,大盘,成长型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
22,200008.OF,成长型,大盘,成长型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,稳定大盘
23,570008.OF,成长型,大盘,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,稳定大盘
24,519672.OF,成长型,大盘,成长型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,稳定大盘
25,070099.OF,成长型,中盘,成长型,中盘,成长-均衡型,大盘,成长型,中盘,成长型,大盘,成长型,大盘,风格轮动基金
