,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund
0,161818.OF,银华消费主题混合A,薄官辉,杨靖(20110928-20120413) 王琦(20120327-20121203) 韩广哲(20121120-20131217) 马君(20131216-20150716) 周思聪(20140113-20181023) 薄官辉(20180615-至今),否,混合型基金,偏股混合型基金,269468176.15,12.013698630137,,92.67745491469
1,161910.OF,新机遇A,高源,吴涛(20120802-20150522) 姚霞天(20150522-20150818) 卞勇(20150818-20180815) 朱小明(20170408-20180815) 郭成东(20180815-20190919) 李文宾(20180815-20190919) 高源(20180818-至今),否,混合型基金,灵活配置型基金,27757262.61,11.167123287671,,86.411275255171
10,162209.OF,宏利市值优选混合,庄腾飞,李泽刚(20070803-20090613) 魏延军(20070803-20080805) 史博(20080805-20090925) 吴俊峰(20090825-20140911) 梁辉(20140911-20150403) 张勋(20150403-20170228) 李坤元(20150518-20191220) 王鹏(20171107-20190929) 庄腾飞(20190929-至今),否,混合型基金,偏股混合型基金,813699614.28,16.169863013699,,84.322694719122
13,162214.OF,宏利中小盘混合,"张岩,庄腾飞",陈少平(20110126-20140801) 陈桥宁(20140801-20141124) 邓艺颖(20140818-20151126) 陈炜(20141113-20150608) 李泉霖(20150420-20170105) 庄腾飞(20161223-至今) 张岩(20230227-至今),否,混合型基金,偏股混合型基金,42469550.61,12.684931506849,,92.260047062457
15,163411.OF,兴全精选混合,陈宇,陈宇(20170906-至今),否,混合型基金,偏股混合型基金,2824258011.46,6.0684931506849,,85.208740095454
18,163805.OF,中银策略混合A,王帅,陈志龙(20080403-20100610) 李志磊(20080403-20111019) 彭砚(20100611-20130530) 张琦(20130530-20150529) 邬炜(20150529-20190918) 王帅(20190918-至今),否,混合型基金,偏股混合型基金,338855494.15,15.501369863014,,89.534490039292
19,163807.OF,中银优选混合A,王伟,李志磊(20090403-20111018) 俞岱曦(20090421-20110926) 张琦(20110926-20150528) 王伟(20150528-至今),否,混合型基金,灵活配置型基金,2244580409.1,14.501369863014,,77.80100435444
23,163822.OF,中银主题策略混合A,黄珺,史彬(20120725-20180612) 甘霖(20120725-20140127) 陈军(20180612-20191106) 黄珺(20190313-至今),否,混合型基金,偏股混合型基金,2114075531.16,11.18904109589,,91.705314186848
26,166002.OF,中欧新蓝筹混合A,"周蔚文,冯炉丹",刘杰文(20080725-20090925) 沈洋(20090624-20110523) 周蔚文(20110523-至今) 林英睿(20150529-20160617) 金媛媛(20180827-20200922) 冯炉丹(20211014-至今),否,混合型基金,灵活配置型基金,8667943578.82,15.191780821918,,77.924136292116
27,166005.OF,中欧价值发现混合A,"蓝小康,曹名长,沈悦",王磊(20090724-20100902) 苟开红(20091009-20150529) 张燕(20150529-20161117) 曹名长(20151120-至今) 蓝小康(20170511-至今) 沈悦(20200512-至今),否,混合型基金,偏股混合型基金,2995846477.25,14.194520547945,,94.025731874225
