,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签
0,570001.OF,诺德价值优势混合,罗世锋,邹翔(20070419-20080522) 戴奇雷(20080522-20100401) 张学东(20080522-20090609) 胡志伟(20100401-20141118) 薛珠(20111107-20140529) 胡洋(20141118-20170405) 罗世锋(20141125-至今),否,混合型基金,偏股混合型基金,2994819465.57,16.208219178082,18.08,93.58459616318,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,稳定高
1,570008.OF,诺德周期策略混合,罗世锋,胡志伟(20120321-20140401) 陈国光(20120424-20150620) 罗世锋(20150620-至今),否,混合型基金,偏股混合型基金,1301453277.22,11.282191780822,49.91,93.385459748207,稳定行业均衡基金,风格轮动基金,稳定大盘,轮动基金,稳定高
2,590005.OF,中邮核心主题混合,陈梁,刘霄汉(20100519-20150313) 陈梁(20150313-至今) 国晓雯(20170109-20181012),否,混合型基金,偏股混合型基金,505577697.46,13.123287671233,13.89,93.823204178727,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
3,610004.OF,信澳中小盘混合,曾国富,曾国富(20091201-20140222) 黄敬东(20100113-20101230) 巩伟(20131226-20150701) 冯士祯(20150701-20190518) 曾国富(20190426-至今),否,混合型基金,偏股混合型基金,364614099.72,13.586301369863,0.57,92.275676082843,行业轮动基金,稳定成长型,风格轮动基金,稳定独立基金,轮动基金
4,610006.OF,信澳产业升级混合,曾国富,张俊生(20110613-20140125) 王战强(20131219-20150214) 曾国富(20150214-至今),否,混合型基金,偏股混合型基金,332156138.46,12.054794520548,0.97,93.032927195838,行业轮动基金,稳定成长型,风格轮动基金,轮动基金,轮动基金
5,630002.OF,华商盛世成长混合,"周海栋,孙蔚",庄涛(20080923-20110924) 梁永强(20080923-20120424) 孙建波(20091118-20130201) 刘宏(20130201-20170126) 高兵(20150408-20160819) 赵媛媛(20150706-20160819) 马国江(20161223-20190313) 何奇峰(20161223-20171228) 鲁宁(20161223-20190322) 周海栋(20171221-至今) 孙蔚(20230104-至今),否,混合型基金,偏股混合型基金,4671263424.73,14.775342465753,33.7,74.534761279947,行业轮动基金,风格轮动基金,稳定中盘,稳定独立基金,稳定低
6,630006.OF,华商产业升级混合,彭欣杨,胡宇权(20100618-20120706) 刘宏(20120424-20131210) 佘中强(20130731-20160118) 高兵(20160118-20170421) 彭欣杨(20160805-至今),否,混合型基金,偏股混合型基金,85818015.04,13.041095890411,,86.808367013938,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金
7,630010.OF,华商价值精选混合,彭欣杨,刘宏(20110531-20170126) 刘萌萌(20160412-20180713) 蔡建军(20161223-20171225) 陈恒(20170726-20200108) 彭欣杨(20171221-至今),否,混合型基金,偏股混合型基金,440302566.75,12.090410958904,0.02,89.526890267668,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
8,630016.OF,华商价值共享混合发起式,何奇峰,田明圣(20130318-20151030) 何奇峰(20150127-至今) 童立(20160412-20170421),否,混合型基金,灵活配置型基金,105908987.96,10.290410958904,,86.291907061294,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
9,660004.OF,农银策略价值混合,陈富权,栾杰(20090929-20110401) 程涛(20100415-20130305) 李洪雨(20130305-20141011) 徐莉(20141011-20150612) 陈富权(20150606-至今),否,混合型基金,偏股混合型基金,548502602.08,13.758904109589,1.31,85.953977390838,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
10,660006.OF,农银大盘蓝筹混合,宋永安,曹剑飞(20100901-20111117) 李洪雨(20101104-20141011) 赵谦(20141011-20160308) 宋永安(20151202-至今),否,混合型基金,偏股混合型基金,121104176.69,12.835616438356,0.61,83.429576337926,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
11,660010.OF,农银策略精选混合,张峰,张惟(20110906-20140210) 赵谦(20140128-20160308) 张峰(20151202-至今),否,混合型基金,偏股混合型基金,2660974657.99,11.821917808219,2.84,68.288331360607,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
12,660012.OF,农银消费主题混合A,徐文卉,付娟(20120424-20191108) 曹剑飞(20120424-20130624) 徐文卉(20170516-至今),否,混合型基金,偏股混合型基金,565018231.16,11.18904109589,0.76,75.107662233969,稳定消费行业基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
13,688888.OF,浙商聚潮产业成长混合A,贾腾,姜培正(20110517-20150605) 方维(20121231-20150720) 倪权生(20150511-20170719) 唐桦(20150722-20190226) 贾腾(20190221-至今),否,混合型基金,偏股混合型基金,776344955.01,12.128767123288,84.18,89.224663127852,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高
14,690004.OF,民生加银稳健成长混合,郑爱刚,陈东(20100629-20110729) 蔡锋亮(20110729-20160704) 宋磊(20160704-20180321) 蒯学章(20161124-20190820) 王亮(20190812-20200925) 郑爱刚(20191107-至今),否,混合型基金,偏股混合型基金,100622933.09,13.01095890411,19.86,87.92794591951,行业轮动基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
15,690005.OF,民生加银内需增长混合,柳世庆,陈东(20110128-20110729) 蔡锋亮(20110406-20160704) 宋磊(20160704-20180321) 柳世庆(20161124-至今),否,混合型基金,偏股混合型基金,233814934.16,12.427397260274,35.49,83.534394828837,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
16,690007.OF,民生加银景气行业混合A,王亮,蔡锋亮(20111122-20130403) 乐瑞祺(20111122-20140707) 吴剑飞(20120203-20181108) 王亮(20181101-至今),否,混合型基金,偏股混合型基金,1281619876.59,11.61095890411,10.31,88.460031955465,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金
17,700001.OF,平安行业先锋混合,刘杰,颜正华(20110920-20121019) 焦巍(20121019-20140922) 胡昆明(20140912-20160830) 傅浩(20160816-20190509) 刘杰(20180423-至今),否,混合型基金,偏股混合型基金,166376996.96,11.783561643836,3.52,94.625333896278,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低
18,700003.OF,平安策略先锋混合,神爱前,颜正华(20120529-20130529) 黄建军(20130529-20150804) 乔海英(20150804-20170511) 神爱前(20160719-至今),否,混合型基金,灵活配置型基金,3290734548.05,11.093150684932,56.41,79.064620653518,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
19,720001.OF,财通价值动量混合,金梓才,黄瑞庆(20111201-20120726) 吴松凯(20111201-20140610) 赵艰申(20140610-20150716) 金梓才(20141119-至今),否,混合型基金,灵活配置型基金,2367518768.43,11.586301369863,26.8529,79.659964596211,行业轮动基金,风格轮动基金,风格轮动基金,稳定独立基金,稳定高
20,750001.OF,安信灵活配置混合,张竞,陈振宇(20120620-20140115) 黄立华(20140115-20151201) 占冠良(20151201-20180115) 张竞(20171229-至今),否,混合型基金,灵活配置型基金,2164293693.82,11.032876712329,62.02,79.310439454746,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金
21,160133.SZ,南方天元新产业股票(LOF),蒋秋洁,蒋朋宸(20140703-20150616) 蒋秋洁(20150616-至今),否,股票型基金,普通股票型基金,1221780588.27,8.9972602739726,16.36,80.907099835306,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,稳定低
