,Unnamed: 0,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_fund_manager_his_fund,ths_isindexfund_fund,ths_invest_type_first_classi_fund,ths_invest_type_second_classi_fund,ths_fund_scale_fund,ths_found_years_fund,ths_org_investor_held_ratio_fund,ths_stock_mv_to_fanv_fund,行业标签,风格标签,大小盘标签,共振因子标签,集中度标签,3年滚动累计超额收益率均值,3年滚动超额夏普比例,3年滚动累计超额收益率均值排名,3年滚动超额夏普比例排名,总得分
0,137,540008.OF,汇丰晋信低碳先锋股票A,陆彬,邵骥咏(20100608-20120818) 刘辉(20120721-20131221) 曹庆(20131221-20160430) 方超(20150919-20190907) 陆彬(20190817-至今),否,股票型基金,普通股票型基金,6543688514.97,13.068493150685,5.34,94.59656409851,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定高,0.8791050096112787,0.04675500328246054,373.0,372.0,372.5
1,51,000991.OF,工银战略转型股票A,杜洋,宋炳珅(20150216-20171222) 杜洋(20150216-至今),否,股票型基金,普通股票型基金,3317978576.9,8.372602739726,2.67,93.731567379197,稳定行业均衡基金,稳定价值型,稳定中盘,轮动基金,轮动基金,0.7579073908917983,0.06170686900434339,371.0,373.0,372.0
2,18,700003.OF,平安策略先锋混合,神爱前,颜正华(20120529-20130529) 黄建军(20130529-20150804) 乔海英(20150804-20170511) 神爱前(20160719-至今),否,混合型基金,灵活配置型基金,3290734548.05,11.093150684932,56.41,79.064620653518,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.8067452951877275,0.04611556398405807,372.0,371.0,371.5
3,247,001569.OF,泰信国策驱动灵活配置混合,吴秉韬,车广路(20151027-20190830) 吴秉韬(20190725-至今),否,混合型基金,灵活配置型基金,145224877.53,7.6794520547945,9.69,89.270678849923,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.7088435398109117,0.0430047439604796,370.0,369.0,369.5
4,312,005299.OF,万家成长优选混合A,李文宾,李文宾(20180201-至今),否,混合型基金,灵活配置型基金,1453958645.9,5.4109589041096,36.41,91.631151153438,稳定行业均衡基金,风格轮动基金,风格轮动基金,稳定独立基金,轮动基金,0.6430133519209936,0.04035287772509009,369.0,366.0,367.5
5,461,519002.OF,华安安信消费服务混合A,王斌,陈俏宇(20130523-20150618) 蒋璆(20150616-20160921) 饶晓鹏(20150907-20200525) 王斌(20181031-至今),否,混合型基金,偏股混合型基金,5024106987.770001,10.109589041096,26.81,88.164649292167,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低,0.5095294018623693,0.04553628304599689,363.0,370.0,366.5
6,59,001054.OF,工银新金融股票A,鄢耀,王君正(20150319-20171009) 鄢耀(20150319-至今),否,股票型基金,普通股票型基金,2394587392.06,8.2876712328767,26.59,92.435563329614,稳定行业均衡基金,风格轮动基金,稳定大盘,稳定共振基金,轮动基金,0.5188007201030285,0.04066389504439441,364.0,368.0,366.0
7,119,004640.OF,华夏节能环保股票A,吕佳玮,吕佳玮(20170811-至今),否,股票型基金,普通股票型基金,527643200.12,5.8876712328767,26.83,93.482363445417,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.6097877985938994,0.03771998043710155,368.0,363.0,365.5
8,214,000977.OF,长城环保主题灵活配置混合A,廖瀚博,吴文庆(20150408-20160727) 蒋劲刚(20150408-20160727) 乔春(20150420-20170818) 何以广(20170818-20181207) 廖瀚博(20180308-至今),否,混合型基金,灵活配置型基金,987842520.6,8.2328767123288,20.15,88.207355578887,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,轮动基金,0.5299566451101364,0.03993758758757537,366.0,365.0,365.5
9,34,000592.OF,建信改革红利股票A,陶灿,陶灿(20140514-至今),否,股票型基金,普通股票型基金,803782170.95,9.1342465753425,15.14,94.341561992339,稳定行业均衡基金,风格轮动基金,风格轮动基金,轮动基金,稳定低,0.5730794582043133,0.037639413277804165,367.0,362.0,364.5
