,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ths_portfolio_duration_fund,ths_jjzhjq_mkl_fund,ths_jjggbl_fund,ACEtype,Fundtype
44,460008.OF,460008,华泰柏瑞稳健收益债券A,华泰柏瑞基金,罗远航,中长期纯债券型基金,2024333580.44,1.1332463134774,1.1334531059417,100.04472996194,A,纯债基金
67,485022.OF,485022,工银尊益中短债债券F,工银瑞信,谷衡,短期纯债券型基金,6805084071.24,1.630098555571,2.9676242488517,122.7127675889,,纯债基金
68,485105.OF,485105,工银增强收益债券A,工银瑞信,"杜海涛,张略钊",混合债券型基金(一级),852244655.23,2.2364317481285,2.2353613355431,100.87219280454,A,纯债基金
69,485107.OF,485107,工银添利债券A,工银瑞信,谷衡,混合债券型基金(一级),2436796030.14,1.9485804556134,5.3527394026826,131.25584287029,A,纯债基金
74,485120.OF,485120,工银14天理财债券发起A,工银瑞信,李娜,短期纯债券型基金,233068326.8,0.28740871910375,0.28734952474701,127.24625683888,A,纯债基金
91,519137.OF,519137,海富通瑞福债券A,海富通基金,"方昆明,张靖爽",混合债券型基金(一级),3974017749.46,2.1253780191427,2.125499927056,105.00446965636,A,纯债基金
92,519138.OF,519138,海富通瑞祥一年定开债券,海富通基金,张靖爽,混合债券型基金(一级),1274385266.51,2.0996851723163,3.9394654008966,143.28233406296,,纯债基金
108,519225.OF,519225,海富通集利债券,海富通基金,方昆明,混合债券型基金(一级),412517911.92,2.0868511527943,2.0869270087259,124.74651810751,,纯债基金
110,519322.OF,519322,浦银安盛盛元定开债券A,浦银安盛基金,章潇枫,中长期纯债券型基金,10052999990.31,1.8743618955863,3.1187366756807,131.16132805998,A,纯债基金
112,519324.OF,519324,浦银安盛盛鑫定开债券A,浦银安盛基金,章潇枫,混合债券型基金(一级),347630735.64,1.4033080520922,2.1994301898403,108.42521197272,A,纯债基金
114,519328.OF,519328,浦银安盛盛泰纯债债券A,浦银安盛基金,陶祺,中长期纯债券型基金,1036786664.02,0.58562238251826,0.58067527534065,100.04360265961,A,纯债基金
116,519330.OF,519330,浦银安盛盛跃纯债债券A,浦银安盛基金,陶祺,中长期纯债券型基金,1705817746.95,1.51826357831,1.5181812281744,110.47771084452,A,纯债基金
118,519332.OF,519332,浦银安盛盛达纯债债券A,浦银安盛基金,章潇枫,中长期纯债券型基金,9502038173.51,1.2289902863944,1.2279010910187,119.38546079256,A,纯债基金
120,519334.OF,519334,浦银安盛盛勤定开债券A,浦银安盛基金,李羿,中长期纯债券型基金,1328241064.23,1.7513499385143,1.7510473350445,103.92373703942,A,纯债基金
134,519680.OF,519680,交银增利债券A/B,交银施罗德,"张顺晨,魏玉敏",混合债券型基金(一级),2749716961.99,1.4402378657968,2.3918142831926,127.06580557664,AB,纯债基金
139,519718.OF,519718,交银纯债债券A/B,交银施罗德,"于海颖,魏玉敏",中长期纯债券型基金,5667015184.93,1.3855280492034,2.148989737492,126.30756241212,AB,纯债基金
150,519743.OF,519743,交银丰润收益债券A,交银施罗德,季参平,中长期纯债券型基金,5494369730.79,3.0664362584347,3.0664759281605,109.20042657645,A,纯债基金
152,519746.OF,519746,交银丰享收益债券A,交银施罗德,黄莹洁,中长期纯债券型基金,1852270088.45,1.3724439110935,2.0844451186683,125.21890065346,A,纯债基金
155,519762.OF,519762,交银裕通纯债债券A,交银施罗德,季参平,中长期纯债券型基金,653070619.1,1.595377979118,1.9688211414437,132.77015660495,A,纯债基金
157,519776.OF,519776,交银裕盈纯债债券A,交银施罗德,"于海颖,姬静",中长期纯债券型基金,9062519035.32,3.0879056401569,3.0870680486388,111.22379832049,A,纯债基金
159,519782.OF,519782,交银裕隆纯债债券A,交银施罗德,黄莹洁,中长期纯债券型基金,14263070755.33,2.1358997549836,4.6746339945422,130.24797003105,A,纯债基金
161,519784.OF,519784,交银境尚收益债券A,交银施罗德,"姬静,黄莹洁",中长期纯债券型基金,1815055127.69,1.2220633785598,1.2217455324506,109.19618096682,A,纯债基金
187,530021.OF,530021,建信纯债A,建信基金,"黎颖芳,彭紫云",中长期纯债券型基金,8817650175.28,5.0671380825619,7.2909779853642,121.40375724602,A,纯债基金
189,530029.OF,530029,建信荣元一年定开债券发起式,建信基金,"刘思,闫晗",中长期纯债券型基金,8511282994.770001,3.270154266,3.2699365859761,109.83843928635,,纯债基金
196,531028.OF,531028,建信短债债券A,建信基金,"陈建良,李星佑,吴沛文",短期纯债券型基金,19934409386.8,0.45560894042291,0.45497573914199,116.73005373502,A,纯债基金
220,650001.OF,650001,英大纯债债券A,英大基金,"张大铮,张婧珣,易祺坤",混合债券型基金(一级),486167478.04,2.0200279345209,2.0193073636833,126.26570868846,A,纯债基金
229,675041.OF,675041,西部利得合享A,西部利得基金,刘心峰,混合债券型基金(一级),3496499419.91,1.1396189295711,1.1395215441903,128.48176059573,A,纯债基金
