,thscode,HCategory20230630,HCategory20230331,HCategory20221231,HCategory20220930,HCategory20220630,HCategory20220331,independent
0,008493.OF,长,长,长,长,长,长,稳定长
1,006958.OF,长,长,长,长,长,长,稳定长
2,005831.OF,长,长,长,长,长,长,稳定长
3,000053.OF,长,长,长,长,长,长,稳定长
4,004499.OF,长,长,长,长,长,长,稳定长
5,004547.OF,长,长,长,长,长,长,稳定长
6,004438.OF,长,长,长,长,长,长,稳定长
7,003547.OF,长,长,长,长,长,长,稳定长
8,004859.OF,长,长,长,长,长,长,稳定长
9,002206.OF,长,长,长,长,长,长,稳定长
10,013391.OF,长,长,长,长,长,长,稳定长
11,217003.OF,长,长,长,长,长,长,稳定长
12,009580.OF,长,长,长,长,长,长,稳定长
13,015301.OF,长,长,长,长,长,长,稳定长
14,005432.OF,长,长,长,长,长,长,稳定长
15,006668.OF,长,长,长,长,长,长,稳定长
16,015913.OF,长,长,长,长,长,长,稳定长
17,007544.OF,长,长,长,长,长,长,稳定长
18,008644.OF,长,长,长,长,长,长,稳定长
19,160515.SZ,长,长,长,长,长,长,稳定长
20,010191.OF,长,长,长,长,长,长,稳定长
21,530021.OF,长,长,长,长,长,长,稳定长
22,003209.OF,长,长,长,长,长,长,稳定长
23,007417.OF,长,长,长,长,长,长,稳定长
24,050106.OF,长,长,长,长,长,长,稳定长
25,002438.OF,长,长,长,长,长,长,稳定长
26,014552.OF,长,长,长,长,长,长,稳定长
27,011262.OF,长,长,长,长,长,长,稳定长
28,007145.OF,长,长,长,长,长,长,稳定长
29,015569.OF,长,长,长,长,长,长,稳定长
30,002994.OF,长,长,长,长,长,长,稳定长
31,009338.OF,长,长,长,长,长,长,稳定长
32,008170.OF,长,长,长,长,长,长,稳定长
33,006043.OF,长,长,长,长,长,长,稳定长
34,014315.OF,长,长,长,长,长,长,稳定长
35,000186.OF,长,长,长,长,长,长,稳定长
36,008568.OF,长,长,长,长,长,长,稳定长
37,002929.OF,长,长,长,长,长,长,稳定长
38,202108.OF,长,长,长,长,长,长,稳定长
39,010639.OF,长,长,长,长,长,长,稳定长
40,002754.OF,长,长,长,长,长,长,稳定长
41,010627.OF,长,长,长,长,长,长,稳定长
42,007985.OF,长,长,长,长,长,长,稳定长
43,010485.OF,长,长,长,长,长,长,稳定长
44,010983.OF,长,长,长,长,长,长,稳定长
45,016031.OF,长,长,长,长,长,长,稳定长
46,000914.OF,长,长,长,长,长,长,稳定长
47,008569.OF,长,长,长,长,长,长,稳定长
48,008139.OF,长,长,长,长,长,长,稳定长
49,003528.OF,长,长,长,长,长,长,稳定长
50,006191.OF,长,长,长,长,长,长,稳定长
51,006082.OF,长,长,长,长,长,长,稳定长
52,009583.OF,长,长,长,长,长,长,稳定长
53,009866.OF,长,长,长,长,长,长,稳定长
54,009666.OF,长,长,长,长,长,长,稳定长
55,008102.OF,长,长,长,长,长,长,稳定长
56,009749.OF,长,长,长,长,长,长,稳定长
57,002549.OF,长,长,长,长,长,长,稳定长
58,009254.OF,长,长,长,长,长,长,稳定长
59,009632.OF,长,长,长,长,长,长,稳定长
60,007723.OF,长,长,长,长,长,长,稳定长
61,006838.OF,长,长,长,长,长,长,稳定长
62,006434.OF,长,长,长,长,长,长,稳定长
63,007321.OF,长,长,长,长,长,长,稳定长
64,001299.OF,长,长,长,长,长,长,稳定长
65,008587.OF,长,长,长,长,长,长,稳定长
66,008031.OF,长,长,长,长,长,长,稳定长
67,014367.OF,长,长,长,长,长,长,稳定长
