,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
0,010983.OF,大,大,大,大,大,大,稳定大
1,010627.OF,大,大,大,大,大,大,稳定大
2,009666.OF,大,大,大,大,大,大,稳定大
3,008014.OF,大,大,大,大,大,大,稳定大
4,009254.OF,大,大,大,大,大,大,稳定大
5,009632.OF,大,大,大,大,大,大,稳定大
6,005718.OF,大,大,大,大,大,大,稳定大
7,008316.OF,大,大,大,大,大,大,稳定大
8,010485.OF,大,大,大,大,大,大,稳定大
9,010639.OF,大,大,大,大,大,大,稳定大
10,015653.OF,大,大,大,大,大,大,稳定大
11,007496.OF,大,大,大,大,大,大,稳定大
12,007104.OF,大,大,大,大,大,大,稳定大
13,008102.OF,大,大,大,大,大,大,稳定大
14,009749.OF,大,大,大,大,大,大,稳定大
15,009583.OF,大,大,大,大,大,大,稳定大
16,008675.OF,大,大,大,大,大,大,稳定大
17,007535.OF,大,大,大,大,大,大,稳定大
18,003528.OF,大,大,大,大,大,大,稳定大
19,007589.OF,大,大,大,大,大,大,稳定大
20,270043.OF,大,大,大,大,大,大,稳定大
21,006846.OF,大,大,大,大,大,大,稳定大
22,013062.OF,大,大,大,大,大,大,稳定大
23,009685.OF,大,大,大,大,大,大,稳定大
24,007682.OF,大,大,大,大,大,大,稳定大
25,007619.OF,大,大,大,大,大,大,稳定大
26,007573.OF,大,大,大,大,大,大,稳定大
27,008722.OF,大,大,大,大,大,大,稳定大
28,012948.OF,大,大,大,大,大,大,稳定大
29,008644.OF,大,大,大,大,大,大,稳定大
30,010621.OF,大,大,大,大,大,大,稳定大
31,004859.OF,大,大,大,大,大,大,稳定大
32,014973.OF,大,大,大,大,大,大,稳定大
33,008352.OF,大,大,大,大,大,大,稳定大
34,008231.OF,大,大,大,大,大,大,稳定大
35,009866.OF,大,大,大,大,大,大,稳定大
36,014231.OF,大,大,大,大,大,大,稳定大
37,009933.OF,大,大,大,大,大,大,稳定大
38,007870.OF,大,大,大,大,大,大,稳定大
39,008429.OF,大,大,大,大,大,大,稳定大
40,015913.OF,大,大,大,大,大,大,稳定大
41,007723.OF,大,大,大,大,大,大,稳定大
42,009732.OF,大,大,大,大,大,大,稳定大
43,015469.OF,大,大,大,大,大,大,稳定大
44,007948.OF,大,大,大,大,大,大,稳定大
45,007761.OF,大,大,大,大,大,大,稳定大
46,015473.OF,大,大,大,大,大,大,稳定大
47,009235.OF,大,大,大,大,大,大,稳定大
48,005024.OF,大,大,大,大,大,大,稳定大
49,005124.OF,大,大,大,大,大,大,稳定大
50,006150.OF,大,大,大,大,大,大,稳定大
51,016009.OF,大,大,大,大,大,大,稳定大
52,013931.OF,大,大,大,大,大,大,稳定大
53,013654.OF,大,大,大,大,大,大,稳定大
54,161117.SZ,大,大,大,大,大,大,稳定大
55,008229.OF,大,大,大,大,大,大,稳定大
56,013265.OF,大,大,大,大,大,大,稳定大
57,007600.OF,大,大,大,大,大,大,稳定大
58,010580.OF,大,大,大,大,大,大,稳定大
59,007451.OF,大,大,大,大,大,大,稳定大
60,008027.OF,大,大,大,大,大,大,稳定大
61,008471.OF,大,大,大,大,大,大,稳定大
62,010471.OF,大,大,大,大,大,大,稳定大
63,009809.OF,大,大,大,大,大,大,稳定大
64,007836.OF,大,大,大,大,大,大,稳定大
65,008575.OF,大,大,大,大,大,大,稳定大
66,013087.OF,大,大,大,大,大,大,稳定大
67,001246.OF,大,大,大,大,大,大,稳定大
68,005369.OF,大,大,大,大,大,大,稳定大
69,015811.OF,大,大,大,大,大,大,稳定大
70,008478.OF,大,大,大,大,大,大,稳定大
71,160128.SZ,大,大,大,大,大,大,稳定大
72,006120.OF,大,大,大,大,大,大,稳定大
73,000111.OF,大,大,大,大,大,大,稳定大
74,000053.OF,大,大,大,大,大,大,稳定大
75,013487.OF,大,大,大,大,大,大,稳定大
76,007997.OF,大,大,大,大,大,大,稳定大
77,013419.OF,大,大,大,大,大,大,稳定大
78,014004.OF,大,大,大,大,大,大,稳定大
79,004503.OF,大,大,大,大,大,大,稳定大
80,009292.OF,大,大,大,大,大,大,稳定大
81,002750.OF,大,大,大,大,大,大,稳定大
82,004797.OF,大,大,大,大,大,大,稳定大
83,004736.OF,大,大,大,大,大,大,稳定大
84,005921.OF,大,大,大,大,大,大,稳定大
85,012273.OF,大,大,大,大,大,大,稳定大
86,016184.OF,大,大,大,大,大,大,稳定大
87,009587.OF,大,大,大,大,大,大,稳定大
88,006984.OF,大,大,大,大,大,大,稳定大
89,014464.OF,大,大,大,大,大,大,稳定大
90,005432.OF,大,大,大,大,大,大,稳定大
91,007145.OF,大,大,大,大,大,大,稳定大
92,008863.OF,大,大,大,大,大,大,稳定大
93,014452.OF,大,大,大,大,大,大,稳定大
94,007525.OF,大,大,大,大,大,大,稳定大
95,015209.OF,大,大,大,大,大,大,稳定大
96,005841.OF,大,大,大,大,大,大,稳定大
97,010482.OF,大,大,大,大,大,大,稳定大
98,009105.OF,大,大,大,大,大,大,稳定大
99,005462.OF,大,大,大,大,大,大,稳定大
100,000265.OF,大,大,大,大,大,大,稳定大
101,010462.OF,大,大,大,大,大,大,稳定大
102,005525.OF,大,大,大,大,大,大,稳定大
103,160515.SZ,大,大,大,大,大,大,稳定大
104,002600.OF,大,大,大,大,大,大,稳定大
105,008516.OF,大,大,大,大,大,大,稳定大
106,004821.OF,大,大,大,大,大,大,稳定大
107,009212.OF,大,大,大,大,大,大,稳定大
108,014965.OF,大,大,大,大,大,大,稳定大
109,005736.OF,大,大,大,大,大,大,稳定大
110,008219.OF,大,大,大,大,大,大,稳定大
