jydm,FrawX,FrawY,Xstyle,Ystyle
001956.OF,308.5498113517045,138.58581065968255,成长型,中盘
257070.OF,307.90111494453055,139.0209445107085,成长型,中盘
001404.OF,300.5093497481346,53.800908516234905,成长型,小盘
519087.OF,293.87036044501434,86.37899171797744,成长型,小盘
001040.OF,293.54722891162066,90.58856434621136,成长型,小盘
180031.OF,288.353674598167,208.39771545467832,成长型,大盘
270005.OF,287.9800986913359,106.36292941705021,成长型,中盘
000742.OF,286.40077031198933,73.33932121496669,成长型,小盘
001542.OF,285.9835611248753,86.192511744245,成长型,小盘
519005.OF,282.52417223217196,118.03709915987294,成长型,中盘
270050.OF,282.215366960721,89.97453061255914,成长型,小盘
460001.OF,279.94125149468647,160.41509251227538,成长型,中盘
519026.OF,279.09685630428794,88.10722399811236,成长型,小盘
610006.OF,278.655022835943,198.3394696228396,成长型,中盘
001808.OF,275.80456103829385,165.33629531863212,成长型,中盘
003940.OF,273.834519646019,285.77344244733445,成长型,大盘
004666.OF,271.2712006586155,52.76428284481417,成长型,小盘
519015.OF,270.96322875145484,105.48479616945879,成长型,中盘
519011.OF,270.6558982757234,105.44403425426198,成长型,中盘
001000.OF,267.4342268076553,295.1940128421677,成长型,大盘
398011.OF,264.77640920332203,111.67383210999262,成长型,中盘
001102.OF,263.88417542005254,395.1367346551019,成长型,大盘
001150.OF,262.8119158069511,49.55575540685596,成长型,小盘
519672.OF,262.1171464025925,248.61071798167143,成长型,大盘
001569.OF,259.4747288088501,131.05152695464577,成长型,中盘
519668.OF,259.4595771059483,273.70567701673497,成长型,大盘
610004.OF,258.53397392796995,135.09989235923257,成长型,中盘
050009.OF,258.42631175796265,168.48799726235228,成长型,中盘
070001.OF,257.3968688971186,229.0816349720203,成长型,大盘
200001.OF,257.34063704926393,6.324968920818588,成长型,小盘
002707.OF,257.1481463610815,1.4542826349559532,成长型,小盘
001475.OF,256.18326305034526,147.2908547434051,成长型,中盘
001986.OF,255.03017999278026,277.5123063974955,成长型,大盘
070099.OF,254.1816103151499,196.44479647921975,成长型,中盘
000409.OF,252.87464142365855,250.4292346345059,成长型,大盘
519929.OF,252.48132711905245,51.771293341457685,成长型,小盘
001009.OF,251.2729233752772,107.04652177441399,成长型,中盘
005299.OF,249.49584344581828,66.97713893741465,成长型,小盘
180018.OF,249.4008049670754,292.9423790565668,成长型,大盘
050010.OF,249.2670295195707,141.9880927386617,成长型,中盘
001163.OF,249.057788530625,306.1717912114621,成长型,大盘
000039.OF,247.18452843255983,131.76922513166585,成长型,中盘
570001.OF,246.52368267604868,259.9265543407084,成长型,大盘
206009.OF,246.1596547945034,130.4572952723206,成长型,中盘
690004.OF,246.12674789157876,285.79433417946086,成长型,大盘
001496.OF,245.85310907084505,219.32177646306945,成长型,大盘
000083.OF,245.3587331186772,344.32136618727424,成长型,大盘
110015.OF,245.04198752462295,268.32952956765786,成长型,大盘
002983.OF,244.28042343224135,126.78828275948486,成长型,中盘
398021.OF,244.03068412640718,50.62557951982436,成长型,小盘
002939.OF,243.6254353048621,267.6268305763077,成长型,大盘
290011.OF,242.63014379364444,84.96838881715834,成长型,小盘
660010.OF,242.4917506660198,142.1171095867596,成长型,中盘
000127.OF,242.10119745497144,141.44027669007625,成长型,中盘
590005.OF,241.81035588142208,62.424093009474454,成长型,小盘
160624.OF,241.66915286877887,244.61241578377397,成长型,大盘
