,thscode,Stable_Count,XStable,YStable
0,004851.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
1,519929.OF,稳定TMT行业基金,风格轮动基金,风格轮动基金
2,240022.OF,稳定周期行业基金,风格轮动基金,风格轮动基金
3,003095.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
4,001838.OF,稳定制造行业基金,风格轮动基金,风格轮动基金
5,004075.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
6,470006.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
7,519674.OF,稳定TMT行业基金,风格轮动基金,风格轮动基金
8,320007.OF,稳定TMT行业基金,风格轮动基金,风格轮动基金
9,001717.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
10,000831.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
11,001195.OF,行业轮动基金,风格轮动基金,风格轮动基金
12,001230.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
13,000727.OF,稳定医药行业基金,风格轮动基金,稳定小盘
14,004683.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
15,000251.OF,稳定金融地产行业基金,稳定价值型,稳定大盘
16,501038.SH,行业轮动基金,风格轮动基金,风格轮动基金
17,110023.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
18,501046.SH,行业轮动基金,风格轮动基金,风格轮动基金
19,720001.OF,行业轮动基金,风格轮动基金,风格轮动基金
20,000409.OF,行业轮动基金,稳定成长型,风格轮动基金
21,001986.OF,行业轮动基金,风格轮动基金,稳定大盘
22,000339.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
23,398011.OF,行业轮动基金,风格轮动基金,风格轮动基金
24,000960.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
25,001313.OF,行业轮动基金,风格轮动基金,风格轮动基金
26,001072.OF,行业轮动基金,风格轮动基金,风格轮动基金
27,002692.OF,行业轮动基金,风格轮动基金,风格轮动基金
28,000522.OF,稳定TMT行业基金,风格轮动基金,风格轮动基金
29,001178.OF,行业轮动基金,风格轮动基金,风格轮动基金
30,001480.OF,行业轮动基金,风格轮动基金,风格轮动基金
31,040025.OF,行业轮动基金,风格轮动基金,风格轮动基金
32,000039.OF,行业轮动基金,风格轮动基金,风格轮动基金
33,001898.OF,行业轮动基金,风格轮动基金,风格轮动基金
34,000828.OF,行业轮动基金,风格轮动基金,稳定中盘
35,001223.OF,行业轮动基金,风格轮动基金,风格轮动基金
36,040007.OF,行业轮动基金,风格轮动基金,稳定中盘
37,001766.OF,稳定医药行业基金,风格轮动基金,风格轮动基金
38,001404.OF,稳定TMT行业基金,稳定成长型,风格轮动基金
39,110022.OF,稳定消费行业基金,风格轮动基金,稳定大盘
40,001956.OF,行业轮动基金,稳定成长型,风格轮动基金
41,257070.OF,行业轮动基金,稳定成长型,风格轮动基金
42,540010.OF,稳定TMT行业基金,风格轮动基金,风格轮动基金
43,002707.OF,行业轮动基金,风格轮动基金,风格轮动基金
44,290012.OF,行业轮动基金,风格轮动基金,风格轮动基金
